"일자,기초평가금액,입금액,출금액,기말평가금액,투자손익"
"2025-10-30,36748054,0,0,36749069,1015"
"2025-10-29,36740644,0,0,36748054,7410"
"2025-10-28,36758592,0,0,36740644,-17948"
"2025-10-27,36791073,0,0,36758592,-32481"
"2025-10-24,36700238,0,0,36791073,90835"
"2025-10-23,36637637,0,0,36700238,62601"
"2025-10-22,36617961,0,0,36637637,19676"
"2025-10-21,36581656,0,0,36617961,36305"
"2025-10-20,36567478,0,0,36581656,14178"
"2025-10-17,24695776,23849664,11924832,36567478,-53130"
"2025-10-16,24674855,0,0,24695776,20921"
"2025-10-15,24717358,0,0,24674855,-42503"
"2025-10-14,24666877,0,0,24717358,50481"
"2025-10-13,24626540,0,0,24666877,40337"
"2025-10-10,24672099,0,0,24626540,-45559"
"2025-10-02,24630341,0,0,24672099,41758"
"2025-10-01,24628488,0,0,24630341,1853"
