"일자,기초평가금액,입금액,출금액,기말평가금액,투자손익"
"2026-01-02,40345366,0,0,40420165,74799"
"2025-12-31,40342524,0,0,40345366,2842"
"2025-12-30,40371063,0,0,40342524,-28539"
"2025-12-29,40594551,0,0,40371063,-223488"
"2025-12-26,40795837,0,0,40594551,-201286"
"2025-12-24,40824806,0,0,40795837,-28969"
"2025-12-23,40771922,0,0,40824806,52884"
"2025-12-22,40696902,0,0,40771922,75020"
"2025-12-19,40749422,0,0,40696902,-52520"
"2025-12-18,40677013,0,0,40749422,72409"
"2025-12-17,40390283,0,0,40677013,286730"
"2025-12-16,40462873,0,0,40390283,-72590"
"2025-12-15,40515183,0,0,40462873,-52310"
"2025-12-12,40799077,0,0,40515183,-283894"
"2025-12-11,40776742,0,0,40799077,22335"
"2025-12-10,40795769,0,0,40776742,-19027"
"2025-12-09,40818999,0,0,40795769,-23230"
"2025-12-08,40804553,0,0,40818999,14446"
"2025-12-05,40751701,0,0,40804553,52852"
"2025-12-04,40680803,0,0,40751701,70898"
"2025-12-03,40677917,0,0,40680803,2886"
"2025-12-02,40667288,0,0,40677917,10629"
"2025-11-28,37076390,0,0,37097872,21482"
"2025-11-27,37191136,0,0,37076390,-114746"
