name,local_symbol,local_currency,usd_symbol,local_return,usd_return,diff_vs_sp500_local,diff_vs_sp500_usd,sharpe_local,sharpe_usd,local_return_%,usd_return_%,diff_vs_sp500_local_%,diff_vs_sp500_usd_%,sharpe_local_str,sharpe_usd_str
S&P 500,^GSPC,USD,^GSPC,-0.016758758577194555,-0.016758758577194555,0.0,0.0,-0.5657982577970427,-0.5657982577970427,-1.68,-1.68,+0.00,+0.00,-0.57,-0.57
Nasdaq 100,^NDX,USD,^NDX,0.22738571660907425,0.22738571660907425,0.2441444751862688,0.2441444751862688,2.0312236097806307,2.0312236097806307,+22.74,+22.74,+24.41,+24.41,2.03,2.03
Russell 2000,^RUT,USD,^RUT,0.17777700793719742,0.17777700793719742,0.19453576651439197,0.19453576651439197,1.644597667356614,1.644597667356614,+17.78,+17.78,+19.45,+19.45,1.64,1.64
S&P 600 Small-cap,^SP600,USD,^SP600,-0.06396138056201639,-0.06396138056201639,-0.047202621984821835,-0.047202621984821835,-1.8165441816295795,-1.8165441816295795,-6.40,-6.40,-4.72,-4.72,-1.82,-1.82
S&P 400 Mid-cap,^SP400,USD,^SP400,-0.04083471562304475,-0.04083471562304475,-0.024075957045850194,-0.024075957045850194,-1.3044717381947482,-1.3044717381947482,-4.08,-4.08,-2.41,-2.41,-1.30,-1.30
Canadian S&P/TSX,^GSPTSE,CAD,,0.1968233709457996,0.24281643642856987,0.21358212952299416,0.2595751950057644,2.8118183106561476,3.267789000519892,+19.68,+24.28,+21.36,+25.96,2.81,3.27
Hang Seng Index,^HSI,HKD,,0.3351593587826984,0.3300539906323259,0.351918117359893,0.34681274920952043,2.2481746581893156,2.22032987649372,+33.52,+33.01,+35.19,+34.68,2.25,2.22
Chinese CSI 300,000300.SS,CNY,,0.1635862369713168,0.19113637662552363,0.18034499554851136,0.20789513520271818,1.7965797245748774,2.0524627044596864,+16.36,+19.11,+18.03,+20.79,1.80,2.05
EuroStoxx 50,^STOXX50E,EUR,,0.02154566927749335,0.11075415019789747,0.038304427854687906,0.12751290877509203,0.3571651250350697,1.491318197695023,+2.15,+11.08,+3.83,+12.75,0.36,1.49
Japanese Nikkei 225,^N225,JPY,,0.11887408876727257,0.19517412003684664,0.13563284734446712,0.2119328786140412,0.8954813159759587,1.5087822506188577,+11.89,+19.52,+13.56,+21.19,0.90,1.51
Brazil Ibovespa,^BVSP,BRL,,0.18500481269510916,0.3817124478588192,0.2017635712723037,0.39847120643601375,1.890206741761056,2.73315724109656,+18.50,+38.17,+20.18,+39.85,1.89,2.73
MSCI World ex-US,ACWX,USD,ACWX,0.163901608702546,0.163901608702546,0.18066036727974055,0.18066036727974055,2.024911900474356,2.024911900474356,+16.39,+16.39,+18.07,+18.07,2.02,2.02
