country,category,name,field,symbol,currency,resolved_currency,file
Commodities,sectors,Broad,etf,PDBC,USD,USD,/home/runner/work/Macro-analysis/Macro-analysis/global_universe/data/daily/PDBC.csv
Commodities,sectors,Energy_Broad,etf,DBE,USD,USD,/home/runner/work/Macro-analysis/Macro-analysis/global_universe/data/daily/DBE.csv
Commodities,sectors,Crude_Oil,etf,OILK,USD,USD,/home/runner/work/Macro-analysis/Macro-analysis/global_universe/data/daily/OILK.csv
Commodities,sectors,Natural_Gas,etf,UNG,USD,USD,/home/runner/work/Macro-analysis/Macro-analysis/global_universe/data/daily/UNG.csv
Commodities,sectors,Gold,etf,GLD,USD,USD,/home/runner/work/Macro-analysis/Macro-analysis/global_universe/data/daily/GLD.csv
Commodities,sectors,Silver,etf,SLV,USD,USD,/home/runner/work/Macro-analysis/Macro-analysis/global_universe/data/daily/SLV.csv
Commodities,sectors,Palladium,etf,PALL,USD,USD,/home/runner/work/Macro-analysis/Macro-analysis/global_universe/data/daily/PALL.csv
Commodities,sectors,Platinum,etf,PPLT,USD,USD,/home/runner/work/Macro-analysis/Macro-analysis/global_universe/data/daily/PPLT.csv
Commodities,sectors,Copper,etf,CPER,USD,USD,/home/runner/work/Macro-analysis/Macro-analysis/global_universe/data/daily/CPER.csv
Commodities,sectors,Industrial_Metals,etf,BCIM,USD,USD,/home/runner/work/Macro-analysis/Macro-analysis/global_universe/data/daily/BCIM.csv
Commodities,sectors,Agriculture_Broad,etf,TILL,USD,USD,/home/runner/work/Macro-analysis/Macro-analysis/global_universe/data/daily/TILL.csv
Commodities,sectors,Dry_Bulk_Freight,etf,BDRY,USD,USD,/home/runner/work/Macro-analysis/Macro-analysis/global_universe/data/daily/BDRY.csv
Commodities,sectors,Carbon_Global,etf,KRBN,USD,USD,/home/runner/work/Macro-analysis/Macro-analysis/global_universe/data/daily/KRBN.csv
Commodities,sectors,Carbon_California,etf,KCCA,USD,USD,/home/runner/work/Macro-analysis/Macro-analysis/global_universe/data/daily/KCCA.csv
Commodities,sectors,Volatility,etf,VXX,USD,USD,/home/runner/work/Macro-analysis/Macro-analysis/global_universe/data/daily/VXX.csv
Global,sectors,Technology,etf,IXN,USD,USD,/home/runner/work/Macro-analysis/Macro-analysis/global_universe/data/daily/IXN.csv
Global,sectors,Healthcare,etf,IXJ,USD,USD,/home/runner/work/Macro-analysis/Macro-analysis/global_universe/data/daily/IXJ.csv
Global,sectors,Financials,etf,IXG,USD,USD,/home/runner/work/Macro-analysis/Macro-analysis/global_universe/data/daily/IXG.csv
Global,sectors,Cons_Discr.,etf,RXI,USD,USD,/home/runner/work/Macro-analysis/Macro-analysis/global_universe/data/daily/RXI.csv
Global,sectors,Cons_Staples,etf,KXI,USD,USD,/home/runner/work/Macro-analysis/Macro-analysis/global_universe/data/daily/KXI.csv
Global,sectors,Industrials,etf,EXI,USD,USD,/home/runner/work/Macro-analysis/Macro-analysis/global_universe/data/daily/EXI.csv
Global,sectors,Energy,etf,IXC,USD,USD,/home/runner/work/Macro-analysis/Macro-analysis/global_universe/data/daily/IXC.csv
Global,sectors,Materials,etf,MXI,USD,USD,/home/runner/work/Macro-analysis/Macro-analysis/global_universe/data/daily/MXI.csv
Global,sectors,Utilities,etf,JXI,USD,USD,/home/runner/work/Macro-analysis/Macro-analysis/global_universe/data/daily/JXI.csv
Global,sectors,Comm_Services,etf,IXP,USD,USD,/home/runner/work/Macro-analysis/Macro-analysis/global_universe/data/daily/IXP.csv
Global,sectors,Defense,etf,SHLD,USD,USD,/home/runner/work/Macro-analysis/Macro-analysis/global_universe/data/daily/SHLD.csv
Global,sectors,Real_Estate,etf,REET,USD,USD,/home/runner/work/Macro-analysis/Macro-analysis/global_universe/data/daily/REET.csv
Global,sectors,Airlines,etf,JETS,USD,USD,/home/runner/work/Macro-analysis/Macro-analysis/global_universe/data/daily/JETS.csv
Global,factors,Global_BM,etf,ACWI,USD,USD,/home/runner/work/Macro-analysis/Macro-analysis/global_universe/data/daily/ACWI.csv
Global,factors,Global_Treasury,etf,IGOV,USD,USD,/home/runner/work/Macro-analysis/Macro-analysis/global_universe/data/daily/IGOV.csv
Global,factors,Developed_World,etf,URTH,USD,USD,/home/runner/work/Macro-analysis/Macro-analysis/global_universe/data/daily/URTH.csv
Global,factors,Dividend_Growth_Global,etf,FID,USD,USD,/home/runner/work/Macro-analysis/Macro-analysis/global_universe/data/daily/FID.csv
Global,factors,High_Dividend_Global,etf,IDOG,USD,USD,/home/runner/work/Macro-analysis/Macro-analysis/global_universe/data/daily/IDOG.csv
Global,factors,Momentum_Developed,etf,IMTM,USD,USD,/home/runner/work/Macro-analysis/Macro-analysis/global_universe/data/daily/IMTM.csv
Global,factors,Quality_Global,etf,IQLT,USD,USD,/home/runner/work/Macro-analysis/Macro-analysis/global_universe/data/daily/IQLT.csv
Global,factors,IPO_Global,etf,IPOS,USD,USD,/home/runner/work/Macro-analysis/Macro-analysis/global_universe/data/daily/IPOS.csv
Global,factors,Moat_Global,etf,MOTG,USD,USD,/home/runner/work/Macro-analysis/Macro-analysis/global_universe/data/daily/MOTG.csv
Global,factors,CashFlow_Global,etf,GCOW,USD,USD,/home/runner/work/Macro-analysis/Macro-analysis/global_universe/data/daily/GCOW.csv
Global,factors,Min_Vol_Global,etf,EFAV,USD,USD,/home/runner/work/Macro-analysis/Macro-analysis/global_universe/data/daily/EFAV.csv
US,sectors,Broad_Market,etf,SPTM,USD,USD,/home/runner/work/Macro-analysis/Macro-analysis/global_universe/data/daily/SPTM.csv
US,sectors,Technology,etf,XLK,USD,USD,/home/runner/work/Macro-analysis/Macro-analysis/global_universe/data/daily/XLK.csv
US,sectors,Semiconductors,etf,SOXX,USD,USD,/home/runner/work/Macro-analysis/Macro-analysis/global_universe/data/daily/SOXX.csv
US,sectors,Software,etf,IGV,USD,USD,/home/runner/work/Macro-analysis/Macro-analysis/global_universe/data/daily/IGV.csv
