symbol,file,added,updated,status,reason,run_at
PDBC,/home/runner/work/Macro-analysis/Macro-analysis/global_universe/data/daily/PDBC.csv,0,False,error,Cannot compare tz-naive and tz-aware timestamps,2025-09-16T11:49:18+09:00
DBE,/home/runner/work/Macro-analysis/Macro-analysis/global_universe/data/daily/DBE.csv,0,False,error,Cannot compare tz-naive and tz-aware timestamps,2025-09-16T11:49:18+09:00
OILK,/home/runner/work/Macro-analysis/Macro-analysis/global_universe/data/daily/OILK.csv,0,False,error,Cannot compare tz-naive and tz-aware timestamps,2025-09-16T11:49:18+09:00
UNG,/home/runner/work/Macro-analysis/Macro-analysis/global_universe/data/daily/UNG.csv,0,False,error,Cannot compare tz-naive and tz-aware timestamps,2025-09-16T11:49:18+09:00
GLD,/home/runner/work/Macro-analysis/Macro-analysis/global_universe/data/daily/GLD.csv,0,False,error,Cannot compare tz-naive and tz-aware timestamps,2025-09-16T11:49:18+09:00
SLV,/home/runner/work/Macro-analysis/Macro-analysis/global_universe/data/daily/SLV.csv,0,False,error,Cannot compare tz-naive and tz-aware timestamps,2025-09-16T11:49:18+09:00
PALL,/home/runner/work/Macro-analysis/Macro-analysis/global_universe/data/daily/PALL.csv,0,False,error,Cannot compare tz-naive and tz-aware timestamps,2025-09-16T11:49:18+09:00
PPLT,/home/runner/work/Macro-analysis/Macro-analysis/global_universe/data/daily/PPLT.csv,0,False,error,Cannot compare tz-naive and tz-aware timestamps,2025-09-16T11:49:18+09:00
CPER,/home/runner/work/Macro-analysis/Macro-analysis/global_universe/data/daily/CPER.csv,0,False,error,Cannot compare tz-naive and tz-aware timestamps,2025-09-16T11:49:18+09:00
BCIM,/home/runner/work/Macro-analysis/Macro-analysis/global_universe/data/daily/BCIM.csv,0,False,error,Cannot compare tz-naive and tz-aware timestamps,2025-09-16T11:49:18+09:00
TILL,/home/runner/work/Macro-analysis/Macro-analysis/global_universe/data/daily/TILL.csv,0,False,error,Cannot compare tz-naive and tz-aware timestamps,2025-09-16T11:49:18+09:00
BDRY,/home/runner/work/Macro-analysis/Macro-analysis/global_universe/data/daily/BDRY.csv,0,False,error,Cannot compare tz-naive and tz-aware timestamps,2025-09-16T11:49:18+09:00
KRBN,/home/runner/work/Macro-analysis/Macro-analysis/global_universe/data/daily/KRBN.csv,0,False,error,Cannot compare tz-naive and tz-aware timestamps,2025-09-16T11:49:18+09:00
KCCA,/home/runner/work/Macro-analysis/Macro-analysis/global_universe/data/daily/KCCA.csv,0,False,error,Cannot compare tz-naive and tz-aware timestamps,2025-09-16T11:49:18+09:00
VXX,/home/runner/work/Macro-analysis/Macro-analysis/global_universe/data/daily/VXX.csv,0,False,error,Cannot compare tz-naive and tz-aware timestamps,2025-09-16T11:49:18+09:00
IXN,/home/runner/work/Macro-analysis/Macro-analysis/global_universe/data/daily/IXN.csv,0,False,error,Cannot compare tz-naive and tz-aware timestamps,2025-09-16T11:49:18+09:00
IXJ,/home/runner/work/Macro-analysis/Macro-analysis/global_universe/data/daily/IXJ.csv,0,False,error,Cannot compare tz-naive and tz-aware timestamps,2025-09-16T11:49:18+09:00
IXG,/home/runner/work/Macro-analysis/Macro-analysis/global_universe/data/daily/IXG.csv,0,False,error,Cannot compare tz-naive and tz-aware timestamps,2025-09-16T11:49:18+09:00
RXI,/home/runner/work/Macro-analysis/Macro-analysis/global_universe/data/daily/RXI.csv,0,False,error,Cannot compare tz-naive and tz-aware timestamps,2025-09-16T11:49:18+09:00
KXI,/home/runner/work/Macro-analysis/Macro-analysis/global_universe/data/daily/KXI.csv,0,False,error,Cannot compare tz-naive and tz-aware timestamps,2025-09-16T11:49:18+09:00
EXI,/home/runner/work/Macro-analysis/Macro-analysis/global_universe/data/daily/EXI.csv,0,False,error,Cannot compare tz-naive and tz-aware timestamps,2025-09-16T11:49:18+09:00
IXC,/home/runner/work/Macro-analysis/Macro-analysis/global_universe/data/daily/IXC.csv,0,False,error,Cannot compare tz-naive and tz-aware timestamps,2025-09-16T11:49:18+09:00
MXI,/home/runner/work/Macro-analysis/Macro-analysis/global_universe/data/daily/MXI.csv,0,False,error,Cannot compare tz-naive and tz-aware timestamps,2025-09-16T11:49:18+09:00
JXI,/home/runner/work/Macro-analysis/Macro-analysis/global_universe/data/daily/JXI.csv,0,False,error,Cannot compare tz-naive and tz-aware timestamps,2025-09-16T11:49:18+09:00
IXP,/home/runner/work/Macro-analysis/Macro-analysis/global_universe/data/daily/IXP.csv,0,False,error,Cannot compare tz-naive and tz-aware timestamps,2025-09-16T11:49:18+09:00
SHLD,/home/runner/work/Macro-analysis/Macro-analysis/global_universe/data/daily/SHLD.csv,0,False,error,Cannot compare tz-naive and tz-aware timestamps,2025-09-16T11:49:18+09:00
REET,/home/runner/work/Macro-analysis/Macro-analysis/global_universe/data/daily/REET.csv,0,False,error,Cannot compare tz-naive and tz-aware timestamps,2025-09-16T11:49:18+09:00
JETS,/home/runner/work/Macro-analysis/Macro-analysis/global_universe/data/daily/JETS.csv,0,False,error,Cannot compare tz-naive and tz-aware timestamps,2025-09-16T11:49:18+09:00
ACWI,/home/runner/work/Macro-analysis/Macro-analysis/global_universe/data/daily/ACWI.csv,0,False,error,Cannot compare tz-naive and tz-aware timestamps,2025-09-16T11:49:18+09:00
IGOV,/home/runner/work/Macro-analysis/Macro-analysis/global_universe/data/daily/IGOV.csv,0,False,error,Cannot compare tz-naive and tz-aware timestamps,2025-09-16T11:49:18+09:00
URTH,/home/runner/work/Macro-analysis/Macro-analysis/global_universe/data/daily/URTH.csv,0,False,error,Cannot compare tz-naive and tz-aware timestamps,2025-09-16T11:49:18+09:00
FID,/home/runner/work/Macro-analysis/Macro-analysis/global_universe/data/daily/FID.csv,0,False,error,Cannot compare tz-naive and tz-aware timestamps,2025-09-16T11:49:18+09:00
IDOG,/home/runner/work/Macro-analysis/Macro-analysis/global_universe/data/daily/IDOG.csv,0,False,error,Cannot compare tz-naive and tz-aware timestamps,2025-09-16T11:49:18+09:00
IMTM,/home/runner/work/Macro-analysis/Macro-analysis/global_universe/data/daily/IMTM.csv,0,False,error,Cannot compare tz-naive and tz-aware timestamps,2025-09-16T11:49:18+09:00
IQLT,/home/runner/work/Macro-analysis/Macro-analysis/global_universe/data/daily/IQLT.csv,0,False,error,Cannot compare tz-naive and tz-aware timestamps,2025-09-16T11:49:18+09:00
IPOS,/home/runner/work/Macro-analysis/Macro-analysis/global_universe/data/daily/IPOS.csv,0,False,error,Cannot compare tz-naive and tz-aware timestamps,2025-09-16T11:49:18+09:00
MOTG,/home/runner/work/Macro-analysis/Macro-analysis/global_universe/data/daily/MOTG.csv,0,False,error,Cannot compare tz-naive and tz-aware timestamps,2025-09-16T11:49:18+09:00
GCOW,/home/runner/work/Macro-analysis/Macro-analysis/global_universe/data/daily/GCOW.csv,0,False,error,Cannot compare tz-naive and tz-aware timestamps,2025-09-16T11:49:18+09:00
EFAV,/home/runner/work/Macro-analysis/Macro-analysis/global_universe/data/daily/EFAV.csv,0,False,error,Cannot compare tz-naive and tz-aware timestamps,2025-09-16T11:49:18+09:00
SPTM,/home/runner/work/Macro-analysis/Macro-analysis/global_universe/data/daily/SPTM.csv,0,False,error,Cannot compare tz-naive and tz-aware timestamps,2025-09-16T11:49:18+09:00
XLK,/home/runner/work/Macro-analysis/Macro-analysis/global_universe/data/daily/XLK.csv,0,False,error,Cannot compare tz-naive and tz-aware timestamps,2025-09-16T11:49:18+09:00
SOXX,/home/runner/work/Macro-analysis/Macro-analysis/global_universe/data/daily/SOXX.csv,0,False,error,Cannot compare tz-naive and tz-aware timestamps,2025-09-16T11:49:18+09:00
IGV,/home/runner/work/Macro-analysis/Macro-analysis/global_universe/data/daily/IGV.csv,0,False,error,Cannot compare tz-naive and tz-aware timestamps,2025-09-16T11:49:18+09:00
IBB,/home/runner/work/Macro-analysis/Macro-analysis/global_universe/data/daily/IBB.csv,0,False,error,Cannot compare tz-naive and tz-aware timestamps,2025-09-16T11:49:18+09:00
XLV,/home/runner/work/Macro-analysis/Macro-analysis/global_universe/data/daily/XLV.csv,0,False,error,Cannot compare tz-naive and tz-aware timestamps,2025-09-16T11:49:18+09:00
XLF,/home/runner/work/Macro-analysis/Macro-analysis/global_universe/data/daily/XLF.csv,0,False,error,Cannot compare tz-naive and tz-aware timestamps,2025-09-16T11:49:18+09:00
XLY,/home/runner/work/Macro-analysis/Macro-analysis/global_universe/data/daily/XLY.csv,0,False,error,Cannot compare tz-naive and tz-aware timestamps,2025-09-16T11:49:18+09:00
XLP,/home/runner/work/Macro-analysis/Macro-analysis/global_universe/data/daily/XLP.csv,0,False,error,Cannot compare tz-naive and tz-aware timestamps,2025-09-16T11:49:18+09:00
XLI,/home/runner/work/Macro-analysis/Macro-analysis/global_universe/data/daily/XLI.csv,0,False,error,Cannot compare tz-naive and tz-aware timestamps,2025-09-16T11:49:18+09:00
XLE,/home/runner/work/Macro-analysis/Macro-analysis/global_universe/data/daily/XLE.csv,0,False,error,Cannot compare tz-naive and tz-aware timestamps,2025-09-16T11:49:18+09:00
XLB,/home/runner/work/Macro-analysis/Macro-analysis/global_universe/data/daily/XLB.csv,0,False,error,Cannot compare tz-naive and tz-aware timestamps,2025-09-16T11:49:18+09:00
