Date,trailingPE,priceToBook,trailingAnnualDividendYield,symbol,currency,quoteType
2025-09-10,20.14723,,0.0,3033.HK,HKD,ETF
2025-10-30,18.825642,,0.0,3033.HK,HKD,ETF
2025-11-06,18.566202,,0.0,3033.HK,HKD,ETF
2025-11-09,18.809427,,0.0,3033.HK,HKD,ETF
2025-11-10,18.841856,,0.0,3033.HK,HKD,ETF
2025-11-11,18.987793,,0.0,3033.HK,HKD,ETF
2025-11-12,18.50134,,0.0,3033.HK,HKD,ETF
2025-11-13,18.322977,,0.0,3033.HK,HKD,ETF
2025-11-17,17.82031,,0.0,3033.HK,HKD,ETF
2025-11-18,17.739235,,0.0,3033.HK,HKD,ETF
2025-11-19,17.090635,,0.0,3033.HK,HKD,ETF
2025-11-20,17.593302,,0.0,3033.HK,HKD,ETF
2025-11-23,17.836525,,0.0,3033.HK,HKD,ETF
2025-11-24,17.852741,,0.0,3033.HK,HKD,ETF
2025-11-25,17.787882,,0.0,3033.HK,HKD,ETF
