Date,trailingPE,forwardPE,priceToBook,priceToSalesTrailing12Months,trailingAnnualDividendYield,symbol,currency,quoteType
2025-09-05,17.254915,,,,,ACWX,USD,ETF
2025-09-06,16.695686,,,,,ACWX,USD,ETF
2025-09-10,16.835897,,,,,ACWX,USD,ETF
2025-10-31,17.210997,,,,,ACWX,USD,ETF
2025-11-07,17.099457,,,,,ACWX,USD,ETF
2025-11-10,17.413326,,,,,ACWX,USD,ETF
2025-11-11,17.496334,,,,,ACWX,USD,ETF
2025-11-12,17.288816,,,,,ACWX,USD,ETF
2025-11-13,17.26547,,,,,ACWX,USD,ETF
2025-11-14,17.052765,,,,,ACWX,USD,ETF
2025-11-18,16.850435,,,,,ACWX,USD,ETF
2025-11-19,16.619572,,,,,ACWX,USD,ETF
2025-11-20,16.785585,,,,,ACWX,USD,ETF
2025-11-21,16.858217,,,,,ACWX,USD,ETF
2025-11-24,17.011263,,,,,ACWX,USD,ETF
2025-11-25,17.185059,,,,,ACWX,USD,ETF
2025-11-26,17.247313,,,,,ACWX,USD,ETF
2025-11-28,17.182463,,,,,ACWX,USD,ETF
