Date,trailingPE,forwardPE,priceToBook,priceToSalesTrailing12Months,trailingAnnualDividendYield,symbol,currency,quoteType
2025-09-05,15.804574,,,,,ASHR,USD,ETF
2025-09-06,15.084458,,,,,ASHR,USD,ETF
2025-09-10,15.0557995,,,,,ASHR,USD,ETF
2025-10-31,16.135267,,,,,ASHR,USD,ETF
2025-11-07,16.247623,,,,,ASHR,USD,ETF
2025-11-10,16.189003,,,,,ASHR,USD,ETF
2025-11-11,16.169462,,,,,ASHR,USD,ETF
2025-11-12,16.276934,,,,,ASHR,USD,ETF
2025-11-13,16.071764,,,,,ASHR,USD,ETF
2025-11-14,15.895902,,,,,ASHR,USD,ETF
2025-11-18,15.891015,,,,,ASHR,USD,ETF
2025-11-19,15.715154,,,,,ASHR,USD,ETF
2025-11-20,15.529524,,,,,ASHR,USD,ETF
2025-11-21,15.558834,,,,,ASHR,USD,ETF
2025-11-24,15.754235,,,,,ASHR,USD,ETF
2025-11-25,15.77866,,,,,ASHR,USD,ETF
2025-11-26,15.915442,,,,,ASHR,USD,ETF
2025-11-28,16.037567,,,,,ASHR,USD,ETF
2025-12-01,15.920326,,,,,ASHR,USD,ETF
2025-12-02,15.910556,,,,,ASHR,USD,ETF
2025-12-03,15.954521,,,,,ASHR,USD,ETF
2025-12-04,16.149923,,,,,ASHR,USD,ETF
2025-12-05,15.929448,,,,,ASHR,USD,ETF
2025-12-08,15.847929,,,,,ASHR,USD,ETF
2025-12-09,15.915061,,,,,ASHR,USD,ETF
2025-12-10,15.795182,,,,,ASHR,USD,ETF
2025-12-11,15.809569,,,,,ASHR,USD,ETF
2025-12-12,15.752027,,,,,ASHR,USD,ETF
2025-12-15,15.598582,,,,,ASHR,USD,ETF
2025-12-16,15.780798,,,,,ASHR,USD,ETF
2025-12-17,15.809569,,,,,ASHR,USD,ETF
2025-12-19,15.507475,,,,,ASHR,USD,ETF
2025-12-22,15.689691,,,,,ASHR,USD,ETF
2025-12-23,15.737641,,,,,ASHR,USD,ETF
2025-12-24,15.876701,,,,,ASHR,USD,ETF
2025-12-26,15.713666,,,,,ASHR,USD,ETF
2025-12-29,15.804773,,,,,ASHR,USD,ETF
2025-12-30,15.752027,,,,,ASHR,USD,ETF
2026-01-06,16.322649,,,,,ASHR,USD,ETF
2026-01-07,16.44509,,,,,ASHR,USD,ETF
2026-01-08,16.537752,,,,,ASHR,USD,ETF
2026-01-09,16.747461,,,,,ASHR,USD,ETF
2026-01-12,16.513367,,,,,ASHR,USD,ETF
2026-01-13,16.425581,,,,,ASHR,USD,ETF
2026-01-14,16.562136,,,,,ASHR,USD,ETF
2026-01-15,16.36706,,,,,ASHR,USD,ETF
2026-01-16,16.328043,,,,,ASHR,USD,ETF
2026-01-20,16.449966,,,,,ASHR,USD,ETF
2026-01-21,16.430458,,,,,ASHR,USD,ETF
2026-01-22,16.391443,,,,,ASHR,USD,ETF
2026-01-23,16.435335,,,,,ASHR,USD,ETF
2026-01-26,16.469475,,,,,ASHR,USD,ETF
2026-01-27,16.415829,,,,,ASHR,USD,ETF
2026-01-28,16.562136,,,,,ASHR,USD,ETF
2026-01-29,16.308535,,,,,ASHR,USD,ETF
2026-02-02,16.210997,,,,,ASHR,USD,ETF
2026-02-03,16.328043,,,,,ASHR,USD,ETF
2026-02-04,16.274193,,,,,ASHR,USD,ETF
2026-02-05,16.509481,,,,,ASHR,USD,ETF
2026-02-06,16.715359,,,,,ASHR,USD,ETF
2026-02-09,16.681047,,,,,ASHR,USD,ETF
2026-02-10,16.671244,,,,,ASHR,USD,ETF
2026-02-11,16.578108,,,,,ASHR,USD,ETF
2026-02-12,16.509481,,,,,ASHR,USD,ETF
2026-02-13,16.597715,,,,,ASHR,USD,ETF
2026-02-17,16.671244,,,,,ASHR,USD,ETF
2026-02-18,16.60752,,,,,ASHR,USD,ETF
2026-02-19,16.715359,,,,,ASHR,USD,ETF
2026-02-20,16.671244,,,,,ASHR,USD,ETF
2026-02-23,16.734968,,,,,ASHR,USD,ETF
2026-02-24,16.945747,,,,,ASHR,USD,ETF
2026-02-25,16.749672,,,,,ASHR,USD,ETF
2026-02-26,16.710459,,,,,ASHR,USD,ETF
2026-02-27,16.715359,,,,,ASHR,USD,ETF
2026-03-02,16.205566,,,,,ASHR,USD,ETF
2026-03-03,16.34772,,,,,ASHR,USD,ETF
2026-03-04,16.151485,,,,,ASHR,USD,ETF
2026-03-05,16.127146,,,,,ASHR,USD,ETF
2026-03-06,16.29752,,,,,ASHR,USD,ETF
2026-03-09,16.380274,,,,,ASHR,USD,ETF
2026-03-10,16.516573,,,,,ASHR,USD,ETF
2026-03-11,16.355932,,,,,ASHR,USD,ETF
2026-03-12,16.32186,,,,,ASHR,USD,ETF
2026-03-13,16.375404,,,,,ASHR,USD,ETF
2026-03-16,16.326727,,,,,ASHR,USD,ETF
2026-03-17,16.132013,,,,,ASHR,USD,ETF
2026-03-18,16.097939,,,,,ASHR,USD,ETF
2026-03-19,15.75719,,,,,ASHR,USD,ETF
2026-03-20,15.654965,,,,,ASHR,USD,ETF
2026-03-23,15.591682,,,,,ASHR,USD,ETF
2026-03-24,15.917829,,,,,ASHR,USD,ETF
2026-03-25,15.533269,,,,,ASHR,USD,ETF
2026-03-26,15.57708,,,,,ASHR,USD,ETF
2026-03-27,15.679304,,,,,ASHR,USD,ETF
2026-03-30,15.888621,,,,,ASHR,USD,ETF
2026-03-31,15.947035,,,,,ASHR,USD,ETF
2026-04-01,15.859415,,,,,ASHR,USD,ETF
2026-04-02,15.73285,,,,,ASHR,USD,ETF
2026-04-06,15.8867235,,,,,ASHR,USD,ETF
2026-04-07,16.532644,,,,,ASHR,USD,ETF
2026-04-08,16.473476,,,,,ASHR,USD,ETF
2026-04-09,16.670706,,,,,ASHR,USD,ETF
2026-04-10,16.83835,,,,,ASHR,USD,ETF
2026-04-13,17.079952,,,,,ASHR,USD,ETF
2026-04-14,16.936962,,,,,ASHR,USD,ETF
2026-04-15,17.010923,,,,,ASHR,USD,ETF
2026-04-16,17.148983,,,,,ASHR,USD,ETF
2026-04-17,17.178568,,,,,ASHR,USD,ETF
2026-04-20,16.9912,,,,,ASHR,USD,ETF
2026-04-21,17.282112,,,,,ASHR,USD,ETF
2026-04-22,17.213081,,,,,ASHR,USD,ETF
2026-04-23,17.20322,,,,,ASHR,USD,ETF
2026-04-24,17.1194,,,,,ASHR,USD,ETF
2026-04-27,17.075024,,,,,ASHR,USD,ETF
2026-04-28,17.144053,,,,,ASHR,USD,ETF
2026-04-29,17.415241,,,,,ASHR,USD,ETF
2026-04-30,17.454687,,,,,ASHR,USD,ETF
2026-05-01,17.311697,,,,,ASHR,USD,ETF
2026-05-04,17.430033,,,,,ASHR,USD,ETF
2026-05-05,17.249155,,,,,ASHR,USD,ETF
2026-05-06,17.03354,,,,,ASHR,USD,ETF
2026-05-07,17.119785,,,,,ASHR,USD,ETF
2026-05-08,17.493517,,,,,ASHR,USD,ETF
2026-05-11,17.416855,,,,,ASHR,USD,ETF
2026-05-12,17.675592,,,,,ASHR,USD,ETF
2026-05-13,17.316235,,,,,ASHR,USD,ETF
2026-05-14,16.995209,,,,,ASHR,USD,ETF
2026-05-15,16.918547,,,,,ASHR,USD,ETF
2026-05-18,16.846674,,,,,ASHR,USD,ETF
2026-05-19,17.014374,,,,,ASHR,USD,ETF
2026-05-20,16.889797,,,,,ASHR,USD,ETF
2026-05-21,16.937712,,,,,ASHR,USD,ETF
2026-05-22,17.297068,,,,,ASHR,USD,ETF
2026-05-26,17.210823,,,,,ASHR,USD,ETF
2026-05-27,17.229988,,,,,ASHR,USD,ETF
2026-05-28,17.234781,,,,,ASHR,USD,ETF
2026-05-29,17.0,,,,,ASHR,USD,ETF
2026-06-01,17.354567,,,,,ASHR,USD,ETF
2026-06-02,17.330608,,,,,ASHR,USD,ETF
2026-06-03,17.195772,,,,,ASHR,USD,ETF
2026-06-04,16.670053,,,,,ASHR,USD,ETF
2026-06-05,16.49322,,,,,ASHR,USD,ETF
2026-06-08,16.703508,,,,,ASHR,USD,ETF
2026-06-09,16.564909,,,,,ASHR,USD,ETF
