Date,trailingPE,priceToBook,trailingAnnualDividendYield,symbol,currency,quoteType
2025-09-09,21.16773,,,BDRY,USD,ETF
2025-09-10,21.791075,,,BDRY,USD,ETF
2025-09-11,21.34954,,,BDRY,USD,ETF
2025-09-12,21.076826,,,BDRY,USD,ETF
2025-09-13,21.037868,,,BDRY,USD,ETF
2025-10-31,14.297097,,,BDRY,USD,ETF
2025-11-07,14.738366,,,BDRY,USD,ETF
2025-11-10,14.86192,,,BDRY,USD,ETF
2025-11-11,14.967824,,,BDRY,USD,ETF
2025-11-12,15.356141,,,BDRY,USD,ETF
2025-11-13,15.17981,,,BDRY,USD,ETF
2025-11-14,15.532649,,,BDRY,USD,ETF
2025-11-18,15.709155,,,BDRY,USD,ETF
2025-11-19,15.744457,,,BDRY,USD,ETF
2025-11-20,15.797409,,,BDRY,USD,ETF
2025-11-21,16.221027,,,BDRY,USD,ETF
2025-11-24,16.29163,,,BDRY,USD,ETF
2025-11-25,16.238678,,,BDRY,USD,ETF
2025-11-26,15.479697,,,BDRY,USD,ETF
2025-11-28,16.485788,,,BDRY,USD,ETF
2025-12-01,16.326931,,,BDRY,USD,ETF
2025-12-02,16.415186,,,BDRY,USD,ETF
2025-12-03,16.362234,,,BDRY,USD,ETF
2025-12-04,15.885663,,,BDRY,USD,ETF
2025-12-05,13.060177,,,BDRY,USD,ETF
2025-12-08,12.467174,,,BDRY,USD,ETF
2025-12-09,12.7255535,,,BDRY,USD,ETF
2025-12-10,12.481294,,,BDRY,USD,ETF
2025-12-11,12.255388,,,BDRY,USD,ETF
2025-12-12,12.594246,,,BDRY,USD,ETF
2025-12-15,12.38246,,,BDRY,USD,ETF
