Date,trailingPE,forwardPE,priceToBook,priceToSalesTrailing12Months,trailingAnnualDividendYield,symbol,currency,quoteType
2025-09-05,15.921285,,,,0.0,CHIQ,USD,ETF
2025-09-06,15.405916,,,,0.0,CHIQ,USD,ETF
2025-09-10,15.709981,,,,0.0,CHIQ,USD,ETF
2025-10-31,15.9717245,,,,0.0,CHIQ,USD,ETF
2025-11-07,15.659913,,,,0.0,CHIQ,USD,ETF
2025-11-10,16.11031,,,,0.0,CHIQ,USD,ETF
2025-11-11,15.999442,,,,0.0,CHIQ,USD,ETF
2025-11-12,15.881646,,,,0.0,CHIQ,USD,ETF
2025-11-13,15.652984,,,,0.0,CHIQ,USD,ETF
2025-11-14,15.493613,,,,0.0,CHIQ,USD,ETF
