Date,trailingPE,priceToBook,trailingAnnualDividendYield,symbol,currency,quoteType
2025-09-09,3.2449644,1.1377198,,CPER,USD,ETF
2025-09-10,3.256541,1.1417786,,CPER,USD,ETF
2025-09-11,3.2796946,1.1498965,,CPER,USD,ETF
2025-09-12,3.3341053,1.1689734,,CPER,USD,ETF
2025-09-13,3.310952,1.1608557,,CPER,USD,ETF
2025-10-31,3.6501508,1.2797825,,CPER,USD,ETF
2025-11-07,3.5505905,1.2448757,,CPER,USD,ETF
2025-11-10,3.628155,1.2720705,,CPER,USD,ETF
2025-11-11,3.6466777,1.2785648,,CPER,USD,ETF
2025-11-12,3.6188934,1.2688234,,CPER,USD,ETF
2025-11-13,3.6258395,1.2712587,,CPER,USD,ETF
2025-11-14,3.5783749,1.2546171,,CPER,USD,ETF
2025-11-18,3.6038437,1.2635467,,CPER,USD,ETF
2025-11-19,3.5621674,1.2489346,,CPER,USD,ETF
2025-11-20,3.5968976,1.2611114,,CPER,USD,ETF
2025-11-21,3.6015284,1.262735,,CPER,USD,ETF
2025-11-24,3.609632,1.2655762,,CPER,USD,ETF
2025-11-25,3.6860387,1.2923652,,CPER,USD,ETF
2025-11-26,3.7369761,1.3102244,,CPER,USD,ETF
2025-11-28,3.7381341,1.3106304,,CPER,USD,ETF
