Date,trailingPE,forwardPE,priceToBook,priceToSalesTrailing12Months,trailingAnnualDividendYield,symbol,currency,quoteType
2025-09-05,22.999191,,,,,CQQQ,USD,ETF
2025-09-06,21.682673,,,,,CQQQ,USD,ETF
2025-09-10,21.871473,,,,,CQQQ,USD,ETF
2025-10-31,24.207123,,,,,CQQQ,USD,ETF
2025-11-07,23.762758,,,,,CQQQ,USD,ETF
2025-11-10,23.883556,,,,,CQQQ,USD,ETF
2025-11-11,23.698044,,,,,CQQQ,USD,ETF
2025-11-12,23.41762,,,,,CQQQ,USD,ETF
2025-11-13,22.951683,,,,,CQQQ,USD,ETF
2025-11-14,22.718714,,,,,CQQQ,USD,ETF
2025-11-18,22.37789,,,,,CQQQ,USD,ETF
2025-11-19,21.795471,,,,,CQQQ,USD,ETF
2025-11-20,21.748014,,,,,CQQQ,USD,ETF
2025-11-21,22.360634,,,,,CQQQ,USD,ETF
2025-11-24,22.6238,,,,,CQQQ,USD,ETF
2025-11-25,22.563402,,,,,CQQQ,USD,ETF
2025-11-26,22.701458,,,,,CQQQ,USD,ETF
2025-11-28,22.852457,,,,,CQQQ,USD,ETF
2025-12-01,22.567717,,,,,CQQQ,USD,ETF
2025-12-02,22.282978,,,,,CQQQ,USD,ETF
2025-12-03,22.511633,,,,,CQQQ,USD,ETF
2025-12-04,22.830883,,,,,CQQQ,USD,ETF
2025-12-05,24.680452,,,,,CQQQ,USD,ETF
2025-12-08,24.453773,,,,,CQQQ,USD,ETF
2025-12-09,24.634192,,,,,CQQQ,USD,ETF
2025-12-10,24.467651,,,,,CQQQ,USD,ETF
2025-12-11,24.31499,,,,,CQQQ,USD,ETF
2025-12-12,23.884758,,,,,CQQQ,USD,ETF
2025-12-15,23.741346,,,,,CQQQ,USD,ETF
2025-12-16,23.690458,,,,,CQQQ,USD,ETF
2025-12-17,23.824617,,,,,CQQQ,USD,ETF
2025-12-19,24.111437,,,,,CQQQ,USD,ETF
2025-12-22,23.852375,,,,,CQQQ,USD,ETF
2025-12-23,24.009665,,,,,CQQQ,USD,ETF
2025-12-24,24.162325,,,,,CQQQ,USD,ETF
2025-12-26,23.995785,,,,,CQQQ,USD,ETF
2025-12-29,24.208588,,,,,CQQQ,USD,ETF
2025-12-30,24.055923,,,,,CQQQ,USD,ETF
2026-01-06,25.832361,,,,,CQQQ,USD,ETF
2026-01-07,23.969717,,,,,CQQQ,USD,ETF
2026-01-08,24.210316,,,,,CQQQ,USD,ETF
2026-01-09,25.301607,,,,,CQQQ,USD,ETF
2026-01-12,24.459509,,,,,CQQQ,USD,ETF
2026-01-13,24.657145,,,,,CQQQ,USD,ETF
2026-01-14,24.717293,,,,,CQQQ,USD,ETF
2026-01-15,24.438028,,,,,CQQQ,USD,ETF
2026-01-16,23.73771,,,,,CQQQ,USD,ETF
2026-01-20,24.545439,,,,,CQQQ,USD,ETF
2026-01-21,24.635662,,,,,CQQQ,USD,ETF
2026-01-22,24.81611,,,,,CQQQ,USD,ETF
2026-01-23,24.549734,,,,,CQQQ,USD,ETF
2026-01-26,24.811815,,,,,CQQQ,USD,ETF
2026-01-27,24.837595,,,,,CQQQ,USD,ETF
2026-01-28,24.468102,,,,,CQQQ,USD,ETF
2026-01-29,23.974014,,,,,CQQQ,USD,ETF
2026-02-02,23.295181,,,,,CQQQ,USD,ETF
2026-02-03,22.556196,,,,,CQQQ,USD,ETF
2026-02-04,21.549177,,,,,CQQQ,USD,ETF
2026-02-05,22.230982,,,,,CQQQ,USD,ETF
2026-02-06,22.350815,,,,,CQQQ,USD,ETF
2026-02-09,22.32189,,,,,CQQQ,USD,ETF
2026-02-10,22.288832,,,,,CQQQ,USD,ETF
2026-02-11,21.735123,,,,,CQQQ,USD,ETF
2026-02-12,21.966524,,,,,CQQQ,USD,ETF
2026-02-13,22.007845,,,,,CQQQ,USD,ETF
2026-02-17,22.181396,,,,,CQQQ,USD,ETF
2026-02-18,22.078093,,,,,CQQQ,USD,ETF
2026-02-19,22.127678,,,,,CQQQ,USD,ETF
