Date,trailingPE,priceToBook,trailingAnnualDividendYield,symbol,currency,quoteType
2025-09-09,4.011504,1.4440184,,DBE,USD,ETF
2025-09-10,4.037708,1.4534508,,DBE,USD,ETF
2025-09-11,4.086238,1.4709202,,DBE,USD,ETF
2025-09-12,4.010993,1.4438344,,DBE,USD,ETF
2025-09-13,4.02663,1.4494631,,DBE,USD,ETF
2025-10-31,4.076545,1.467431,,DBE,USD,ETF
2025-11-07,4.0956545,1.4743098,,DBE,USD,ETF
2025-11-10,4.1968474,1.5107362,,DBE,USD,ETF
2025-11-11,4.0775456,1.4677913,,DBE,USD,ETF
2025-11-12,4.069472,1.464885,,DBE,USD,ETF
2025-11-13,4.1371965,1.4892638,,DBE,USD,ETF
2025-11-14,4.1285048,1.486135,,DBE,USD,ETF
2025-11-18,4.1206436,1.4833052,,DBE,USD,ETF
2025-11-19,4.0626335,1.4624233,,DBE,USD,ETF
2025-11-20,4.0077763,1.4426764,,DBE,USD,ETF
2025-11-21,4.04951,1.4576994,,DBE,USD,ETF
2025-11-24,3.9795487,1.4325154,,DBE,USD,ETF
2025-11-25,4.0044527,1.44148,,DBE,USD,ETF
2025-11-26,4.057073,1.4604218,,DBE,USD,ETF
2025-11-28,4.066276,1.4637346,,DBE,USD,ETF
2025-12-01,4.0209208,1.4474081,,DBE,USD,ETF
2025-12-02,4.058969,1.4611043,,DBE,USD,ETF
2025-12-03,4.0883045,1.4716642,,DBE,USD,ETF
2025-12-04,4.122284,1.4838958,,DBE,USD,ETF
2025-12-05,4.0211973,1.4475076,,DBE,USD,ETF
2025-12-08,3.981679,1.4332823,,DBE,USD,ETF
2025-12-09,4.0190034,1.4467179,,DBE,USD,ETF
2025-12-10,3.946485,1.4206134,,DBE,USD,ETF
2025-12-11,3.8943336,1.4018406,,DBE,USD,ETF
2025-12-12,3.8602476,1.3895706,,DBE,USD,ETF
2025-12-15,3.7654452,1.3554448,,DBE,USD,ETF
2025-12-16,3.8559866,1.3880368,,DBE,USD,ETF
2025-12-17,3.788901,1.3638881,,DBE,USD,ETF
2025-12-19,3.824968,1.3768711,,DBE,USD,ETF
2025-12-22,3.7954838,1.3662577,,DBE,USD,ETF
2025-12-23,3.7771623,1.3596625,,DBE,USD,ETF
2025-12-24,3.7111208,1.3358896,,DBE,USD,ETF
