Date,trailingPE,priceToBook,trailingAnnualDividendYield,symbol,currency,quoteType
2025-09-10,22.193384,1.2786647,0.012319158,DIA,USD,ETF
2025-10-31,23.971155,1.3279675,0.011831329,DIA,USD,ETF
2025-11-07,23.678362,1.3117472,0.011975792,DIA,USD,ETF
2025-11-10,24.15963,1.3384088,0.011861044,DIA,USD,ETF
2025-11-11,24.328451,1.3477613,0.011722743,DIA,USD,ETF
2025-11-12,23.924286,1.3253711,0.011641395,DIA,USD,ETF
2025-11-13,23.776127,1.3171633,0.011838059,DIA,USD,ETF
2025-11-14,23.499966,1.3018644,0.011911827,DIA,USD,ETF
2025-11-18,23.270166,1.2891339,0.012182961,DIA,USD,ETF
2025-11-19,23.085724,1.2789159,0.012170824,DIA,USD,ETF
2025-11-20,23.310986,1.2913952,0.012283509,DIA,USD,ETF
2025-11-21,23.405224,1.2966158,0.012149512,DIA,USD,ETF
2025-11-24,23.744883,1.3154324,0.012100594,DIA,USD,ETF
2025-11-25,23.904634,1.3242824,0.011927501,DIA,USD,ETF
