Date,trailingPE,priceToBook,trailingAnnualDividendYield,symbol,currency,quoteType
2025-09-10,15.236837,0.97395307,0.014928305,EEM,USD,ETF
2025-10-31,14.747657,1.052151,0.013710987,EEM,USD,ETF
2025-11-07,14.547643,1.0378813,0.013891428,EEM,USD,ETF
2025-11-10,14.819661,1.057288,0.013691227,EEM,USD,ETF
2025-11-11,14.822329,1.0574783,0.013676444,EEM,USD,ETF
2025-11-12,14.648984,1.0451113,0.013673983,EEM,USD,ETF
2025-11-13,14.656983,1.0456821,0.013835791,EEM,USD,ETF
2025-11-14,14.48364,1.0333151,0.0138282385,EEM,USD,ETF
2025-11-18,14.360964,1.0245628,0.014063656,EEM,USD,ETF
2025-11-19,14.163618,1.0104835,0.014113278,EEM,USD,ETF
