Date,trailingPE,priceToBook,trailingAnnualDividendYield,symbol,currency,quoteType
2025-09-10,17.345987,1.2749928,0.018994715,EFA,USD,ETF
2025-10-31,18.297907,1.3038318,0.018595565,EFA,USD,ETF
2025-11-07,18.261114,1.3012102,0.018744014,EFA,USD,ETF
2025-11-10,18.58838,1.3245298,0.018480428,EFA,USD,ETF
2025-11-11,18.698761,1.332395,0.018345661,EFA,USD,ETF
2025-11-12,18.499302,1.3181825,0.018237365,EFA,USD,ETF
2025-11-13,18.447018,1.3144568,0.018434001,EFA,USD,ETF
2025-11-14,18.206892,1.2973465,0.018486248,EFA,USD,ETF
2025-11-18,17.916418,1.2766485,0.018976294,EFA,USD,ETF
2025-11-19,17.668547,1.2589864,0.019033724,EFA,USD,ETF
2025-11-20,17.941593,1.2784424,0.019300746,EFA,USD,ETF
2025-11-21,17.957085,1.2795464,0.019007016,EFA,USD,ETF
2025-11-24,18.172035,1.2948627,0.018990617,EFA,USD,ETF
2025-11-25,18.371494,1.3090754,0.018765986,EFA,USD,ETF
2025-11-26,18.433462,1.313491,0.018562242,EFA,USD,ETF
2025-11-28,18.342447,1.3070055,0.018499842,EFA,USD,ETF
2025-12-01,18.404415,1.3114212,0.018591639,EFA,USD,ETF
2025-12-02,18.503176,1.3184584,0.01852904,EFA,USD,ETF
2025-12-03,18.553524,1.322046,0.018430142,EFA,USD,ETF
2025-12-04,18.553524,1.322046,0.018380128,EFA,USD,ETF
2025-12-05,18.156828,1.3179065,0.018380128,EFA,USD,ETF
2025-12-08,18.132114,1.3161126,0.01843786,EFA,USD,ETF
2025-12-09,18.333624,1.3307393,0.018462991,EFA,USD,ETF
2025-12-10,18.441984,1.3386045,0.018260058,EFA,USD,ETF
2025-12-11,18.34503,1.331567,0.018152768,EFA,USD,ETF
2025-12-12,18.457191,1.3397082,0.018248705,EFA,USD,ETF
2025-12-15,18.044666,1.3097652,0.018466456,EFA,USD,ETF
2025-12-16,17.898287,1.2991403,0.018552465,EFA,USD,ETF
2025-12-17,18.025656,1.3083854,0.018704196,EFA,USD,ETF
2025-12-19,18.147322,1.3172165,0.018572032,EFA,USD,ETF
2025-12-22,18.305109,1.3286694,0.018401254,EFA,USD,ETF
2025-12-23,18.327923,1.3303252,0.018288504,EFA,USD,ETF
2025-12-24,18.358337,1.332533,0.01826574,EFA,USD,ETF
2025-12-26,18.303207,1.3285314,0.018235477,EFA,USD,ETF
2025-12-29,18.333624,1.3307393,0.018290404,EFA,USD,ETF
2025-12-30,18.255682,1.3250817,0.018260058,EFA,USD,ETF
2026-01-06,18.687218,1.3564047,0.017941926,EFA,USD,ETF
2026-01-07,18.862143,1.3514371,0.017982233,EFA,USD,ETF
2026-01-08,19.029694,1.3634418,0.017980397,EFA,USD,ETF
2026-01-09,19.029694,1.3634418,0.017941926,EFA,USD,ETF
2026-01-12,19.145248,1.3717211,0.017822083,EFA,USD,ETF
2026-01-13,19.124063,1.3702033,0.017816674,EFA,USD,ETF
2026-01-14,19.11636,1.3696513,0.017734138,EFA,USD,ETF
2026-01-15,19.168358,1.373377,0.017741285,EFA,USD,ETF
2026-01-16,18.877548,1.352541,0.017693158,EFA,USD,ETF
2026-01-20,19.072063,1.3664776,0.017965723,EFA,USD,ETF
2026-01-21,19.147173,1.3718591,0.01778249,EFA,USD,ETF
2026-01-22,19.253098,1.3794483,0.017712735,EFA,USD,ETF
2026-01-23,19.349392,1.3863477,0.017615285,EFA,USD,ETF
2026-01-26,19.661385,1.4087013,0.017527621,EFA,USD,ETF
2026-01-27,19.45339,1.393799,0.017249487,EFA,USD,ETF
2026-01-28,19.58435,1.403182,0.017433917,EFA,USD,ETF
2026-01-29,19.40139,1.3900732,0.017317336,EFA,USD,ETF
2026-02-02,19.538128,1.3998703,0.017366864,EFA,USD,ETF
2026-02-03,19.601683,1.4044238,0.017358305,EFA,USD,ETF
2026-02-04,18.414516,1.3844159,0.017302025,EFA,USD,ETF
2026-02-05,19.32605,1.4158767,0.017552078,EFA,USD,ETF
2026-02-06,19.585966,1.4349188,0.01716207,EFA,USD,ETF
2026-02-09,19.63305,1.4383684,0.016934322,EFA,USD,ETF
2026-02-10,19.764894,1.4480275,0.016893707,EFA,USD,ETF
2026-02-11,19.616102,1.4371266,0.016781017,EFA,USD,ETF
2026-02-12,19.63305,1.4383684,0.016908305,EFA,USD,ETF
2026-02-13,19.629286,1.4380925,0.016893707,EFA,USD,ETF
2026-02-17,19.651886,1.4397483,0.016896948,EFA,USD,ETF
2026-02-18,19.597267,1.4357468,0.016877517,EFA,USD,ETF
2026-02-19,19.75736,1.4474756,0.016924554,EFA,USD,ETF
2026-02-20,19.676373,1.4415421,0.016787417,EFA,USD,ETF
2026-02-23,19.712158,1.4441639,0.016856514,EFA,USD,ETF
2026-02-24,19.900503,1.4579625,0.016825913,EFA,USD,ETF
2026-02-25,19.88355,1.4567206,0.016666666,EFA,USD,ETF
2026-02-26,19.847765,1.4540988,0.016680876,EFA,USD,ETF
2026-02-27,19.456009,1.4253978,0.016710952,EFA,USD,ETF
2026-03-02,18.851421,1.3811041,0.017047435,EFA,USD,ETF
2026-03-03,19.094385,1.3989043,0.017594166,EFA,USD,ETF
2026-03-04,17.83847,1.3682715,0.017370291,EFA,USD,ETF
2026-03-05,18.319088,1.3561286,0.017759176,EFA,USD,ETF
2026-03-06,18.45143,1.3659257,0.017918194,EFA,USD,ETF
2026-03-09,18.4943,1.3690994,0.017789677,EFA,USD,ETF
2026-03-10,18.455158,1.3662016,0.017748438,EFA,USD,ETF
2026-03-11,18.166243,1.3448137,0.017786082,EFA,USD,ETF
2026-03-12,17.950024,1.3288075,0.018068952,EFA,USD,ETF
2026-03-13,18.285536,1.3536448,0.018286604,EFA,USD,ETF
2026-03-16,18.335865,1.3573706,0.017951071,EFA,USD,ETF
2026-03-17,18.022718,1.3341888,0.017901799,EFA,USD,ETF
2026-03-18,17.99103,1.331843,0.018212846,EFA,USD,ETF
2026-03-19,17.444885,1.2914131,0.018244924,EFA,USD,ETF
2026-03-20,17.864279,1.3224599,0.018816113,EFA,USD,ETF
2026-03-23,17.758034,1.3145947,0.018374374,EFA,USD,ETF
2026-03-24,18.017126,1.3337749,0.01848431,EFA,USD,ETF
2026-03-25,17.644333,1.3061777,0.018218497,EFA,USD,ETF
2026-03-26,17.48403,1.2943108,0.018603422,EFA,USD,ETF
2026-03-27,17.534357,1.2980365,0.018773988,EFA,USD,ETF
2026-03-30,18.10473,1.3402601,0.018720103,EFA,USD,ETF
2026-03-31,18.3806,1.3606822,0.018130342,EFA,USD,ETF
2026-04-01,18.266897,1.352265,0.01785823,EFA,USD,ETF
2026-04-02,18.35823,1.3590263,0.017969389,EFA,USD,ETF
2026-04-06,18.036346,1.3570945,0.017879989,EFA,USD,ETF
2026-04-07,18.740562,1.4100813,0.01790544,EFA,USD,ETF
2026-04-08,18.696548,1.4067695,0.017232606,EFA,USD,ETF
2026-04-09,18.738728,1.4099432,0.017273175,EFA,USD,ETF
2026-04-10,18.854263,1.4186363,0.017234292,EFA,USD,ETF
2026-04-13,19.006477,1.4300892,0.017128685,EFA,USD,ETF
2026-04-14,18.945957,1.4255357,0.01699151,EFA,USD,ETF
2026-04-15,18.890942,1.4213961,0.017045785,EFA,USD,ETF
2026-04-16,19.131182,1.4394723,0.017095428,EFA,USD,ETF
2026-04-17,19.055992,1.4338149,0.016880753,EFA,USD,ETF
2026-04-20,18.637863,1.402354,0.016947359,EFA,USD,ETF
2026-04-21,18.700216,1.4070456,0.017327562,EFA,USD,ETF
2026-04-22,18.566341,1.3969725,0.017269785,EFA,USD,ETF
2026-04-23,18.663538,1.4042858,0.017394312,EFA,USD,ETF
2026-04-24,18.592016,1.3989043,0.017303726,EFA,USD,ETF
2026-04-27,18.514994,1.393109,0.017370291,EFA,USD,ETF
2026-04-28,18.326103,1.3788964,0.017442552,EFA,USD,ETF
2026-04-29,18.764402,1.4118751,0.017622337,EFA,USD,ETF
2026-04-30,18.724056,1.4088393,0.017210713,EFA,USD,ETF
2026-05-01,18.467312,1.3895212,0.017247796,EFA,USD,ETF
2026-05-04,18.713055,1.4080114,0.017487587,EFA,USD,ETF
2026-05-05,18.55193,1.4462336,0.017257938,EFA,USD,ETF
2026-05-06,18.21208,1.4197403,0.016801832,EFA,USD,ETF
2026-05-07,18.583925,1.4345049,0.017115366,EFA,USD,ETF
2026-05-08,18.565882,1.4314691,0.016939208,EFA,USD,ETF
2026-05-11,18.458502,1.42319,0.01697513,EFA,USD,ETF
2026-05-12,18.58199,1.432711,0.01707388,EFA,USD,ETF
2026-05-13,18.515772,1.4276055,0.016960416,EFA,USD,ETF
2026-05-14,18.204372,1.4035959,0.017021071,EFA,USD,ETF
2026-05-15,18.3726,1.4165666,0.01731223,EFA,USD,ETF
2026-05-18,18.240164,1.4063556,0.01715371,EFA,USD,ETF
2026-05-19,18.544407,1.4298134,0.017278258,EFA,USD,ETF
2026-05-20,18.646418,1.4376786,0.01699479,EFA,USD,ETF
2026-05-21,18.608833,1.4347808,0.016901813,EFA,USD,ETF
2026-05-22,18.814644,1.4506491,0.016935948,EFA,USD,ETF
2026-05-26,18.750216,1.4456817,0.01675069,EFA,USD,ETF
2026-05-27,18.735899,1.4445778,0.016808247,EFA,USD,ETF
2026-05-28,18.755587,1.4460957,0.01682109,EFA,USD,ETF
2026-05-29,18.691158,1.4411283,0.016803434,EFA,USD,ETF
2026-06-01,18.794956,1.4491314,0.016861355,EFA,USD,ETF
2026-06-02,18.633888,1.4367126,0.016768236,EFA,USD,ETF
2026-06-03,18.642662,1.4481654,0.016913177,EFA,USD,ETF
2026-06-04,18.16483,1.4110472,0.016779419,EFA,USD,ETF
2026-06-05,18.274961,1.4196023,0.01722081,EFA,USD,ETF
2026-06-08,18.278515,1.4198784,0.01711703,EFA,USD,ETF
2026-06-09,18.042261,1.4015261,0.017113702,EFA,USD,ETF
2026-06-10,18.603584,1.4451298,0.017337797,EFA,USD,ETF
2026-06-11,18.655096,1.4491314,0.016814666,EFA,USD,ETF
2026-06-12,18.488123,1.4361607,0.017033583,EFA,USD,ETF
2026-06-15,18.528976,1.4393343,0.016919678,EFA,USD,ETF
2026-06-16,18.434832,1.432021,0.016882371,EFA,USD,ETF
2026-06-17,18.546741,1.4407142,0.016968587,EFA,USD,ETF
2026-06-18,18.576939,1.44306,0.0168662,EFA,USD,ETF
2026-06-22,18.200356,1.4138069,0.016838783,EFA,USD,ETF
2026-06-23,18.16483,1.4110472,0.017187195,EFA,USD,ETF
2026-06-24,18.322924,1.4233279,0.01722081,EFA,USD,ETF
2026-06-25,18.214565,1.4149108,0.017072225,EFA,USD,ETF
2026-06-26,18.376211,1.4274675,0.017173786,EFA,USD,ETF
2026-06-29,18.452595,1.4334009,0.017022718,EFA,USD,ETF
2026-06-30,18.29983,1.4215341,0.016952254,EFA,USD,ETF
2026-07-01,18.539637,1.4401623,0.017093768,EFA,USD,ETF
2026-07-02,18.733255,1.4552027,0.016872665,EFA,USD,ETF
2026-07-06,18.893827,1.4372646,0.016698275,EFA,USD,ETF
2026-07-07,18.748713,1.4262257,0.016906682,EFA,USD,ETF
2026-07-08,18.850292,1.4339528,0.017037539,EFA,USD,ETF
2026-07-09,18.924664,1.4396104,0.016945729,EFA,USD,ETF
2026-07-10,18.726946,1.4245697,0.016879134,EFA,USD,ETF
2026-07-13,18.857548,1.4345049,0.017057342,EFA,USD,ETF
2026-07-14,18.98271,1.4440259,0.016939208,EFA,USD,ETF
2026-07-15,18.83034,1.432435,0.01682752,EFA,USD,ETF
2026-07-16,18.74327,1.4258118,0.016963685,EFA,USD,ETF
2026-07-17,18.605413,1.4153247,0.017042486,EFA,USD,ETF
2026-07-20,18.875687,1.4358846,0.017168764,EFA,USD,ETF
2026-07-21,18.910152,1.4385064,0.01692293,EFA,USD,ETF
