Date,trailingPE,priceToBook,trailingAnnualDividendYield,symbol,currency,quoteType
2025-09-10,14.487564,,0.0,EIS,USD,ETF
2025-10-31,14.972673,,0.0,EIS,USD,ETF
2025-11-07,15.034055,,0.0,EIS,USD,ETF
2025-11-10,15.435957,,0.0,EIS,USD,ETF
2025-11-11,15.658099,,0.0,EIS,USD,ETF
2025-11-12,15.482724,,0.0,EIS,USD,ETF
2025-11-13,15.421342,,0.0,EIS,USD,ETF
2025-11-14,15.240121,,0.0,EIS,USD,ETF
2025-11-18,15.035516,,0.0,EIS,USD,ETF
2025-11-19,14.526928,,0.0,EIS,USD,ETF
2025-11-20,14.687689,,0.0,EIS,USD,ETF
2025-11-21,14.922984,,0.0,EIS,USD,ETF
2025-11-24,14.860141,,0.0,EIS,USD,ETF
2025-11-25,14.9829035,,0.0,EIS,USD,ETF
2025-11-26,15.164125,,0.0,EIS,USD,ETF
2025-11-28,15.203584,,0.0,EIS,USD,ETF
2025-12-01,15.447648,,0.0,EIS,USD,ETF
2025-12-02,15.674175,,0.0,EIS,USD,ETF
2025-12-03,15.731172,,0.0,EIS,USD,ETF
2025-12-04,15.7165575,,0.0,EIS,USD,ETF
2025-12-05,17.579235,,0.0,EIS,USD,ETF
2025-12-08,17.61309,,0.0,EIS,USD,ETF
2025-12-09,17.824287,,0.0,EIS,USD,ETF
2025-12-10,18.051605,,0.0,EIS,USD,ETF
2025-12-11,17.82751,,0.0,EIS,USD,ETF
2025-12-12,17.663069,,0.0,EIS,USD,ETF
2025-12-15,17.53893,,0.0,EIS,USD,ETF
2025-12-16,17.443811,,0.0,EIS,USD,ETF
2025-12-17,17.780758,,0.0,EIS,USD,ETF
2025-12-19,17.925856,,0.0,EIS,USD,ETF
2025-12-22,18.119316,,0.0,EIS,USD,ETF
2025-12-23,18.132214,,0.0,EIS,USD,ETF
2025-12-24,17.685638,,0.0,EIS,USD,ETF
2025-12-26,17.753351,,0.0,EIS,USD,ETF
2025-12-29,17.846857,,0.0,EIS,USD,ETF
2025-12-30,17.738842,,0.0,EIS,USD,ETF
2026-01-06,18.751291,,0.0,EIS,USD,ETF
2026-01-07,18.43924,,0.0,EIS,USD,ETF
2026-01-08,18.647879,,0.0,EIS,USD,ETF
2026-01-09,18.671587,,0.0,EIS,USD,ETF
2026-01-12,18.59888,,0.0,EIS,USD,ETF
2026-01-13,18.771166,,0.0,EIS,USD,ETF
2026-01-14,18.859678,,0.0,EIS,USD,ETF
2026-01-15,18.83281,,0.0,EIS,USD,ETF
2026-01-16,18.497723,,0.0,EIS,USD,ETF
2026-01-20,18.51669,,0.0,EIS,USD,ETF
2026-01-21,18.62259,,0.0,EIS,USD,ETF
2026-01-22,18.774326,,0.0,EIS,USD,ETF
2026-01-23,19.017738,,0.0,EIS,USD,ETF
2026-01-26,19.191603,,0.0,EIS,USD,ETF
2026-01-27,19.082542,,0.0,EIS,USD,ETF
2026-01-28,18.91658,,0.0,EIS,USD,ETF
2026-01-29,18.807518,,0.0,EIS,USD,ETF
2026-02-02,19.204248,,0.0,EIS,USD,ETF
2026-02-03,19.069899,,0.0,EIS,USD,ETF
2026-02-04,17.900845,,0.0,EIS,USD,ETF
2026-02-05,18.072666,,0.0,EIS,USD,ETF
2026-02-06,18.286686,,0.0,EIS,USD,ETF
2026-02-09,18.539892,,0.0,EIS,USD,ETF
2026-02-10,18.574558,,0.0,EIS,USD,ETF
2026-02-11,18.533865,,0.0,EIS,USD,ETF
2026-02-12,18.463026,,0.0,EIS,USD,ETF
2026-02-13,18.521807,,0.0,EIS,USD,ETF
2026-02-17,18.476591,,0.0,EIS,USD,ETF
2026-02-18,18.333408,,0.0,EIS,USD,ETF
2026-02-19,18.50372,,0.0,EIS,USD,ETF
2026-02-20,18.446447,,0.0,EIS,USD,ETF
2026-02-23,18.244484,,0.0,EIS,USD,ETF
2026-02-24,18.196255,,0.0,EIS,USD,ETF
2026-02-25,17.906874,,0.0,EIS,USD,ETF
2026-02-26,17.902353,,0.0,EIS,USD,ETF
2026-02-27,18.894081,,0.0,EIS,USD,ETF
2026-03-02,18.661974,,0.0,EIS,USD,ETF
2026-03-03,18.96492,,0.0,EIS,USD,ETF
2026-03-04,18.859507,,0.0,EIS,USD,ETF
2026-03-05,19.085632,,0.0,EIS,USD,ETF
2026-03-06,18.809315,,0.0,EIS,USD,ETF
2026-03-09,18.49808,,0.0,EIS,USD,ETF
2026-03-10,18.341702,,0.0,EIS,USD,ETF
2026-03-11,17.869532,,0.0,EIS,USD,ETF
2026-03-12,17.902933,,0.0,EIS,USD,ETF
2026-03-13,18.07753,,0.0,EIS,USD,ETF
2026-03-16,18.48897,,0.0,EIS,USD,ETF
2026-03-17,18.458605,,0.0,EIS,USD,ETF
2026-03-18,18.65142,,0.0,EIS,USD,ETF
2026-03-19,18.246054,,0.0,EIS,USD,ETF
2026-03-20,18.296156,,0.0,EIS,USD,ETF
2026-03-23,18.097267,,0.0,EIS,USD,ETF
2026-03-24,18.280973,,0.0,EIS,USD,ETF
2026-03-25,17.998583,,0.0,EIS,USD,ETF
2026-03-26,17.291088,,0.0,EIS,USD,ETF
2026-03-27,16.735418,,0.0,EIS,USD,ETF
2026-03-30,17.617508,,0.0,EIS,USD,ETF
2026-03-31,17.99251,,0.0,EIS,USD,ETF
2026-04-01,17.892305,,0.0,EIS,USD,ETF
2026-04-02,17.969736,,0.0,EIS,USD,ETF
2026-04-06,17.181784,,0.0,EIS,USD,ETF
2026-04-07,17.763847,,0.0,EIS,USD,ETF
2026-04-08,17.985933,,0.0,EIS,USD,ETF
2026-04-09,18.22979,,0.0,EIS,USD,ETF
2026-04-10,18.152859,,0.0,EIS,USD,ETF
2026-04-13,18.483807,,0.0,EIS,USD,ETF
2026-04-14,18.498323,,0.0,EIS,USD,ETF
2026-04-15,18.340105,,0.0,EIS,USD,ETF
2026-04-16,18.842335,,0.0,EIS,USD,ETF
2026-04-17,18.682669,,0.0,EIS,USD,ETF
2026-04-20,18.34446,,0.0,EIS,USD,ETF
2026-04-21,18.480904,,0.0,EIS,USD,ETF
2026-04-22,18.50413,,0.0,EIS,USD,ETF
2026-04-23,18.393812,,0.0,EIS,USD,ETF
2026-04-24,18.435907,,0.0,EIS,USD,ETF
2026-04-27,18.521547,,0.0,EIS,USD,ETF
2026-04-28,18.716053,,0.0,EIS,USD,ETF
2026-04-29,18.98023,,0.0,EIS,USD,ETF
2026-04-30,19.071678,,0.0,EIS,USD,ETF
2026-05-01,19.283602,,0.0,EIS,USD,ETF
2026-05-04,19.614552,,0.0,EIS,USD,ETF
2026-05-05,17.79482,,0.0,EIS,USD,ETF
2026-05-06,18.316772,,0.0,EIS,USD,ETF
2026-05-07,18.580109,,0.0,EIS,USD,ETF
2026-05-08,18.47966,,0.0,EIS,USD,ETF
2026-05-11,18.300484,,0.0,EIS,USD,ETF
2026-05-12,18.194605,,0.0,EIS,USD,ETF
2026-05-13,18.17153,,0.0,EIS,USD,ETF
2026-05-14,17.646215,,0.0,EIS,USD,ETF
2026-05-15,17.545767,,0.0,EIS,USD,ETF
2026-05-18,17.557985,,0.0,EIS,USD,ETF
2026-05-19,17.944843,,0.0,EIS,USD,ETF
2026-05-20,18.014072,,0.0,EIS,USD,ETF
2026-05-21,18.1661,,0.0,EIS,USD,ETF
2026-05-22,18.623545,,0.0,EIS,USD,ETF
2026-05-26,18.677841,,0.0,EIS,USD,ETF
2026-05-27,18.672411,,0.0,EIS,USD,ETF
2026-05-28,18.690058,,0.0,EIS,USD,ETF
2026-05-29,18.181032,,0.0,EIS,USD,ETF
2026-06-01,17.996426,,0.0,EIS,USD,ETF
2026-06-02,17.651644,,0.0,EIS,USD,ETF
