Date,trailingPE,priceToBook,trailingAnnualDividendYield,symbol,currency,quoteType
2025-09-10,15.865294,,,EMXC,USD,ETF
2025-10-31,15.052558,,,EMXC,USD,ETF
2025-11-07,14.7963,,,EMXC,USD,ETF
2025-11-10,15.08381,,,EMXC,USD,ETF
2025-11-11,15.081726,,,EMXC,USD,ETF
2025-11-12,14.852552,,,EMXC,USD,ETF
2025-11-13,14.944222,,,EMXC,USD,ETF
2025-11-14,14.769216,,,EMXC,USD,ETF
2025-11-18,14.6671295,,,EMXC,USD,ETF
2025-11-19,14.490041,,,EMXC,USD,ETF
2025-11-20,14.487957,,,EMXC,USD,ETF
2025-11-21,14.596293,,,EMXC,USD,ETF
2025-11-24,14.635879,,,EMXC,USD,ETF
2025-11-25,14.8213005,,,EMXC,USD,ETF
2025-11-26,14.829635,,,EMXC,USD,ETF
2025-11-28,14.771299,,,EMXC,USD,ETF
2025-12-01,14.825468,,,EMXC,USD,ETF
2025-12-02,14.88172,,,EMXC,USD,ETF
2025-12-03,14.877554,,,EMXC,USD,ETF
2025-12-04,14.977556,,,EMXC,USD,ETF
2025-12-05,16.810547,,,EMXC,USD,ETF
2025-12-08,16.873709,,,EMXC,USD,ETF
2025-12-09,17.065535,,,EMXC,USD,ETF
2025-12-10,16.969624,,,EMXC,USD,ETF
2025-12-11,16.719313,,,EMXC,USD,ETF
2025-12-12,16.72867,,,EMXC,USD,ETF
2025-12-15,16.274836,,,EMXC,USD,ETF
2025-12-16,16.143833,,,EMXC,USD,ETF
2025-12-17,16.349695,,,EMXC,USD,ETF
2025-12-19,16.51111,,,EMXC,USD,ETF
2025-12-22,16.770779,,,EMXC,USD,ETF
2025-12-23,16.8316,,,EMXC,USD,ETF
