Date,trailingPE,priceToBook,trailingAnnualDividendYield,symbol,currency,quoteType
2025-09-10,94.84636,15.738439,0.005284974,ENGE.L,GBP,ETF
2025-10-31,100.884094,16.740316,0.0048720944,ENGE.L,GBP,ETF
2025-11-07,101.66038,16.86913,0.004876235,ENGE.L,GBP,ETF
2025-11-10,104.98113,17.420164,0.0048333597,ENGE.L,GBP,ETF
2025-11-11,104.22641,17.294928,0.004713977,ENGE.L,GBP,ETF
2025-11-12,104.46361,17.334288,0.004748112,ENGE.L,GBP,ETF
2025-11-13,104.517525,17.343233,0.004737331,ENGE.L,GBP,ETF
2025-11-14,104.668465,17.36828,0.0047348873,ENGE.L,GBP,ETF
2025-11-18,102.38814,16.989891,0.0047997492,ENGE.L,GBP,ETF
2025-11-19,103.06738,17.102604,0.0048333597,ENGE.L,GBP,ETF
2025-11-20,101.54178,16.84945,0.004801506,ENGE.L,GBP,ETF
