Date,trailingPE,priceToBook,trailingAnnualDividendYield,symbol,currency,quoteType
2025-09-10,21.248838,0.41500115,0.021370372,EWA,USD,ETF
2025-10-31,20.807589,0.41314918,0.021457793,EWA,USD,ETF
2025-11-07,20.551088,0.4080562,0.021806503,EWA,USD,ETF
2025-11-10,20.698769,0.4109885,0.021521822,EWA,USD,ETF
2025-11-11,20.659906,0.41021684,0.021667294,EWA,USD,ETF
2025-11-12,20.16245,0.40033954,0.021708053,EWA,USD,ETF
2025-11-13,20.170225,0.4004939,0.02224364,EWA,USD,ETF
2025-11-14,19.92927,0.39570954,0.022235068,EWA,USD,ETF
2025-11-18,19.664995,0.39046222,0.022716537,EWA,USD,ETF
2025-11-19,19.392952,0.3850606,0.022806326,EWA,USD,ETF
2025-11-20,19.688314,0.39092523,0.023126252,EWA,USD,ETF
2025-11-21,19.773815,0.39262292,0.022779314,EWA,USD,ETF
2025-11-24,19.913725,0.3954009,0.022680817,EWA,USD,ETF
2025-11-25,20.069178,0.39848754,0.022521468,EWA,USD,ETF
2025-11-26,20.092497,0.39895055,0.022347018,EWA,USD,ETF
2025-11-28,19.999224,0.39709854,0.022321085,EWA,USD,ETF
2025-12-01,20.154678,0.40018523,0.022425186,EWA,USD,ETF
2025-12-02,20.310133,0.40327185,0.022252219,EWA,USD,ETF
2025-12-03,20.434498,0.4057412,0.0220819,EWA,USD,ETF
2025-12-04,20.47336,0.40651286,0.021947509,EWA,USD,ETF
2025-12-05,20.64864,0.4049695,0.021905847,EWA,USD,ETF
2025-12-08,20.7352,0.4066672,0.02198933,EWA,USD,ETF
2025-12-09,20.971273,0.41129717,0.021897534,EWA,USD,ETF
2025-12-10,20.963404,0.41114283,0.021651033,EWA,USD,ETF
2025-12-11,20.868975,0.40929085,0.02165916,EWA,USD,ETF
2025-12-12,20.790283,0.40774754,0.021757165,EWA,USD,ETF
2025-12-15,20.318134,0.39848754,0.02221247,EWA,USD,ETF
2025-12-16,20.129276,0.39478356,0.022347018,EWA,USD,ETF
2025-12-17,20.310265,0.39833322,0.022556685,EWA,USD,ETF
2025-12-19,20.365349,0.39941353,0.022355678,EWA,USD,ETF
2025-12-22,20.939798,0.41067985,0.02206501,EWA,USD,ETF
2025-12-23,20.931929,0.41052553,0.021683577,EWA,USD,ETF
2025-12-24,20.994883,0.41176018,0.02169173,EWA,USD,ETF
2025-12-26,20.837498,0.40867352,0.021626687,EWA,USD,ETF
2025-12-29,20.782415,0.4075932,0.021790031,EWA,USD,ETF
2025-12-30,20.609293,0.40419787,0.021847786,EWA,USD,ETF
2026-01-06,20.845367,0.40882784,0.021683577,EWA,USD,ETF
2026-01-07,21.081928,0.40697587,0.021964218,EWA,USD,ETF
2026-01-08,20.993988,0.4052782,0.021880925,EWA,USD,ETF
2026-01-09,20.993988,0.4052782,0.021683577,EWA,USD,ETF
2026-01-12,21.145885,0.40821055,0.021972582,EWA,USD,ETF
2026-01-13,21.217838,0.40959954,0.021847786,EWA,USD,ETF
2026-01-14,21.305779,0.41129717,0.021740768,EWA,USD,ETF
2026-01-15,21.377731,0.41268617,0.021651033,EWA,USD,ETF
2026-01-16,21.15388,0.40836483,0.021578161,EWA,USD,ETF
2026-01-20,21.345753,0.41206884,0.021806503,EWA,USD,ETF
2026-01-21,21.641554,0.41777915,0.021610487,EWA,USD,ETF
2026-01-22,21.889389,0.42256346,0.02131511,EWA,USD,ETF
2026-01-23,22.081263,0.42626747,0.021073777,EWA,USD,ETF
2026-01-26,22.576931,0.4358361,0.020890659,EWA,USD,ETF
2026-01-27,22.520967,0.43475577,0.020432012,EWA,USD,ETF
2026-01-28,22.720835,0.4386141,0.020482784,EWA,USD,ETF
