Date,trailingPE,forwardPE,priceToBook,priceToSalesTrailing12Months,trailingAnnualDividendYield,symbol,currency,quoteType
2025-09-05,17.064154,,1.1643866,,0.009008084,EWJ,USD,ETF
2025-09-06,15.974837,,1.171042,,0.00891655,EWJ,USD,ETF
2025-09-10,17.317228,,1.1840568,,0.008670949,EWJ,USD,ETF
2025-10-31,17.916204,,1.2341936,,0.008436486,EWJ,USD,ETF
2025-11-07,17.881853,,1.2318273,,0.008461909,EWJ,USD,ETF
2025-11-10,17.980614,,1.2386305,,0.008389101,EWJ,USD,ETF
2025-11-11,18.10728,,1.2473563,,0.008382089,EWJ,USD,ETF
2025-11-12,17.82174,,1.2276863,,0.008323453,EWJ,USD,ETF
2025-11-13,18.029993,,1.2420322,,0.008456812,EWJ,USD,ETF
2025-11-14,17.705805,,1.2196999,,0.008359133,EWJ,USD,ETF
2025-11-18,17.321503,,1.1932265,,0.008690271,EWJ,USD,ETF
2025-11-19,17.066017,,1.1756268,,0.008701041,EWJ,USD,ETF
2025-11-20,17.430998,,1.2007692,,0.0088313,EWJ,USD,ETF
2025-11-21,17.549078,,1.2089033,,0.008646385,EWJ,USD,ETF
2025-11-24,17.587723,,1.2115655,,0.008588207,EWJ,USD,ETF
2025-11-25,17.875414,,1.2313837,,0.0085693365,EWJ,USD,ETF
2025-11-26,17.82174,,1.2276863,,0.00843142,EWJ,USD,ETF
