Date,trailingPE,priceToBook,trailingAnnualDividendYield,symbol,currency,quoteType
2025-09-10,22.350897,1.2940035,0.0113616185,EWL,USD,ETF
2025-10-31,21.910196,1.2787582,0.011510791,EWL,USD,ETF
2025-11-07,22.239182,1.2875359,0.011590003,EWL,USD,ETF
2025-11-10,22.824438,1.3321167,0.0113555705,EWL,USD,ETF
2025-11-11,23.164818,1.3411254,0.011097625,EWL,USD,ETF
2025-11-12,23.08103,1.3362746,0.011023079,EWL,USD,ETF
2025-11-13,22.776945,1.3293449,0.011063094,EWL,USD,ETF
2025-11-14,22.484072,1.3122517,0.011120765,EWL,USD,ETF
2025-11-18,22.305973,1.3018572,0.0113114165,EWL,USD,ETF
2025-11-19,22.040802,1.2863809,0.0113555705,EWL,USD,ETF
2025-11-20,22.618212,1.3094798,0.011492189,EWL,USD,ETF
2025-11-21,22.436577,1.3094798,0.011492189,EWL,USD,ETF
2025-11-24,22.66217,1.3226461,0.01134953,EWL,USD,ETF
2025-11-25,22.961336,1.3293449,0.011177087,EWL,USD,ETF
2025-11-26,22.883806,1.3355817,0.011120765,EWL,USD,ETF
2025-11-28,22.725494,1.326342,0.011068834,EWL,USD,ETF
2025-12-01,22.9313,1.3383535,0.011145942,EWL,USD,ETF
2025-12-02,22.98275,1.3413564,0.0110459095,EWL,USD,ETF
2025-12-03,23.104969,1.3376606,0.011021181,EWL,USD,ETF
2025-12-04,22.966919,1.3404324,0.0110516315,EWL,USD,ETF
2025-12-05,23.152847,1.3404324,0.0110516315,EWL,USD,ETF
2025-12-08,22.624752,1.3325788,0.011080332,EWL,USD,ETF
2025-12-09,22.895355,1.3485171,0.011093777,EWL,USD,ETF
