Date,trailingPE,forwardPE,priceToBook,priceToSalesTrailing12Months,trailingAnnualDividendYield,symbol,currency,quoteType
2025-09-05,16.557043,,1.2286112,,0.022733763,EWS,USD,ETF
2025-09-06,15.869926,,1.2390342,,0.02251679,EWS,USD,ETF
2025-09-10,16.02554,,1.2394686,,0.022264943,EWS,USD,ETF
2025-10-31,15.998111,,1.2355599,,0.022421684,EWS,USD,ETF
2025-11-07,15.981241,,1.234257,,0.022429578,EWS,USD,ETF
2025-11-10,16.183678,,1.2498915,,0.0222106,EWS,USD,ETF
2025-11-11,16.133068,,1.2459829,,0.022133427,EWS,USD,ETF
2025-11-12,15.908139,,1.2286112,,0.022202859,EWS,USD,ETF
2025-11-13,15.992488,,1.2351255,,0.02251679,EWS,USD,ETF
2025-11-14,15.930632,,1.2303483,,0.022398032,EWS,USD,ETF
2025-11-18,15.868776,,1.2255712,,0.02251679,EWS,USD,ETF
2025-11-19,15.508889,,1.1977764,,0.022572644,EWS,USD,ETF
2025-11-20,15.531383,,1.1995137,,0.023096448,EWS,USD,ETF
2025-11-21,15.683209,,1.2112395,,0.023062998,EWS,USD,ETF
2025-11-24,15.739442,,1.2155824,,0.022839729,EWS,USD,ETF
2025-11-25,15.812545,,1.2212282,,0.022758128,EWS,USD,ETF
2025-11-26,15.964371,,1.232954,,0.022652917,EWS,USD,ETF
2025-11-28,15.739442,,1.2155824,,0.02243748,EWS,USD,ETF
2025-12-01,15.857531,,1.2247026,,0.022758128,EWS,USD,ETF
2025-12-02,15.829413,,1.2225311,,0.022588653,EWS,USD,ETF
2025-12-03,15.756311,,1.2168853,,0.022628775,EWS,USD,ETF
2025-12-04,15.6438465,,1.2081995,,0.022733763,EWS,USD,ETF
2025-12-05,16.246164,,1.1934335,,0.022897197,EWS,USD,ETF
2025-12-08,16.252077,,1.1938678,,0.023180496,EWS,USD,ETF
2025-12-09,16.305285,,1.1977764,,0.023172064,EWS,USD,ETF
2025-12-10,16.417614,,1.206028,,0.023096448,EWS,USD,ETF
2025-12-11,16.399878,,1.2047251,,0.022938423,EWS,USD,ETF
2025-12-12,16.393965,,1.2042909,,0.022963231,EWS,USD,ETF
2025-12-15,16.009686,,1.1760619,,0.023538455,EWS,USD,ETF
2025-12-16,15.790941,,1.159993,,0.023522897,EWS,USD,ETF
2025-12-17,15.885533,,1.1669418,,0.023848748,EWS,USD,ETF
2025-12-19,15.921005,,1.1695476,,0.023706736,EWS,USD,ETF
2025-12-22,16.299374,,1.1973422,,0.023265159,EWS,USD,ETF
2025-12-23,16.287548,,1.1964736,,0.023104826,EWS,USD,ETF
2025-12-24,16.287548,,1.1964736,,0.0231216,EWS,USD,ETF
2025-12-26,16.37623,,1.202988,,0.0231216,EWS,USD,ETF
2025-12-29,16.399878,,1.2047251,,0.02299639,EWS,USD,ETF
2025-12-30,16.2639,,1.1947365,,0.022963231,EWS,USD,ETF
2026-01-06,17.062021,,1.2533659,,0.02240591,EWS,USD,ETF
2026-01-07,17.141045,,1.2273083,,0.022241622,EWS,USD,ETF
2026-01-08,17.177439,,1.2299141,,0.022540694,EWS,USD,ETF
2026-01-09,17.177439,,1.2299141,,0.02240591,EWS,USD,ETF
2026-01-12,17.225962,,1.2333884,,0.02249294,EWS,USD,ETF
2026-01-13,17.05613,,1.2212282,,0.02253272,EWS,USD,ETF
2026-01-14,17.01367,,1.2181882,,0.022652917,EWS,USD,ETF
2026-01-15,17.007605,,1.2177539,,0.02270945,EWS,USD,ETF
2026-01-16,16.916622,,1.2112395,,0.022717547,EWS,USD,ETF
2026-01-20,16.922688,,1.2116737,,0.022839729,EWS,USD,ETF
2026-01-21,17.0258,,1.2190567,,0.022831542,EWS,USD,ETF
2026-01-22,17.329075,,1.2407713,,0.022693267,EWS,USD,ETF
2026-01-23,17.292683,,1.2381656,,0.022296116,EWS,USD,ETF
2026-01-26,17.589891,,1.2594459,,0.022343038,EWS,USD,ETF
2026-01-27,17.517105,,1.2542343,,0.021965519,EWS,USD,ETF
2026-01-28,17.486778,,1.2520629,,0.022056788,EWS,USD,ETF
2026-01-29,17.110718,,1.2251368,,0.022095041,EWS,USD,ETF
2026-02-02,16.989408,,1.216451,,0.02251679,EWS,USD,ETF
2026-02-03,17.050064,,1.220794,,0.022741878,EWS,USD,ETF
2026-02-04,16.937876,,1.220794,,0.022660974,EWS,USD,ETF
2026-02-05,17.166845,,1.237297,,0.022660974,EWS,USD,ETF
2026-02-06,17.136719,,1.2351255,,0.022358723,EWS,USD,ETF
2026-02-09,17.221077,,1.2412057,,0.022398032,EWS,USD,ETF
2026-02-10,17.4621,,1.2585773,,0.022288315,EWS,USD,ETF
2026-02-11,17.263254,,1.2442456,,0.021980677,EWS,USD,ETF
2026-02-12,17.154795,,1.2364284,,0.022233859,EWS,USD,ETF
2026-02-13,17.221077,,1.2412057,,0.02237443,EWS,USD,ETF
2026-02-17,17.359665,,1.2511944,,0.022288315,EWS,USD,ETF
2026-02-18,17.486202,,1.2603145,,0.02211038,EWS,USD,ETF
2026-02-19,17.73325,,1.2781204,,0.021950379,EWS,USD,ETF
2026-02-20,17.522354,,1.2629203,,0.021644581,EWS,USD,ETF
2026-02-23,17.486202,,1.2603145,,0.02190509,EWS,USD,ETF
2026-02-24,17.425945,,1.2559716,,0.021950379,EWS,USD,ETF
2026-02-25,17.353638,,1.2507601,,0.02202628,EWS,USD,ETF
2026-02-26,17.335562,,1.2494572,,0.022118056,EWS,USD,ETF
2026-02-27,17.04031,,1.228177,,0.02214112,EWS,USD,ETF
2026-03-02,16.787235,,1.2099366,,0.022524754,EWS,USD,ETF
2026-03-03,16.733006,,1.206028,,0.022864321,EWS,USD,ETF
2026-03-04,14.364065,,1.1838791,,0.022938423,EWS,USD,ETF
2026-03-05,15.481846,,1.1838791,,0.023367573,EWS,USD,ETF
2026-03-06,15.709019,,1.2012508,,0.023367573,EWS,USD,ETF
2026-03-09,15.726057,,1.2025537,,0.023029646,EWS,USD,ETF
2026-03-10,15.777171,,1.2064624,,0.023004696,EWS,USD,ETF
2026-03-11,15.572715,,1.1908278,,0.022930166,EWS,USD,ETF
2026-03-12,15.408014,,1.1782333,,0.02323122,EWS,USD,ETF
2026-03-13,15.822605,,1.2099366,,0.023479545,EWS,USD,ETF
2026-03-16,15.964589,,1.220794,,0.022864321,EWS,USD,ETF
2026-03-17,15.885077,,1.2147138,,0.022660974,EWS,USD,ETF
2026-03-18,16.03842,,1.2264397,,0.022774402,EWS,USD,ETF
2026-03-19,15.538639,,1.188222,,0.022556659,EWS,USD,ETF
2026-03-20,15.856681,,1.2125424,,0.023282165,EWS,USD,ETF
2026-03-23,15.606791,,1.1934335,,0.022815187,EWS,USD,ETF
2026-03-24,15.799888,,1.2081995,,0.023180496,EWS,USD,ETF
2026-03-25,15.680622,,1.1990794,,0.022897197,EWS,USD,ETF
2026-03-26,15.663584,,1.1977764,,0.02307135,EWS,USD,ETF
2026-03-27,15.703339,,1.2008165,,0.023096448,EWS,USD,ETF
2026-03-30,16.027061,,1.2255712,,0.023037976,EWS,USD,ETF
2026-03-31,16.174723,,1.2368627,,0.022572644,EWS,USD,ETF
2026-04-01,16.066816,,1.2286112,,0.022366574,EWS,USD,ETF
2026-04-02,16.163364,,1.2359941,,0.02251679,EWS,USD,ETF
2026-04-06,16.160835,,1.2325197,,0.022382293,EWS,USD,ETF
2026-04-07,16.542362,,1.2616173,,0.022445386,EWS,USD,ETF
2026-04-08,16.445557,,1.2542343,,0.021927712,EWS,USD,ETF
2026-04-09,16.502502,,1.2585773,,0.022056788,EWS,USD,ETF
2026-04-10,16.650558,,1.2698689,,0.021980677,EWS,USD,ETF
2026-04-13,16.644863,,1.2694346,,0.021785228,EWS,USD,ETF
2026-04-14,16.690418,,1.2729089,,0.02179268,EWS,USD,ETF
2026-04-15,16.599308,,1.2659602,,0.021733198,EWS,USD,ETF
2026-04-16,16.747364,,1.2772518,,0.021852488,EWS,USD,ETF
2026-04-17,16.741669,,1.2768176,,0.0216593,EWS,USD,ETF
2026-04-20,16.445557,,1.2542343,,0.021666668,EWS,USD,ETF
2026-04-21,16.519587,,1.2598802,,0.022056788,EWS,USD,ETF
