Date,trailingPE,priceToBook,trailingAnnualDividendYield,symbol,currency,quoteType
2025-09-10,10.979531,0.84942347,0.00849171,EWY,USD,ETF
2025-10-31,14.409641,1.0997608,0.0066134785,EWY,USD,ETF
2025-11-07,13.637166,1.0408046,0.006737247,EWY,USD,ETF
2025-11-10,14.155616,1.0803733,0.0065851365,EWY,USD,ETF
2025-11-11,14.249204,1.0875161,0.0066113966,EWY,USD,ETF
2025-11-12,13.9743805,1.0665412,0.006567973,EWY,USD,ETF
2025-11-13,13.983294,1.0672215,0.00669714,EWY,USD,ETF
2025-11-14,13.818399,1.0546366,0.006692872,EWY,USD,ETF
2025-11-18,13.452959,1.0267458,0.0068784803,EWY,USD,ETF
2025-11-19,13.151397,1.0037302,0.0069567137,EWY,USD,ETF
2025-11-20,13.253899,1.0115532,0.0071162316,EWY,USD,ETF
