Date,trailingPE,priceToBook,trailingAnnualDividendYield,symbol,currency,quoteType
2025-09-10,13.000878,,,GCOW,USD,ETF
2025-10-31,13.069736,,,GCOW,USD,ETF
2025-11-07,13.2008915,,,GCOW,USD,ETF
2025-11-10,13.495994,,,GCOW,USD,ETF
2025-11-11,13.53534,,,GCOW,USD,ETF
2025-11-13,13.532062,,,GCOW,USD,ETF
2025-11-14,13.463205,,,GCOW,USD,ETF
2025-11-18,13.348442,,,GCOW,USD,ETF
2025-11-19,13.207449,,,GCOW,USD,ETF
2025-11-20,13.400905,,,GCOW,USD,ETF
2025-11-21,13.361558,,,GCOW,USD,ETF
2025-11-24,13.476319,,,GCOW,USD,ETF
2025-11-25,13.545177,,,GCOW,USD,ETF
2025-11-26,13.591083,,,GCOW,USD,ETF
2025-11-28,13.584524,,,GCOW,USD,ETF
2025-12-01,13.600919,,,GCOW,USD,ETF
2025-12-02,13.715681,,,GCOW,USD,ETF
2025-12-03,13.692728,,,GCOW,USD,ETF
2025-12-04,13.627151,,,GCOW,USD,ETF
2025-12-05,13.793211,,,GCOW,USD,ETF
2025-12-08,13.746613,,,GCOW,USD,ETF
2025-12-09,13.909709,,,GCOW,USD,ETF
2025-12-10,13.969622,,,GCOW,USD,ETF
2025-12-11,13.956307,,,GCOW,USD,ETF
2025-12-12,14.019547,,,GCOW,USD,ETF
2025-12-15,13.846467,,,GCOW,USD,ETF
2025-12-16,13.889737,,,GCOW,USD,ETF
2025-12-17,13.879752,,,GCOW,USD,ETF
2025-12-19,13.920127,,,GCOW,USD,ETF
2025-12-22,14.056161,,,GCOW,USD,ETF
2025-12-23,14.086118,,,GCOW,USD,ETF
2025-12-24,14.102759,,,GCOW,USD,ETF
2025-12-29,13.803198,,,GCOW,USD,ETF
2025-12-30,13.719986,,,GCOW,USD,ETF
2026-01-06,13.853124,,,GCOW,USD,ETF
2026-01-07,14.109741,,,GCOW,USD,ETF
2026-01-08,14.170691,,,GCOW,USD,ETF
2026-01-09,14.245184,,,GCOW,USD,ETF
2026-01-12,14.201165,,,GCOW,USD,ETF
2026-01-13,14.448347,,,GCOW,USD,ETF
2026-01-14,14.367083,,,GCOW,USD,ETF
2026-01-15,14.329836,,,GCOW,USD,ETF
2026-01-16,14.268887,,,GCOW,USD,ETF
2026-01-20,14.424645,,,GCOW,USD,ETF
2026-01-21,14.448347,,,GCOW,USD,ETF
2026-01-22,14.583791,,,GCOW,USD,ETF
2026-01-23,14.651512,,,GCOW,USD,ETF
2026-01-26,14.851291,,,GCOW,USD,ETF
2026-01-27,14.776796,,,GCOW,USD,ETF
2026-01-28,14.935942,,,GCOW,USD,ETF
2026-02-02,15.166195,,,GCOW,USD,ETF
2026-02-03,15.430307,,,GCOW,USD,ETF
2026-02-04,14.353385,,,GCOW,USD,ETF
2026-02-05,14.544001,,,GCOW,USD,ETF
2026-02-06,14.609645,,,GCOW,USD,ETF
2026-02-09,14.635065,,,GCOW,USD,ETF
2026-02-10,14.867014,,,GCOW,USD,ETF
2026-02-11,14.746273,,,GCOW,USD,ETF
2026-02-12,14.812998,,,GCOW,USD,ETF
2026-02-13,14.758983,,,GCOW,USD,ETF
2026-02-17,14.755805,,,GCOW,USD,ETF
2026-02-18,14.822531,,,GCOW,USD,ETF
2026-02-19,14.828885,,,GCOW,USD,ETF
2026-02-20,14.886078,,,GCOW,USD,ETF
2026-02-23,14.962336,,,GCOW,USD,ETF
2026-02-24,14.973456,,,GCOW,USD,ETF
2026-02-25,14.917852,,,GCOW,USD,ETF
2026-02-26,15.105319,,,GCOW,USD,ETF
2026-02-27,15.013174,,,GCOW,USD,ETF
2026-03-02,14.708145,,,GCOW,USD,ETF
2026-03-03,14.695435,,,GCOW,USD,ETF
2026-03-04,14.261069,,,GCOW,USD,ETF
2026-03-05,14.289478,,,GCOW,USD,ETF
2026-03-06,14.3242,,,GCOW,USD,ETF
2026-03-09,14.264226,,,GCOW,USD,ETF
2026-03-10,14.3242,,,GCOW,USD,ETF
2026-03-11,14.286321,,,GCOW,USD,ETF
2026-03-12,14.280009,,0.0,GCOW,USD,ETF
2026-03-13,14.403112,,0.0,GCOW,USD,ETF
2026-03-16,14.4978075,,0.0,GCOW,USD,ETF
2026-03-17,14.286321,,0.0,GCOW,USD,ETF
2026-03-18,14.371547,,0.0,GCOW,USD,ETF
2026-03-19,14.160062,,0.0,GCOW,USD,ETF
2026-03-20,14.229506,,0.0,GCOW,USD,ETF
2026-03-23,14.298947,,0.0,GCOW,USD,ETF
2026-03-24,14.425208,,0.0,GCOW,USD,ETF
2026-03-25,14.336825,,0.0,GCOW,USD,ETF
2026-03-26,14.37786,,0.0,GCOW,USD,ETF
2026-03-27,14.472555,,0.0,GCOW,USD,ETF
2026-03-30,14.595659,,0.0,GCOW,USD,ETF
2026-03-31,14.554625,,0.0,GCOW,USD,ETF
2026-04-01,14.608284,,0.0,GCOW,USD,ETF
2026-04-02,14.646163,,0.0,GCOW,USD,ETF
2026-04-06,16.362791,,0.0,GCOW,USD,ETF
2026-04-07,16.465235,,0.0,GCOW,USD,ETF
2026-04-08,16.394585,,0.0,GCOW,USD,ETF
2026-04-09,16.383987,,0.0,GCOW,USD,ETF
2026-04-10,16.394585,,0.0,GCOW,USD,ETF
