Date,trailingPE,priceToBook,trailingAnnualDividendYield,symbol,currency,quoteType
2025-09-09,,1.9693326,0.0,GLD,USD,ETF
2025-09-10,,1.9648623,0.0,GLD,USD,ETF
2025-09-11,,1.9719205,0.0,GLD,USD,ETF
2025-09-12,,1.9689796,0.0,GLD,USD,ETF
2025-09-13,,1.9728616,0.0,GLD,USD,ETF
2025-10-31,,2.1651952,0.0,GLD,USD,ETF
2025-11-07,,2.1663127,0.0,GLD,USD,ETF
2025-11-10,,2.2343059,0.0,GLD,USD,ETF
2025-11-11,,2.2703023,0.0,GLD,USD,ETF
2025-11-12,,2.2519512,0.0,GLD,USD,ETF
2025-11-13,,2.2113082,0.0,GLD,USD,ETF
2025-11-14,,2.185958,0.0,GLD,USD,ETF
2025-11-18,,2.2054265,0.0,GLD,USD,ETF
2025-11-19,,2.2047796,0.0,GLD,USD,ETF
2025-11-20,,2.201368,0.0,GLD,USD,ETF
