Date,trailingPE,priceToBook,trailingAnnualDividendYield,symbol,currency,quoteType
2025-09-10,11.1984415,,0.0,GREK,USD,ETF
2025-10-31,10.663636,,0.0,GREK,USD,ETF
2025-11-07,10.685916,,0.0,GREK,USD,ETF
2025-11-10,10.905291,,0.0,GREK,USD,ETF
2025-11-11,11.023547,,0.0,GREK,USD,ETF
2025-11-12,11.083531,,0.0,GREK,USD,ETF
2025-11-13,11.140089,,0.0,GREK,USD,ETF
2025-11-14,11.054397,,0.0,GREK,USD,ETF
2025-11-18,10.855589,,0.0,GREK,USD,ETF
2025-11-19,10.756185,,0.0,GREK,USD,ETF
2025-11-20,11.07839,,0.0,GREK,USD,ETF
2025-11-21,10.9669895,,0.0,GREK,USD,ETF
2025-11-24,11.222355,,0.0,GREK,USD,ETF
2025-11-25,11.337184,,0.0,GREK,USD,ETF
2025-11-26,11.194933,,0.0,GREK,USD,ETF
2025-11-28,11.359464,,0.0,GREK,USD,ETF
2025-12-01,11.421163,,0.0,GREK,USD,ETF
2025-12-02,11.374888,,0.0,GREK,USD,ETF
2025-12-03,11.362892,,0.0,GREK,USD,ETF
2025-12-04,11.388598,,0.0,GREK,USD,ETF
2025-12-05,11.270599,,0.0,GREK,USD,ETF
