Date,trailingPE,priceToBook,trailingAnnualDividendYield,symbol,currency,quoteType
2025-09-10,21.029598,0.88431084,0.002461149,IBB,USD,ETF
2025-10-31,23.042559,0.98601836,0.0022249063,IBB,USD,ETF
2025-11-07,22.802563,0.9757486,0.0022091777,IBB,USD,ETF
2025-11-10,23.730742,1.0154665,0.0021938072,IBB,USD,ETF
2025-11-11,23.849295,1.0205395,0.002132209,IBB,USD,ETF
2025-11-12,23.61219,1.0103935,0.0021217263,IBB,USD,ETF
2025-11-13,23.73797,1.0157758,0.002143032,IBB,USD,ETF
2025-11-14,23.892666,1.0223954,0.0021316765,IBB,USD,ETF
2025-11-18,23.886885,1.022148,0.002102481,IBB,USD,ETF
2025-11-19,23.7452,1.0160851,0.0021183875,IBB,USD,ETF
2025-11-20,24.21941,1.0363772,0.0021310276,IBB,USD,ETF
2025-11-21,24.536032,1.0499258,0.0020893028,IBB,USD,ETF
2025-11-24,24.914822,1.0661347,0.0020623414,IBB,USD,ETF
2025-11-25,25.107107,1.0743628,0.002030987,IBB,USD,ETF
2025-11-26,25.131685,1.0754145,0.0020154323,IBB,USD,ETF
2025-11-28,24.59386,1.0524004,0.0020134614,IBB,USD,ETF
2025-12-01,24.465189,1.0468943,0.0020574923,IBB,USD,ETF
2025-12-02,24.900362,1.065516,0.0020683133,IBB,USD,ETF
2025-12-03,24.883015,1.0647736,0.0020321663,IBB,USD,ETF
2025-12-04,24.745667,1.0588963,0.0020335831,IBB,USD,ETF
2025-12-05,24.663961,1.0514106,0.0020448703,IBB,USD,ETF
2025-12-08,24.248903,1.0337169,0.0020594292,IBB,USD,ETF
2025-12-09,24.515932,1.0451002,0.0020946795,IBB,USD,ETF
2025-12-10,24.711851,1.0534521,0.0020718642,IBB,USD,ETF
2025-12-11,24.587044,1.0481316,0.002055438,IBB,USD,ETF
2025-12-12,24.58124,1.0478842,0.0020658718,IBB,USD,ETF
2025-12-15,24.39693,1.0400273,0.0020685957,IBB,USD,ETF
2025-12-16,24.31276,1.036439,0.00208197,IBB,USD,ETF
