Date,trailingPE,forwardPE,priceToBook,priceToSalesTrailing12Months,trailingAnnualDividendYield,symbol,currency,quoteType
2025-09-05,21.213303,,1.0869081,,0.0040125884,IJT,USD,ETF
2025-09-06,19.931156,,1.0863702,,0.0039657853,IJT,USD,ETF
2025-09-07,19.931156,,1.0863702,,0.0039657853,IJT,USD,ETF
2025-09-08,19.931156,,1.0863702,,0.0039657853,IJT,USD,ETF
2025-09-09,19.936792,,1.0866776,,0.003967749,IJT,USD,ETF
2025-09-10,20.916914,,1.0779952,,0.0039666267,IJT,USD,ETF
2025-10-31,20.77441,,1.0728472,,0.0040249676,IJT,USD,ETF
2025-11-07,20.804167,,1.074384,,0.0040391674,IJT,USD,ETF
2025-11-10,20.966337,,1.0827589,,0.003988057,IJT,USD,ETF
2025-11-11,20.942532,,1.0815296,,0.003980982,IJT,USD,ETF
2025-11-12,20.484283,,1.0578644,,0.0039855074,IJT,USD,ETF
2025-11-13,20.457504,,1.0564814,,0.004074666,IJT,USD,ETF
