Date,trailingPE,priceToBook,trailingAnnualDividendYield,symbol,currency,quoteType
2025-09-09,17.852634,,,IMTM,USD,ETF
2025-09-10,17.845047,,,IMTM,USD,ETF
2025-09-11,18.038145,,,IMTM,USD,ETF
2025-09-12,18.240562,,,IMTM,USD,ETF
2025-09-13,18.190914,,,IMTM,USD,ETF
2025-10-31,18.033993,,,IMTM,USD,ETF
2025-11-07,18.104002,,,IMTM,USD,ETF
2025-11-10,18.372684,,,IMTM,USD,ETF
2025-11-11,18.53541,,,IMTM,USD,ETF
2025-11-12,18.342411,,,IMTM,USD,ETF
2025-11-13,18.281864,,,IMTM,USD,ETF
2025-11-14,18.062374,,,IMTM,USD,ETF
2025-11-18,17.752064,,,IMTM,USD,ETF
2025-11-19,17.540144,,,IMTM,USD,ETF
2025-11-20,17.672594,,,IMTM,USD,ETF
2025-11-21,17.718004,,,IMTM,USD,ETF
