Date,trailingPE,forwardPE,priceToBook,priceToSalesTrailing12Months,trailingAnnualDividendYield,symbol,currency,quoteType
2025-09-05,39.700867,,,,,INCO,USD,ETF
2025-09-06,37.942467,,,,,INCO,USD,ETF
2025-09-10,38.30191,,,,,INCO,USD,ETF
2025-10-31,39.23516,,,,,INCO,USD,ETF
2025-11-07,36.72439,,,,,INCO,USD,ETF
2025-11-10,39.450523,,,,,INCO,USD,ETF
2025-11-11,37.25374,,,,,INCO,USD,ETF
2025-11-12,36.798386,,,,,INCO,USD,ETF
2025-11-13,39.024128,,,,,INCO,USD,ETF
2025-11-14,39.258347,,,,,INCO,USD,ETF
2025-11-18,39.304466,,,,,INCO,USD,ETF
2025-11-19,39.13295,,,,,INCO,USD,ETF
2025-11-20,36.67846,,,,,INCO,USD,ETF
2025-11-21,38.699406,,,,,INCO,USD,ETF
2025-11-24,38.892006,,,,,INCO,USD,ETF
2025-11-25,37.091522,,,,,INCO,USD,ETF
2025-11-26,39.33642,,,,,INCO,USD,ETF
2025-11-28,39.204292,,,,,INCO,USD,ETF
2025-12-01,38.81994,,,,,INCO,USD,ETF
2025-12-02,38.21698,,,,,INCO,USD,ETF
2025-12-03,36.530865,,,,,INCO,USD,ETF
2025-12-04,38.661392,,,,,INCO,USD,ETF
2025-12-05,36.642426,,,,,INCO,USD,ETF
2025-12-08,37.536232,,,,,INCO,USD,ETF
2025-12-09,37.489002,,,,,INCO,USD,ETF
2025-12-10,37.742863,,,,,INCO,USD,ETF
2025-12-11,37.27056,,,,,INCO,USD,ETF
2025-12-12,37.341408,,,,,INCO,USD,ETF
2025-12-15,37.398083,,,,,INCO,USD,ETF
2025-12-16,37.235138,,,,,INCO,USD,ETF
2025-12-17,37.40694,,,,,INCO,USD,ETF
2025-12-19,38.203358,,,,,INCO,USD,ETF
2025-12-22,38.39228,,,,,INCO,USD,ETF
2025-12-23,37.9554,,,,,INCO,USD,ETF
2025-12-24,37.84612,,,,,INCO,USD,ETF
2025-12-26,37.71925,,,,,INCO,USD,ETF
2025-12-29,37.837322,,,,,INCO,USD,ETF
2025-12-30,38.262394,,,,,INCO,USD,ETF
2026-01-06,38.37457,,,,,INCO,USD,ETF
2026-01-07,35.936165,,,,,INCO,USD,ETF
2026-01-08,35.47616,,,,,INCO,USD,ETF
2026-01-09,35.58146,,,,,INCO,USD,ETF
2026-01-12,35.343143,,,,,INCO,USD,ETF
2026-01-13,35.326515,,,,,INCO,USD,ETF
2026-01-14,35.337597,,,,,INCO,USD,ETF
2026-01-15,34.894215,,,,,INCO,USD,ETF
2026-01-16,34.209743,,,,,INCO,USD,ETF
2026-01-20,34.05179,,,,,INCO,USD,ETF
2026-01-21,34.140465,,,,,INCO,USD,ETF
2026-01-22,33.735878,,,,,INCO,USD,ETF
2026-01-23,33.940945,,,,,INCO,USD,ETF
2026-01-26,33.802387,,,,,INCO,USD,ETF
2026-01-27,33.480934,,,,,INCO,USD,ETF
2026-01-28,33.61395,,,,,INCO,USD,ETF
2026-01-29,33.952026,,,,,INCO,USD,ETF
2026-02-02,34.977352,,,,,INCO,USD,ETF
2026-02-03,35.387478,,,,,INCO,USD,ETF
2026-02-04,36.659233,,,,,INCO,USD,ETF
2026-02-05,36.90814,,,,,INCO,USD,ETF
2026-02-06,37.162838,,,,,INCO,USD,ETF
2026-02-09,37.55068,,,,,INCO,USD,ETF
2026-02-10,37.64329,,,,,INCO,USD,ETF
2026-02-11,37.718548,,,,,INCO,USD,ETF
2026-02-12,37.32492,,,,,INCO,USD,ETF
2026-02-13,37.3365,,,,,INCO,USD,ETF
2026-02-17,37.440693,,,,,INCO,USD,ETF
2026-02-18,36.659233,,,,,INCO,USD,ETF
2026-02-19,37.24967,,,,,INCO,USD,ETF
2026-02-20,36.95445,,,,,INCO,USD,ETF
2026-02-23,37.006546,,,,,INCO,USD,ETF
2026-02-24,37.11653,,,,,INCO,USD,ETF
2026-02-25,36.99497,,,,,INCO,USD,ETF
2026-02-26,36.844467,,,,,INCO,USD,ETF
2026-02-27,35.781563,,,,,INCO,USD,ETF
2026-03-02,35.154194,,,,,INCO,USD,ETF
2026-03-03,35.188927,,,,,INCO,USD,ETF
2026-03-04,35.107887,,,,,INCO,USD,ETF
2026-03-05,34.83582,,,,,INCO,USD,ETF
