Date,trailingPE,forwardPE,priceToBook,priceToSalesTrailing12Months,trailingAnnualDividendYield,symbol,currency,quoteType
2025-09-05,15.0594,,,,,IWC,USD,ETF
2025-09-06,15.123195,,,,,IWC,USD,ETF
2025-09-07,15.123195,,,,,IWC,USD,ETF
2025-09-08,15.123195,,,,,IWC,USD,ETF
2025-09-09,15.166428,,,,,IWC,USD,ETF
2025-09-10,14.578184,,,,,IWC,USD,ETF
2025-10-31,16.262976,,,,,IWC,USD,ETF
2025-11-07,15.53946,,,,,IWC,USD,ETF
2025-11-10,15.838235,,,,,IWC,USD,ETF
2025-11-11,15.850727,,,,,IWC,USD,ETF
2025-11-12,15.392674,,,,,IWC,USD,ETF
2025-11-13,15.455136,,,,,IWC,USD,ETF
2025-11-14,15.199042,,,,,IWC,USD,ETF
2025-11-18,15.283365,,,,,IWC,USD,ETF
2025-11-19,14.988754,,,,,IWC,USD,ETF
2025-11-20,15.420782,,,,,IWC,USD,ETF
2025-11-21,15.749746,,,,,IWC,USD,ETF
2025-11-24,16.114107,,,,,IWC,USD,ETF
2025-11-25,16.271303,,,,,IWC,USD,ETF
2025-11-26,16.381653,,,,,IWC,USD,ETF
2025-11-28,16.117231,,,,,IWC,USD,ETF
2025-12-01,16.028744,,,,,IWC,USD,ETF
2025-12-02,16.538847,,,,,IWC,USD,ETF
2025-12-03,16.780367,,,,,IWC,USD,ETF
2025-12-04,16.683552,,,,,IWC,USD,ETF
