Date,trailingPE,priceToBook,trailingAnnualDividendYield,symbol,currency,quoteType
2025-09-09,14.906687,1.4631472,0.0077746063,IXG,USD,ETF
2025-09-10,15.531058,1.4668369,0.007748624,IXG,USD,ETF
2025-09-11,15.563909,1.4699395,0.007729132,IXG,USD,ETF
2025-09-12,15.77709,1.4900734,0.007712819,IXG,USD,ETF
2025-09-13,15.704768,1.483243,0.0076086028,IXG,USD,ETF
2025-10-31,15.4700575,1.4596106,0.0077765808,IXG,USD,ETF
2025-11-07,15.614306,1.4732206,0.00775275,IXG,USD,ETF
2025-11-10,15.806864,1.4913886,0.0076387096,IXG,USD,ETF
2025-11-11,15.967485,1.5065433,0.0076018935,IXG,USD,ETF
2025-11-12,15.752872,1.4862944,0.007525424,IXG,USD,ETF
2025-11-13,15.663021,1.4778168,0.0076279487,IXG,USD,ETF
2025-11-14,15.359504,1.4491798,0.0076717064,IXG,USD,ETF
2025-11-18,15.273307,1.441047,0.007865298,IXG,USD,ETF
2025-11-19,15.148949,1.4293138,0.007867458,IXG,USD,ETF
2025-11-20,15.332846,1.4466646,0.007932042,IXG,USD,ETF
2025-11-21,15.388867,1.4519502,0.007836908,IXG,USD,ETF
2025-11-24,15.58589,1.4705395,0.0078083784,IXG,USD,ETF
2025-11-25,15.711736,1.482413,0.0077096717,IXG,USD,ETF
2025-11-26,15.820261,1.4926525,0.00764792,IXG,USD,ETF
2025-11-28,15.719448,1.4831408,0.007595456,IXG,USD,ETF
2025-12-01,15.76045,1.4870093,0.0076441676,IXG,USD,ETF
2025-12-02,15.860585,1.4964571,0.007624281,IXG,USD,ETF
2025-12-03,15.907946,1.5009257,0.0075761457,IXG,USD,ETF
2025-12-04,15.93501,1.5034791,0.00755359,IXG,USD,ETF
2025-12-05,15.29789,1.4986275,0.007540761,IXG,USD,ETF
2025-12-08,15.277038,1.4965848,0.0075651733,IXG,USD,ETF
2025-12-09,15.462103,1.5147144,0.007575499,IXG,USD,ETF
2025-12-10,15.694087,1.5374402,0.007484828,IXG,USD,ETF
2025-12-11,15.70321,1.5383339,0.0073741907,IXG,USD,ETF
2025-12-12,15.76316,1.5442069,0.0073699066,IXG,USD,ETF
2025-12-15,15.553332,1.5236515,0.007407346,IXG,USD,ETF
2025-12-16,15.540299,1.5223747,0.0074409256,IXG,USD,ETF
2025-12-17,15.588521,1.5270987,0.0074471654,IXG,USD,ETF
2025-12-19,15.645865,1.5327164,0.0074241287,IXG,USD,ETF
2025-12-22,15.896095,1.5572295,0.007311651,IXG,USD,ETF
2025-12-23,15.95735,1.5632303,0.0072804787,IXG,USD,ETF
2025-12-24,15.956046,1.5631025,0.0072525316,IXG,USD,ETF
2025-12-26,15.875242,1.5551867,0.0072531244,IXG,USD,ETF
2025-12-29,15.8396635,1.5517013,0.007290042,IXG,USD,ETF
2025-12-30,15.742309,1.5421641,0.007306417,IXG,USD,ETF
2026-01-06,16.152842,1.5823812,0.007169964,IXG,USD,ETF
2026-01-07,16.059258,1.5681839,0.0072679655,IXG,USD,ETF
2026-01-08,16.037292,1.5660391,0.007229622,IXG,USD,ETF
2026-01-09,16.037292,1.5660391,0.007169964,IXG,USD,ETF
2026-01-12,16.011143,1.5634855,0.007239524,IXG,USD,ETF
2026-01-13,15.846403,1.5473987,0.0073333886,IXG,USD,ETF
2026-01-14,15.920928,1.554676,0.007326733,IXG,USD,ETF
2026-01-15,15.943156,1.5568466,0.007292437,IXG,USD,ETF
2026-01-16,15.660744,1.5292691,0.00728227,IXG,USD,ETF
2026-01-20,15.741807,1.5371848,0.0074135917,IXG,USD,ETF
