Date,trailingPE,priceToBook,trailingAnnualDividendYield,symbol,currency,quoteType
2025-09-09,23.084875,1.1471896,0.011018005,IXJ,USD,ETF
2025-09-10,24.003252,1.150178,0.0110205,IXJ,USD,ETF
2025-09-11,23.821573,1.1414725,0.010991867,IXJ,USD,ETF
2025-09-12,24.171373,1.158234,0.011075697,IXJ,USD,ETF
2025-09-13,23.902924,1.1453705,0.0109154135,IXJ,USD,ETF
2025-10-31,24.60055,1.1843507,0.010657174,IXJ,USD,ETF
2025-11-07,24.843452,1.1960449,0.0105910525,IXJ,USD,ETF
2025-11-10,25.672016,1.2359347,0.010471373,IXJ,USD,ETF
2025-11-11,25.993185,1.2513968,0.010229183,IXJ,USD,ETF
2025-11-12,25.966196,1.2500975,0.010102794,IXJ,USD,ETF
2025-11-13,25.804262,1.2423015,0.010113294,IXJ,USD,ETF
2025-11-14,25.769176,1.2406123,0.010176759,IXJ,USD,ETF
2025-11-18,25.815058,1.2428212,0.010150219,IXJ,USD,ETF
2025-11-19,25.60724,1.2328162,0.010172504,IXJ,USD,ETF
2025-11-20,26.138926,1.2584133,0.010255059,IXJ,USD,ETF
2025-11-21,26.192905,1.261012,0.010046463,IXJ,USD,ETF
2025-11-24,26.770472,1.2888179,0.010025759,IXJ,USD,ETF
2025-11-25,26.762375,1.2884282,0.009809456,IXJ,USD,ETF
2025-11-26,26.643623,1.282711,0.009812424,IXJ,USD,ETF
2025-11-28,26.281967,1.2652998,0.009856159,IXJ,USD,ETF
2025-12-01,26.217196,1.2621814,0.009991785,IXJ,USD,ETF
2025-12-02,26.344044,1.2682883,0.010016471,IXJ,USD,ETF
2025-12-03,26.141626,1.2585433,0.009968241,IXJ,USD,ETF
2025-12-04,26.090345,1.2560744,0.010045426,IXJ,USD,ETF
2025-12-05,24.858282,1.2445103,0.01006517,IXJ,USD,ETF
2025-12-08,24.590961,1.231127,0.010158697,IXJ,USD,ETF
2025-12-09,24.972479,1.2502275,0.010269129,IXJ,USD,ETF
2025-12-10,25.174915,1.2603623,0.010112243,IXJ,USD,ETF
2025-12-11,25.156748,1.2594527,0.010030928,IXJ,USD,ETF
2025-12-12,25.491549,1.2762142,0.010038172,IXJ,USD,ETF
