Date,trailingPE,priceToBook,trailingAnnualDividendYield,symbol,currency,quoteType
2025-09-09,35.738693,1.7049673,0.0037583753,IXN,USD,ETF
2025-09-10,34.95434,1.710624,0.003722136,IXN,USD,ETF
2025-09-11,35.572014,1.7408521,0.0037098275,IXN,USD,ETF
2025-09-12,35.683987,1.746332,0.00364541,IXN,USD,ETF
2025-09-13,35.785126,1.7512816,0.003633971,IXN,USD,ETF
2025-10-31,39.177654,1.9542161,0.0032456378,IXN,USD,ETF
2025-11-07,38.05714,1.8624713,0.0033931946,IXN,USD,ETF
2025-11-10,38.05424,1.8981792,0.003314254,IXN,USD,ETF
2025-11-11,38.91321,1.9043664,0.003343267,IXN,USD,ETF
2025-11-12,37.919884,1.855754,0.003332405,IXN,USD,ETF
2025-11-13,37.4695,1.8690119,0.003419699,IXN,USD,ETF
2025-11-14,36.86704,1.8389605,0.003395441,IXN,USD,ETF
2025-11-18,36.494934,1.8203995,0.0035110025,IXN,USD,ETF
