Date,trailingPE,priceToBook,trailingAnnualDividendYield,symbol,currency,quoteType
2025-09-10,16.664434,,,IXUS,USD,ETF
2025-10-31,16.997343,,,IXUS,USD,ETF
2025-11-07,16.881937,,,IXUS,USD,ETF
2025-11-10,17.18564,,,IXUS,USD,ETF
2025-11-11,17.264605,,,IXUS,USD,ETF
2025-11-12,17.070232,,,IXUS,USD,ETF
2025-11-13,17.06011,,,IXUS,USD,ETF
2025-11-14,16.845491,,,IXUS,USD,ETF
2025-11-18,16.649097,,,IXUS,USD,ETF
2025-11-19,16.420305,,,IXUS,USD,ETF
2025-11-20,16.588356,,,IXUS,USD,ETF
2025-11-21,16.657194,,,IXUS,USD,ETF
2025-11-24,16.815123,,,IXUS,USD,ETF
2025-11-25,16.98722,,,IXUS,USD,ETF
2025-11-26,17.06011,,,IXUS,USD,ETF
2025-11-28,16.99127,,,IXUS,USD,ETF
2025-12-01,17.013542,,,IXUS,USD,ETF
2025-12-02,17.06416,,,IXUS,USD,ETF
2025-12-03,17.104654,,,IXUS,USD,ETF
2025-12-04,17.122875,,,IXUS,USD,ETF
2025-12-05,17.380997,,,IXUS,USD,ETF
2025-12-08,17.362474,,,IXUS,USD,ETF
2025-12-09,17.551823,,,IXUS,USD,ETF
2025-12-10,17.597101,,,IXUS,USD,ETF
2025-12-11,17.471556,,,IXUS,USD,ETF
2025-12-12,17.525066,,,IXUS,USD,ETF
2025-12-15,17.105206,,,IXUS,USD,ETF
2025-12-16,16.994066,,,IXUS,USD,ETF
2025-12-17,17.140194,,,IXUS,USD,ETF
