Date,trailingPE,priceToBook,trailingAnnualDividendYield,symbol,currency,quoteType
2025-09-09,11.6358385,,0.0,JETS,USD,ETF
2025-09-10,11.475529,,0.0,JETS,USD,ETF
2025-09-11,11.551231,,0.0,JETS,USD,ETF
2025-09-12,11.720447,,0.0,JETS,USD,ETF
2025-09-13,11.573496,,0.0,JETS,USD,ETF
2025-10-31,12.20103,,0.0,JETS,USD,ETF
2025-11-07,12.503207,,0.0,JETS,USD,ETF
2025-11-10,12.344688,,0.0,JETS,USD,ETF
2025-11-11,12.726126,,0.0,JETS,USD,ETF
2025-11-12,12.473485,,0.0,JETS,USD,ETF
2025-11-13,12.31992,,0.0,JETS,USD,ETF
2025-11-14,11.883991,,0.0,JETS,USD,ETF
