Date,trailingPE,priceToBook,trailingAnnualDividendYield,symbol,currency,quoteType
2025-09-09,17.622772,,,JXI,USD,ETF
2025-09-10,18.311554,,,JXI,USD,ETF
2025-09-11,18.537025,,,JXI,USD,ETF
2025-09-12,18.635475,,,JXI,USD,ETF
2025-09-13,18.737038,,,JXI,USD,ETF
2025-10-31,19.645658,,,JXI,USD,ETF
2025-11-07,19.8344,,,JXI,USD,ETF
2025-11-10,19.888432,,,JXI,USD,ETF
2025-11-11,20.021421,,,JXI,USD,ETF
2025-11-12,19.839312,,,JXI,USD,ETF
2025-11-13,19.8344,,,JXI,USD,ETF
2025-11-14,19.981758,,,JXI,USD,ETF
2025-11-18,19.640379,,,JXI,USD,ETF
2025-11-19,19.556873,,,JXI,USD,ETF
2025-11-20,19.581436,,,JXI,USD,ETF
2025-11-21,19.721426,,,JXI,USD,ETF
2025-11-24,19.704233,,,JXI,USD,ETF
2025-11-25,20.013685,,,JXI,USD,ETF
2025-11-26,20.103329,,,JXI,USD,ETF
2025-11-28,19.748442,,,JXI,USD,ETF
2025-12-01,19.684586,,,JXI,USD,ETF
2025-12-02,19.672304,,,JXI,USD,ETF
2025-12-03,19.58389,,,JXI,USD,ETF
2025-12-04,19.44336,,,JXI,USD,ETF
2025-12-05,18.99143,,,JXI,USD,ETF
2025-12-08,18.938221,,,JXI,USD,ETF
2025-12-09,18.964827,,,JXI,USD,ETF
2025-12-10,19.04706,,,JXI,USD,ETF
2025-12-11,18.998688,,,JXI,USD,ETF
2025-12-12,19.204275,,,JXI,USD,ETF
2025-12-15,18.89952,,,JXI,USD,ETF
2025-12-16,18.77305,,,JXI,USD,ETF
2025-12-17,18.926126,,,JXI,USD,ETF
2025-12-19,18.82696,,,JXI,USD,ETF
2025-12-22,18.945477,,,JXI,USD,ETF
2025-12-23,19.034967,,,JXI,USD,ETF
2025-12-24,19.03013,,,JXI,USD,ETF
2025-12-26,19.054316,,,JXI,USD,ETF
2025-12-29,19.117203,,,JXI,USD,ETF
