Date,trailingPE,priceToBook,trailingAnnualDividendYield,symbol,currency,quoteType
2025-09-10,13.96222,,,KBWB,USD,ETF
2025-10-31,14.738457,,,KBWB,USD,ETF
2025-11-07,14.837988,,,KBWB,USD,ETF
2025-11-10,14.991116,,,KBWB,USD,ETF
2025-11-11,15.1633835,,,KBWB,USD,ETF
2025-11-12,14.834161,,,KBWB,USD,ETF
2025-11-13,14.738457,,,KBWB,USD,ETF
2025-11-14,14.347982,,,KBWB,USD,ETF
2025-11-18,14.5393915,,,KBWB,USD,ETF
2025-11-19,14.378609,,,KBWB,USD,ETF
2025-11-20,14.591072,,,KBWB,USD,ETF
2025-11-21,14.715487,,,KBWB,USD,ETF
