Date,trailingPE,priceToBook,trailingAnnualDividendYield,symbol,currency,quoteType
2025-09-09,10.923103,,,KCCA,USD,ETF
2025-09-10,11.02847,,,KCCA,USD,ETF
2025-09-11,11.751994,,,KCCA,USD,ETF
2025-09-12,12.096194,,,KCCA,USD,ETF
2025-09-13,12.349077,,,KCCA,USD,ETF
2025-10-31,12.342052,,,KCCA,USD,ETF
2025-11-07,11.822239,,,KCCA,USD,ETF
2025-11-10,11.737945,,,KCCA,USD,ETF
2025-11-11,11.699311,,,KCCA,USD,ETF
2025-11-12,11.787117,,,KCCA,USD,ETF
2025-11-13,11.695798,,,KCCA,USD,ETF
2025-11-14,11.611505,,,KCCA,USD,ETF
