Date,trailingPE,priceToBook,trailingAnnualDividendYield,symbol,currency,quoteType
2008-12-09,5.5,0.8199999928474426,0.0,KRX_IDX_1156,KRW,INDEX
2008-12-11,5.769999980926514,0.8600000143051147,0.0,KRX_IDX_1156,KRW,INDEX
2008-12-12,5.210000038146973,0.7799999713897705,0.0,KRX_IDX_1156,KRW,INDEX
2008-12-15,5.510000228881836,0.8199999928474426,0.0,KRX_IDX_1156,KRW,INDEX
2008-12-16,5.579999923706055,0.8299999833106995,0.0,KRX_IDX_1156,KRW,INDEX
2008-12-17,6.019999980926514,0.9100000262260436,0.0,KRX_IDX_1156,KRW,INDEX
2008-12-18,7.679999828338623,1.149999976158142,0.0,KRX_IDX_1156,KRW,INDEX
2008-12-19,5.960000038146973,0.8999999761581421,0.0,KRX_IDX_1156,KRW,INDEX
2009-03-20,5.130000114440918,0.7699999809265137,0.0,KRX_IDX_1156,KRW,INDEX
2009-03-23,5.340000152587891,0.800000011920929,0.0,KRX_IDX_1156,KRW,INDEX
2009-03-24,5.480000019073486,0.8199999928474426,0.0,KRX_IDX_1156,KRW,INDEX
2009-03-25,5.510000228881836,0.8299999833106995,0.0,KRX_IDX_1156,KRW,INDEX
2009-03-26,5.570000171661377,0.8399999737739563,0.0,KRX_IDX_1156,KRW,INDEX
2009-03-27,5.360000133514404,0.800000011920929,0.0,KRX_IDX_1156,KRW,INDEX
2009-03-30,5.059999942779541,0.7599999904632568,0.0,KRX_IDX_1156,KRW,INDEX
2009-03-31,5.099999904632568,0.7599999904632568,0.0,KRX_IDX_1156,KRW,INDEX
2009-04-01,5.340000152587891,0.800000011920929,0.0,KRX_IDX_1156,KRW,INDEX
2009-04-02,5.610000133514404,0.8399999737739563,0.0,KRX_IDX_1156,KRW,INDEX
2009-04-03,5.670000076293945,0.8500000238418579,0.0,KRX_IDX_1156,KRW,INDEX
2009-04-06,5.789999961853027,0.8700000047683716,0.0,KRX_IDX_1156,KRW,INDEX
2009-04-07,5.75,0.8600000143051147,0.0,KRX_IDX_1156,KRW,INDEX
2009-04-08,5.489999771118164,0.8199999928474426,0.0,KRX_IDX_1156,KRW,INDEX
2009-04-09,5.929999828338623,0.8899999856948853,0.0,KRX_IDX_1156,KRW,INDEX
2009-04-10,6.099999904632568,0.9200000166893004,0.0,KRX_IDX_1156,KRW,INDEX
2009-04-13,6.090000152587891,0.9100000262260436,0.0,KRX_IDX_1156,KRW,INDEX
2009-04-14,6.099999904632568,0.9100000262260436,0.0,KRX_IDX_1156,KRW,INDEX
2009-04-15,5.929999828338623,0.8899999856948853,0.0,KRX_IDX_1156,KRW,INDEX
2009-04-16,5.840000152587891,0.8799999952316284,0.0,KRX_IDX_1156,KRW,INDEX
2009-04-17,5.78000020980835,0.8700000047683716,0.0,KRX_IDX_1156,KRW,INDEX
2009-04-20,5.929999828338623,0.8899999856948853,0.0,KRX_IDX_1156,KRW,INDEX
2009-04-21,5.860000133514404,0.8799999952316284,0.0,KRX_IDX_1156,KRW,INDEX
2009-04-22,5.909999847412109,0.8899999856948853,0.0,KRX_IDX_1156,KRW,INDEX
2009-04-23,5.849999904632568,0.8799999952316284,0.0,KRX_IDX_1156,KRW,INDEX
2009-04-24,5.869999885559082,0.8799999952316284,0.0,KRX_IDX_1156,KRW,INDEX
2009-04-27,5.71999979019165,0.8600000143051147,0.0,KRX_IDX_1156,KRW,INDEX
