Date,trailingPE,priceToBook,trailingAnnualDividendYield,symbol,currency,quoteType
2025-09-10,33.674026,0.823285,0.028603442,LQD,USD,ETF
2025-10-31,33.634716,0.8223239,0.028572708,LQD,USD,ETF
2025-11-07,33.477474,0.81847954,0.028765889,LQD,USD,ETF
2025-11-10,33.628666,0.82217604,0.028807439,LQD,USD,ETF
2025-11-11,33.595406,0.8213628,0.028693464,LQD,USD,ETF
2025-11-12,33.429092,0.8172967,0.028721873,LQD,USD,ETF
2025-11-13,33.338375,0.8150788,0.028864766,LQD,USD,ETF
2025-11-14,33.359543,0.8155963,0.028943311,LQD,USD,ETF
2025-11-18,33.377686,0.81603986,0.028911842,LQD,USD,ETF
2025-11-19,33.423042,0.8171488,0.028909223,LQD,USD,ETF
2025-11-20,33.540974,0.82003206,0.02886999,LQD,USD,ETF
