Date,trailingPE,forwardPE,priceToBook,priceToSalesTrailing12Months,trailingAnnualDividendYield,symbol,currency,quoteType
2025-09-05,25.94295,,,,,LRGF,USD,ETF
2025-09-06,25.110756,,,,,LRGF,USD,ETF
2025-09-07,25.110756,,,,,LRGF,USD,ETF
2025-09-08,25.110756,,,,,LRGF,USD,ETF
2025-09-09,25.204159,,,,,LRGF,USD,ETF
2025-09-10,25.791187,,,,,LRGF,USD,ETF
2025-10-31,26.519524,,,,,LRGF,USD,ETF
2025-11-07,26.099659,,,,,LRGF,USD,ETF
2025-11-10,26.47035,,,,,LRGF,USD,ETF
2025-11-11,26.493046,,,,,LRGF,USD,ETF
2025-11-12,26.039137,,,,,LRGF,USD,ETF
2025-11-13,26.020226,,,,,LRGF,USD,ETF
2025-11-14,25.710054,,,,,LRGF,USD,ETF
2025-11-18,25.607925,,,,,LRGF,USD,ETF
2025-11-19,25.18428,,,,,LRGF,USD,ETF
2025-11-20,25.411232,,,,,LRGF,USD,ETF
2025-11-21,25.751663,,,,,LRGF,USD,ETF
2025-11-24,26.027788,,,,,LRGF,USD,ETF
2025-11-25,26.216917,,,,,LRGF,USD,ETF
2025-11-26,26.33796,,,,,LRGF,USD,ETF
2025-11-28,26.216917,,,,,LRGF,USD,ETF
2025-12-01,26.254745,,,,,LRGF,USD,ETF
2025-12-02,26.334179,,,,,LRGF,USD,ETF
2025-12-03,26.36822,,,,,LRGF,USD,ETF
2025-12-04,26.421175,,,,,LRGF,USD,ETF
2025-12-05,25.117645,,,,,LRGF,USD,ETF
2025-12-08,25.124847,,,,,LRGF,USD,ETF
2025-12-09,25.290546,,,,,LRGF,USD,ETF
2025-12-10,25.395008,,,,,LRGF,USD,ETF
2025-12-11,25.106836,,,,,LRGF,USD,ETF
2025-12-12,25.070816,,,,,LRGF,USD,ETF
2025-12-15,24.905119,,,,,LRGF,USD,ETF
2025-12-16,24.627756,,,,,LRGF,USD,ETF
2025-12-17,24.818668,,,,,LRGF,USD,ETF
2025-12-19,25.031193,,,,,LRGF,USD,ETF
2025-12-22,25.268934,,,,,LRGF,USD,ETF
2025-12-23,25.353584,,,,,LRGF,USD,ETF
2025-12-24,25.34818,,,,,LRGF,USD,ETF
2025-12-26,25.250923,,,,,LRGF,USD,ETF
2025-12-29,25.19689,,,,,LRGF,USD,ETF
2025-12-30,25.00958,,,,,LRGF,USD,ETF
2026-01-06,25.353584,,,,,LRGF,USD,ETF
2026-01-07,25.242043,,,,,LRGF,USD,ETF
2026-01-08,25.36827,,,,,LRGF,USD,ETF
2026-01-09,25.389912,,,,,LRGF,USD,ETF
2026-01-12,25.328602,,,,,LRGF,USD,ETF
2026-01-13,25.173521,,,,,LRGF,USD,ETF
2026-01-14,25.24565,,,,,LRGF,USD,ETF
2026-01-15,25.173521,,,,,LRGF,USD,ETF
2026-01-16,24.65418,,,,,LRGF,USD,ETF
2026-01-20,24.91385,,,,,LRGF,USD,ETF
2026-01-21,25.04729,,,,,LRGF,USD,ETF
2026-01-22,25.068932,,,,,LRGF,USD,ETF
2026-01-23,25.216797,,,,,LRGF,USD,ETF
2026-01-26,25.29614,,,,,LRGF,USD,ETF
2026-01-27,25.278107,,,,,LRGF,USD,ETF
2026-01-28,25.24565,,,,,LRGF,USD,ETF
2026-01-29,25.115814,,,,,LRGF,USD,ETF
2026-02-02,24.971554,,,,,LRGF,USD,ETF
2026-02-03,24.834507,,,,,LRGF,USD,ETF
2026-02-04,24.70245,,,,,LRGF,USD,ETF
2026-02-05,25.293802,,,,,LRGF,USD,ETF
2026-02-06,25.409895,,,,,LRGF,USD,ETF
2026-02-09,25.33008,,,,,LRGF,USD,ETF
2026-02-10,25.322826,,,,,LRGF,USD,ETF
2026-02-11,24.901987,,,,,LRGF,USD,ETF
2026-02-12,24.945522,,,,,LRGF,USD,ETF
2026-02-13,24.98543,,,,,LRGF,USD,ETF
2026-02-17,25.12329,,,,,LRGF,USD,ETF
2026-02-18,25.047104,,,,,LRGF,USD,ETF
2026-02-19,25.195847,,,,,LRGF,USD,ETF
2026-02-20,24.85845,,,,,LRGF,USD,ETF
2026-02-23,25.101522,,,,,LRGF,USD,ETF
2026-02-24,25.33008,,,,,LRGF,USD,ETF
