Date,trailingPE,priceToBook,trailingAnnualDividendYield,symbol,currency,quoteType
2025-09-10,13.877523,,0.0,MCHI,USD,ETF
2025-10-31,14.076907,,0.0,MCHI,USD,ETF
2025-11-07,14.018568,,0.0,MCHI,USD,ETF
2025-11-10,14.289489,,0.0,MCHI,USD,ETF
2025-11-11,14.23234,,0.0,MCHI,USD,ETF
2025-11-12,14.2058935,,0.0,MCHI,USD,ETF
2025-11-13,14.061406,,0.0,MCHI,USD,ETF
2025-11-14,13.90197,,0.0,MCHI,USD,ETF
2025-11-18,13.709317,,0.0,MCHI,USD,ETF
2025-11-19,13.481235,,0.0,MCHI,USD,ETF
2025-11-20,13.425737,,0.0,MCHI,USD,ETF
2025-11-21,13.490092,,0.0,MCHI,USD,ETF
2025-11-24,13.773535,,0.0,MCHI,USD,ETF
2025-11-25,13.643917,,0.0,MCHI,USD,ETF
2025-11-26,13.773535,,0.0,MCHI,USD,ETF
2025-11-28,13.875397,,0.0,MCHI,USD,ETF
2025-12-01,13.7823925,,0.0,MCHI,USD,ETF
2025-12-02,13.702675,,0.0,MCHI,USD,ETF
2025-12-03,13.659344,,0.0,MCHI,USD,ETF
2025-12-04,13.875397,,0.0,MCHI,USD,ETF
2025-12-05,13.809204,,0.0,MCHI,USD,ETF
2025-12-08,13.697421,,0.0,MCHI,USD,ETF
2025-12-09,13.800124,,0.0,MCHI,USD,ETF
2025-12-10,13.773332,,0.0,MCHI,USD,ETF
2025-12-11,13.735376,,0.0,MCHI,USD,ETF
2025-12-12,13.590253,,0.0,MCHI,USD,ETF
2025-12-15,13.329031,,0.0,MCHI,USD,ETF
2025-12-16,13.277679,,0.0,MCHI,USD,ETF
2025-12-17,13.393779,,0.0,MCHI,USD,ETF
2025-12-19,13.53667,,0.0,MCHI,USD,ETF
2025-12-22,13.545599,,0.0,MCHI,USD,ETF
2025-12-23,13.532204,,0.0,MCHI,USD,ETF
2025-12-24,13.67956,,0.0,MCHI,USD,ETF
