Date,trailingPE,priceToBook,trailingAnnualDividendYield,symbol,currency,quoteType
2025-09-10,24.74902,,,MOAT,USD,ETF
2025-10-31,24.472326,,,MOAT,USD,ETF
2025-11-07,24.059763,,,MOAT,USD,ETF
2025-11-10,24.443459,,,MOAT,USD,ETF
2025-11-11,24.518032,,,MOAT,USD,ETF
2025-11-12,24.253414,,,MOAT,USD,ETF
2025-11-13,24.133133,,,MOAT,USD,ETF
2025-11-14,23.870922,,,MOAT,USD,ETF
2025-11-18,23.810781,,,MOAT,USD,ETF
2025-11-19,23.546164,,,MOAT,USD,ETF
2025-11-20,24.111485,,,MOAT,USD,ETF
2025-11-21,24.248604,,,MOAT,USD,ETF
2025-11-24,24.703264,,,MOAT,USD,ETF
2025-11-25,24.750175,,,MOAT,USD,ETF
2025-11-26,24.835573,,,MOAT,USD,ETF
2025-11-28,24.693642,,,MOAT,USD,ETF
2025-12-01,24.871658,,,MOAT,USD,ETF
2025-12-02,25.186792,,,MOAT,USD,ETF
2025-12-03,25.244528,,,MOAT,USD,ETF
2025-12-04,25.304668,,,MOAT,USD,ETF
2025-12-05,23.801254,,,MOAT,USD,ETF
2025-12-08,23.7214,,,MOAT,USD,ETF
2025-12-09,24.13208,,,MOAT,USD,ETF
2025-12-10,24.271255,,,MOAT,USD,ETF
2025-12-11,24.084167,,,MOAT,USD,ETF
2025-12-12,24.095575,,,MOAT,USD,ETF
2025-12-15,23.96781,,,MOAT,USD,ETF
2025-12-16,23.819508,,,MOAT,USD,ETF
2025-12-17,23.89708,,,MOAT,USD,ETF
2025-12-19,23.954119,,,MOAT,USD,ETF
2025-12-22,23.771595,,,MOAT,USD,ETF
2025-12-23,23.887953,,,MOAT,USD,ETF
2025-12-24,23.885674,,,MOAT,USD,ETF
2025-12-26,23.817225,,,MOAT,USD,ETF
2025-12-29,23.798973,,,MOAT,USD,ETF
2025-12-30,23.627855,,,MOAT,USD,ETF
2026-01-06,24.207373,,,MOAT,USD,ETF
2026-01-07,26.041595,,,MOAT,USD,ETF
2026-01-08,26.2768,,,MOAT,USD,ETF
2026-01-09,26.29395,,,MOAT,USD,ETF
2026-01-12,26.166548,,,MOAT,USD,ETF
2026-01-13,26.281698,,,MOAT,USD,ETF
2026-01-14,26.379702,,,MOAT,USD,ETF
2026-01-15,26.20085,,,MOAT,USD,ETF
2026-01-16,25.857841,,,MOAT,USD,ETF
2026-01-20,26.195948,,,MOAT,USD,ETF
2026-01-21,26.350302,,,MOAT,USD,ETF
2026-01-22,26.21065,,,MOAT,USD,ETF
2026-01-23,26.25475,,,MOAT,USD,ETF
2026-01-26,26.195948,,,MOAT,USD,ETF
2026-01-27,25.992594,,,MOAT,USD,ETF
2026-01-28,25.730438,,,MOAT,USD,ETF
2026-01-29,25.664288,,,MOAT,USD,ETF
2026-02-02,25.34088,,,MOAT,USD,ETF
2026-02-03,25.82599,,,MOAT,USD,ETF
2026-02-04,25.582481,,,MOAT,USD,ETF
2026-02-05,26.036446,,,MOAT,USD,ETF
2026-02-06,26.088257,,,MOAT,USD,ETF
2026-02-09,26.159807,,,MOAT,USD,ETF
2026-02-10,26.080856,,,MOAT,USD,ETF
2026-02-11,25.789726,,,MOAT,USD,ETF
2026-02-12,26.046316,,,MOAT,USD,ETF
2026-02-13,25.977234,,,MOAT,USD,ETF
2026-02-17,26.179544,,,MOAT,USD,ETF
2026-02-18,26.191881,,,MOAT,USD,ETF
2026-02-19,26.219019,,,MOAT,USD,ETF
2026-02-20,25.962431,,,MOAT,USD,ETF
2026-02-23,26.191881,,,MOAT,USD,ETF
2026-02-24,26.182013,,,MOAT,USD,ETF
2026-02-25,26.396658,,,MOAT,USD,ETF
2026-02-26,26.381855,,,MOAT,USD,ETF
2026-02-27,26.26343,,,MOAT,USD,ETF
2026-03-02,25.989569,,,MOAT,USD,ETF
2026-03-03,25.930357,,,MOAT,USD,ETF
2026-03-04,25.657812,,,MOAT,USD,ETF
2026-03-05,25.413076,,,MOAT,USD,ETF
2026-03-06,25.398243,,,MOAT,USD,ETF
2026-03-09,25.13002,,,MOAT,USD,ETF
2026-03-10,24.91866,,,MOAT,USD,ETF
2026-03-11,24.335245,,,MOAT,USD,ETF
2026-03-12,24.350077,,,MOAT,USD,ETF
2026-03-13,24.57998,,,MOAT,USD,ETF
2026-03-16,24.693697,,,MOAT,USD,ETF
2026-03-17,24.300636,,,MOAT,USD,ETF
2026-03-18,24.219057,,,MOAT,USD,ETF
2026-03-19,24.001513,,,MOAT,USD,ETF
2026-03-20,24.115229,,,MOAT,USD,ETF
2026-03-23,23.82723,,,MOAT,USD,ETF
2026-03-24,23.924877,,,MOAT,USD,ETF
2026-03-25,23.77408,,,MOAT,USD,ETF
2026-03-26,23.309328,,,MOAT,USD,ETF
2026-03-27,23.405739,,,MOAT,USD,ETF
2026-03-30,23.9051,,,MOAT,USD,ETF
2026-03-31,23.843298,,,MOAT,USD,ETF
2026-04-01,23.870491,,,MOAT,USD,ETF
2026-04-02,23.971848,,,MOAT,USD,ETF
2026-04-06,24.9242,,,MOAT,USD,ETF
2026-04-07,25.478472,,,MOAT,USD,ETF
2026-04-08,25.545656,,,MOAT,USD,ETF
2026-04-09,25.230406,,,MOAT,USD,ETF
2026-04-10,25.661936,,,MOAT,USD,ETF
2026-04-13,25.90225,,,MOAT,USD,ETF
