Date,trailingPE,forwardPE,priceToBook,priceToSalesTrailing12Months,trailingAnnualDividendYield,symbol,currency,quoteType
2025-09-05,22.291018,,1.270169,,0.010757868,RSP,USD,ETF
2025-09-06,21.43875,,1.2716538,,0.010678993,RSP,USD,ETF
2025-09-07,21.43875,,1.2716538,,0.010678993,RSP,USD,ETF
2025-09-08,21.43875,,1.2716538,,0.010678993,RSP,USD,ETF
2025-09-09,21.421682,,1.2706414,,0.010666525,RSP,USD,ETF
2025-09-10,21.355698,,1.2667274,,0.010675023,RSP,USD,ETF
2025-10-31,22.286417,,1.268212,,0.010718856,RSP,USD,ETF
2025-11-07,22.242538,,1.2657151,,0.010806452,RSP,USD,ETF
2025-11-10,22.499878,,1.280359,,0.010655216,RSP,USD,ETF
2025-11-11,22.553242,,1.2833958,,0.010594002,RSP,USD,ETF
2025-11-12,22.298277,,1.2688869,,0.010568935,RSP,USD,ETF
2025-11-13,22.21645,,1.2642305,,0.010689784,RSP,USD,ETF
2025-11-14,21.924723,,1.2476298,,0.0107291555,RSP,USD,ETF
2025-11-18,21.871355,,1.2445929,,0.010865452,RSP,USD,ETF
2025-11-19,21.60453,,1.2294091,,0.010898444,RSP,USD,ETF
2025-11-20,22.02908,,1.2535682,,0.011033044,RSP,USD,ETF
2025-11-21,22.120392,,1.2587644,,0.010820414,RSP,USD,ETF
2025-11-24,22.434652,,1.2766474,,0.010775747,RSP,USD,ETF
2025-11-25,22.59119,,1.2855552,,0.010624802,RSP,USD,ETF
2025-11-26,22.713337,,1.292506,,0.010551181,RSP,USD,ETF
2025-11-28,22.557985,,1.2836658,,0.01049444,RSP,USD,ETF
2025-12-01,22.53664,,1.2824509,,0.010566712,RSP,USD,ETF
2025-12-02,22.708595,,1.2922361,,0.010576721,RSP,USD,ETF
2025-12-03,22.71571,,1.292641,,0.010496631,RSP,USD,ETF
2025-12-04,22.769073,,1.2956778,,0.010493344,RSP,USD,ETF
2025-12-05,21.80621,,1.2879171,,0.01046875,RSP,USD,ETF
2025-12-08,21.765078,,1.2854878,,0.010531831,RSP,USD,ETF
2025-12-09,22.07129,,1.3035733,,0.010551735,RSP,USD,ETF
2025-12-10,22.24953,,1.3141006,,0.010405342,RSP,USD,ETF
2025-12-11,22.098711,,1.3051928,,0.010321984,RSP,USD,ETF
2025-12-12,22.126133,,1.3068124,,0.01039243,RSP,USD,ETF
2025-12-15,21.970741,,1.2976347,,0.010379551,RSP,USD,ETF
2025-12-16,21.911327,,1.2941257,,0.010452962,RSP,USD,ETF
2025-12-17,21.958172,,1.2968924,,0.010481305,RSP,USD,ETF
2025-12-19,22.038155,,1.3016163,,0.010458945,RSP,USD,ETF
2025-12-22,22.062147,,1.3030334,,0.01038545,RSP,USD,ETF
2025-12-23,22.142128,,1.3077571,,0.010409654,RSP,USD,ETF
2025-12-24,22.147842,,1.3080946,,0.010372053,RSP,USD,ETF
2025-12-26,22.11128,,1.3059351,,0.010369377,RSP,USD,ETF
2025-12-29,22.07586,,1.3038433,,0.010386523,RSP,USD,ETF
