Date,trailingPE,forwardPE,priceToBook,priceToSalesTrailing12Months,trailingAnnualDividendYield,symbol,currency,quoteType
2025-09-05,15.718735,,,,0.0,SCJ,USD,ETF
2025-09-06,14.58324,,,,0.0,SCJ,USD,ETF
2025-09-10,15.676019,,,,0.0,SCJ,USD,ETF
2025-10-31,15.210443,,,,0.0,SCJ,USD,ETF
2025-11-07,15.315095,,,,0.0,SCJ,USD,ETF
2025-11-10,15.395076,,,,0.0,SCJ,USD,ETF
2025-11-11,15.45983,,,,0.0,SCJ,USD,ETF
2025-11-12,15.342153,,,,0.0,SCJ,USD,ETF
2025-11-13,15.445849,,,,0.0,SCJ,USD,ETF
2025-11-14,15.297069,,,,0.0,SCJ,USD,ETF
2025-11-18,14.980489,,,,0.0,SCJ,USD,ETF
2025-11-19,14.861317,,,,0.0,SCJ,USD,ETF
2025-11-20,15.198693,,,,0.0,SCJ,USD,ETF
2025-11-21,15.234848,,,,0.0,SCJ,USD,ETF
2025-11-24,15.393649,,,,0.0,SCJ,USD,ETF
2025-11-25,15.570745,,,,0.0,SCJ,USD,ETF
2025-11-26,15.653563,,,,0.0,SCJ,USD,ETF
2025-11-28,15.55621,,,,0.0,SCJ,USD,ETF
2025-12-01,15.472285,,,,0.0,SCJ,USD,ETF
2025-12-02,15.468963,,,,0.0,SCJ,USD,ETF
2025-12-03,15.54614,,,,0.0,SCJ,USD,ETF
2025-12-04,15.587765,,,,0.0,SCJ,USD,ETF
2025-12-05,15.833351,,,,0.0,SCJ,USD,ETF
2025-12-08,15.797535,,,,0.0,SCJ,USD,ETF
2025-12-09,15.939947,,,,0.0,SCJ,USD,ETF
2025-12-10,15.91607,,,,0.0,SCJ,USD,ETF
2025-12-11,15.919395,,,,0.0,SCJ,USD,ETF
2025-12-12,16.124146,,,,0.0,SCJ,USD,ETF
2025-12-15,15.607368,,,,0.0,SCJ,USD,ETF
2025-12-16,15.455576,,,,0.0,SCJ,USD,ETF
2025-12-17,15.535734,,,,0.0,SCJ,USD,ETF
2025-12-19,15.588607,,,,0.0,SCJ,USD,ETF
2025-12-22,15.687529,,,,0.0,SCJ,USD,ETF
2025-12-23,15.714816,,,,0.0,SCJ,USD,ETF
2025-12-24,15.707994,,,,0.0,SCJ,USD,ETF
2025-12-26,15.789861,,,,0.0,SCJ,USD,ETF
2025-12-29,15.719625,,,,0.0,SCJ,USD,ETF
2025-12-30,15.658193,,,,0.0,SCJ,USD,ETF
2026-01-06,15.936537,,,,0.0,SCJ,USD,ETF
2026-01-07,16.490211,,,,0.0,SCJ,USD,ETF
2026-01-08,16.652445,,,,0.0,SCJ,USD,ETF
2026-01-09,16.720478,,,,0.0,SCJ,USD,ETF
2026-01-12,16.500677,,,,0.0,SCJ,USD,ETF
2026-01-13,16.580923,,,,0.0,SCJ,USD,ETF
2026-01-14,16.675121,,,,0.0,SCJ,USD,ETF
2026-01-15,16.833868,,,,0.0,SCJ,USD,ETF
2026-01-16,16.570456,,,,0.0,SCJ,USD,ETF
2026-01-20,16.71699,,,,0.0,SCJ,USD,ETF
2026-01-21,16.837355,,,,0.0,SCJ,USD,ETF
2026-01-22,16.865267,,,,0.0,SCJ,USD,ETF
2026-01-23,16.9019,,,,0.0,SCJ,USD,ETF
2026-01-26,17.133911,,,,0.0,SCJ,USD,ETF
2026-01-27,16.880966,,,,0.0,SCJ,USD,ETF
2026-01-28,16.993484,,,,0.0,SCJ,USD,ETF
2026-01-29,16.9176,,,,0.0,SCJ,USD,ETF
2026-02-02,17.060646,,,,0.0,SCJ,USD,ETF
2026-02-03,17.25637,,,,0.0,SCJ,USD,ETF
2026-02-04,16.844765,,,,0.0,SCJ,USD,ETF
2026-02-05,17.176516,,,,0.0,SCJ,USD,ETF
2026-02-06,17.619537,,,,0.0,SCJ,USD,ETF
2026-02-09,18.016195,,,,0.0,SCJ,USD,ETF
2026-02-10,18.136396,,,,0.0,SCJ,USD,ETF
2026-02-11,18.189627,,,,0.0,SCJ,USD,ETF
2026-02-12,18.157001,,,,0.0,SCJ,USD,ETF
2026-02-13,18.08488,,,,0.0,SCJ,USD,ETF
2026-02-17,17.987005,,,,0.0,SCJ,USD,ETF
2026-02-18,18.064276,,,,0.0,SCJ,USD,ETF
2026-02-19,18.12781,,,,0.0,SCJ,USD,ETF
2026-02-20,18.182758,,,,0.0,SCJ,USD,ETF
