Date,trailingPE,priceToBook,trailingAnnualDividendYield,symbol,currency,quoteType
2025-09-09,,1.7570732,0.0,SLV,USD,ETF
2025-09-10,,1.7416152,0.0,SLV,USD,ETF
2025-09-11,,1.752389,0.0,SLV,USD,ETF
2025-09-12,,1.7701893,0.0,SLV,USD,ETF
2025-09-13,,1.7959528,0.0,SLV,USD,ETF
2025-10-31,,2.0615513,0.0,SLV,USD,ETF
2025-11-07,,2.0573356,0.0,SLV,USD,ETF
2025-11-10,,2.175848,0.0,SLV,USD,ETF
2025-11-11,,2.263444,0.0,SLV,USD,ETF
2025-11-12,,2.2212853,0.0,SLV,USD,ETF
2025-11-13,,2.152895,0.0,SLV,USD,ETF
2025-11-14,,2.129942,0.0,SLV,USD,ETF
2025-11-18,,2.175848,0.0,SLV,USD,ETF
2025-11-19,,2.144463,0.0,SLV,USD,ETF
2025-11-20,,2.1219788,0.0,SLV,USD,ETF
2025-11-21,,2.1842797,0.0,SLV,USD,ETF
2025-11-24,,2.1861532,0.0,SLV,USD,ETF
2025-11-25,,2.2671914,0.0,SLV,USD,ETF
2025-11-26,,2.3988197,0.0,SLV,USD,ETF
2025-11-28,,2.4601836,0.0,SLV,USD,ETF
2025-12-01,,2.4887578,0.0,SLV,USD,ETF
2025-12-02,,2.4859471,0.0,SLV,USD,ETF
2025-12-03,,2.424583,0.0,SLV,USD,ETF
2025-12-04,,2.4803262,0.0,SLV,USD,ETF
2025-12-05,,2.4690838,0.0,SLV,USD,ETF
2025-12-08,,2.584317,0.0,SLV,USD,ETF
2025-12-09,,2.6264756,0.0,SLV,USD,ETF
2025-12-10,,2.699082,0.0,SLV,USD,ETF
2025-12-11,,2.6278808,0.0,SLV,USD,ETF
2025-12-12,,2.722035,0.0,SLV,USD,ETF
2025-12-15,,2.7042346,0.0,SLV,USD,ETF
2025-12-16,,2.8227468,0.0,SLV,USD,ETF
2025-12-17,,2.7787147,0.0,SLV,USD,ETF
2025-12-19,,2.8541317,0.0,SLV,USD,ETF
2025-12-22,,3.0372868,0.0,SLV,USD,ETF
2025-12-23,,3.0550873,0.0,SLV,USD,ETF
2025-12-24,,3.3314598,0.0,SLV,USD,ETF
2025-12-26,,3.092093,0.0,SLV,USD,ETF
2025-12-29,,3.2312162,0.0,SLV,USD,ETF
