Date,trailingPE,forwardPE,priceToBook,priceToSalesTrailing12Months,trailingAnnualDividendYield,symbol,currency,quoteType
2025-09-05,17.796381,,,,,SMEA.MI,EUR,ETF
2025-09-06,17.757565,,,,,SMEA.MI,EUR,ETF
2025-09-10,17.853584,,,,,SMEA.MI,EUR,ETF
2025-10-30,18.758163,,,,,SMEA.MI,EUR,ETF
2025-11-06,18.538868,,,,,SMEA.MI,EUR,ETF
2025-11-09,19.049871,,,,,SMEA.MI,EUR,ETF
2025-11-10,19.19262,,,,,SMEA.MI,EUR,ETF
2025-11-11,19.076765,,,,,SMEA.MI,EUR,ETF
2025-11-12,18.882294,,,,,SMEA.MI,EUR,ETF
2025-11-13,18.884363,,,,,SMEA.MI,EUR,ETF
2025-11-17,18.4437,,,,,SMEA.MI,EUR,ETF
