Date,trailingPE,priceToBook,trailingAnnualDividendYield,symbol,currency,quoteType
2025-09-10,32.095047,0.5872782,0.01259795,SOXX,USD,ETF
2025-10-31,38.655727,0.7228384,0.010264889,SOXX,USD,ETF
2025-11-07,37.1211,0.6941418,0.010537815,SOXX,USD,ETF
2025-11-10,37.218197,0.6959574,0.010380794,SOXX,USD,ETF
2025-11-11,37.78817,0.70661557,0.010621718,SOXX,USD,ETF
2025-11-12,36.49061,0.68235195,0.010461507,SOXX,USD,ETF
2025-11-13,36.38216,0.680324,0.010833506,SOXX,USD,ETF
2025-11-14,36.38216,0.680324,0.010833507,SOXX,USD,ETF
2025-11-18,35.510815,0.6640304,0.011318507,SOXX,USD,ETF
2025-11-19,33.807213,0.63217413,0.011132418,SOXX,USD,ETF
2025-11-20,34.151463,0.6386114,0.011693398,SOXX,USD,ETF
2025-11-21,34.151463,0.6386114,0.011693399,SOXX,USD,ETF
2025-11-24,35.759228,0.6686756,0.0110894935,SOXX,USD,ETF
2025-11-25,36.74407,0.68709147,0.011055082,SOXX,USD,ETF
2025-11-26,37.418694,0.6997066,0.010758776,SOXX,USD,ETF
2025-11-28,37.418694,0.6997066,0.010758777,SOXX,USD,ETF
2025-12-01,38.1879,0.7140903,0.010558399,SOXX,USD,ETF
2025-12-02,39.010067,0.7294643,0.0103520015,SOXX,USD,ETF
2025-12-03,38.621685,0.72220176,0.010133825,SOXX,USD,ETF
2025-12-04,39.015114,0.72955865,0.010235732,SOXX,USD,ETF
2025-12-05,41.0911,0.7374815,0.010132515,SOXX,USD,ETF
2025-12-08,41.014896,0.73611385,0.01002366,SOXX,USD,ETF
2025-12-09,41.56013,0.74589944,0.010042284,SOXX,USD,ETF
2025-12-10,41.32233,0.7416315,0.009910537,SOXX,USD,ETF
2025-12-11,39.346344,0.7061675,0.00996757,SOXX,USD,ETF
2025-12-12,39.346344,0.7061675,0.009967569,SOXX,USD,ETF
2025-12-15,38.91541,0.6984334,0.010535204,SOXX,USD,ETF
2025-12-16,37.474148,0.67256635,0.010584065,SOXX,USD,ETF
2025-12-17,38.36886,0.68862414,0.010991129,SOXX,USD,ETF
2025-12-19,39.389698,0.70694566,0.01073483,SOXX,USD,ETF
2025-12-22,40.066315,0.7190892,0.010317931,SOXX,USD,ETF
2025-12-23,40.221348,0.7218717,0.010280037,SOXX,USD,ETF
2025-12-24,40.20821,0.7216359,0.010240412,SOXX,USD,ETF
2025-12-26,40.113613,0.7199381,0.010243759,SOXX,USD,ETF
2025-12-29,40.06106,0.718995,0.010267915,SOXX,USD,ETF
2025-12-30,39.56575,0.7101053,0.010281049,SOXX,USD,ETF
2026-01-06,43.139347,0.7742424,0.009856631,SOXX,USD,ETF
2026-01-07,40.3191,0.75356287,0.009649419,SOXX,USD,ETF
2026-01-08,41.4798,0.7752563,0.009809751,SOXX,USD,ETF
2026-01-09,41.677876,0.7789583,0.009535251,SOXX,USD,ETF
2026-01-12,42.050056,0.7859143,0.009489935,SOXX,USD,ETF
2026-01-13,41.87343,0.78261316,0.009405941,SOXX,USD,ETF
2026-01-14,42.544613,0.7951576,0.009445616,SOXX,USD,ETF
2026-01-15,43.20697,0.807537,0.009296602,SOXX,USD,ETF
2026-01-16,42.561016,0.79546416,0.009154086,SOXX,USD,ETF
2026-01-20,43.922314,0.8209068,0.009293019,SOXX,USD,ETF
2026-01-21,43.98918,0.82215655,0.009004998,SOXX,USD,ETF
2026-01-22,43.489574,0.8128189,0.008991309,SOXX,USD,ETF
2026-01-23,43.489574,0.8128189,0.00899131,SOXX,USD,ETF
2026-01-26,44.29323,0.8278392,0.009138077,SOXX,USD,ETF
2026-01-27,45.476635,0.84995705,0.008929589,SOXX,USD,ETF
2026-01-28,45.56117,0.8515369,0.00869722,SOXX,USD,ETF
2026-01-29,43.69017,0.8165681,0.008681084,SOXX,USD,ETF
2026-02-02,43.606907,0.81501186,0.008888826,SOXX,USD,ETF
2026-02-03,41.68166,0.7790291,0.00907013,SOXX,USD,ETF
2026-02-04,39.97187,0.7800901,0.009489073,SOXX,USD,ETF
2026-02-05,42.10802,0.82177925,0.009476166,SOXX,USD,ETF
2026-02-06,42.10802,0.82177925,0.009476165,SOXX,USD,ETF
2026-02-09,42.460823,0.8286645,0.00888681,SOXX,USD,ETF
2026-02-10,43.520443,0.849344,0.008920696,SOXX,USD,ETF
2026-02-11,42.46928,0.8288296,0.008703498,SOXX,USD,ETF
2026-02-12,42.85108,0.8362808,0.008918919,SOXX,USD,ETF
2026-02-13,42.783424,0.83496034,0.008839452,SOXX,USD,ETF
2026-02-17,43.24497,0.84396785,0.008853431,SOXX,USD,ETF
2026-02-18,42.993652,0.83906317,0.00875894,SOXX,USD,ETF
2026-02-19,43.427406,0.84752834,0.008810139,SOXX,USD,ETF
2026-02-20,43.11206,0.84137404,0.008722143,SOXX,USD,ETF
2026-02-23,43.742756,0.8536827,0.008785943,SOXX,USD,ETF
2026-02-24,44.46286,0.8677362,0.008659264,SOXX,USD,ETF
2026-02-25,43.109642,0.84132683,0.008519022,SOXX,USD,ETF
2026-02-26,42.56473,0.8306924,0.008786435,SOXX,USD,ETF
2026-02-27,42.56473,0.8306924,0.008786434,SOXX,USD,ETF
2026-03-02,40.449123,0.78940415,0.008904985,SOXX,USD,ETF
2026-03-03,41.265884,0.8053441,0.009364359,SOXX,USD,ETF
