Date,trailingPE,forwardPE,priceToBook,priceToSalesTrailing12Months,trailingAnnualDividendYield,symbol,currency,quoteType
2025-09-05,25.8215,,,,,SPHB,USD,ETF
2025-09-06,24.19766,,,,,SPHB,USD,ETF
2025-09-07,24.19766,,,,,SPHB,USD,ETF
2025-09-08,24.19766,,,,,SPHB,USD,ETF
2025-09-09,24.25743,,,,,SPHB,USD,ETF
2025-09-10,24.227545,,,,,SPHB,USD,ETF
2025-10-31,28.005966,,,,,SPHB,USD,ETF
2025-11-07,27.370905,,,,,SPHB,USD,ETF
2025-11-10,27.555828,,,,,SPHB,USD,ETF
2025-11-11,27.743181,,,,,SPHB,USD,ETF
2025-11-12,26.945097,,,,,SPHB,USD,ETF
2025-11-13,26.889135,,,,,SPHB,USD,ETF
2025-11-14,26.302736,,,,,SPHB,USD,ETF
2025-11-18,26.317337,,,,,SPHB,USD,ETF
2025-11-19,25.431656,,,,,SPHB,USD,ETF
2025-11-20,25.886662,,,,,SPHB,USD,ETF
2025-11-21,26.40493,,,,,SPHB,USD,ETF
2025-11-24,26.811274,,,,,SPHB,USD,ETF
2025-11-25,27.263845,,,,,SPHB,USD,ETF
2025-11-26,27.54123,,,,,SPHB,USD,ETF
2025-11-28,27.4804,,,,,SPHB,USD,ETF
2025-12-01,27.755348,,,,,SPHB,USD,ETF
2025-12-02,28.288218,,,,,SPHB,USD,ETF
2025-12-03,28.368511,,,,,SPHB,USD,ETF
2025-12-04,28.577765,,,,,SPHB,USD,ETF
2025-12-05,27.722034,,,,,SPHB,USD,ETF
2025-12-08,27.835098,,,,,SPHB,USD,ETF
2025-12-09,28.400423,,,,,SPHB,USD,ETF
2025-12-10,28.501709,,,,,SPHB,USD,ETF
2025-12-11,27.839811,,,,,SPHB,USD,ETF
2025-12-12,27.747946,,,,,SPHB,USD,ETF
2025-12-15,27.7503,,,,,SPHB,USD,ETF
2025-12-16,27.187332,,,,,SPHB,USD,ETF
2025-12-17,27.53595,,,,,SPHB,USD,ETF
2025-12-19,27.992918,,,,,SPHB,USD,ETF
2025-12-22,28.150738,,,,,SPHB,USD,ETF
2025-12-23,28.23789,,,,,SPHB,USD,ETF
2025-12-24,28.174294,,,,,SPHB,USD,ETF
2025-12-26,27.97172,,,,,SPHB,USD,ETF
2025-12-29,27.851587,,,,,SPHB,USD,ETF
2025-12-30,27.552437,,,,,SPHB,USD,ETF
2026-01-06,29.161253,,,,,SPHB,USD,ETF
2026-01-07,27.27291,,,,,SPHB,USD,ETF
2026-01-08,27.657383,,,,,SPHB,USD,ETF
2026-01-09,27.646141,,,,,SPHB,USD,ETF
2026-01-12,27.67537,,,,,SPHB,USD,ETF
2026-01-13,27.520231,,,,,SPHB,USD,ETF
2026-01-14,27.736076,,,,,SPHB,USD,ETF
2026-01-15,27.610167,,,,,SPHB,USD,ETF
2026-01-16,26.951391,,,,,SPHB,USD,ETF
2026-01-20,27.614664,,,,,SPHB,USD,ETF
2026-01-21,27.7046,,,,,SPHB,USD,ETF
2026-01-22,27.446033,,,,,SPHB,USD,ETF
2026-01-23,27.43704,,,,,SPHB,USD,ETF
2026-01-26,27.574192,,,,,SPHB,USD,ETF
2026-01-27,27.774298,,,,,SPHB,USD,ETF
2026-01-28,27.857489,,,,,SPHB,USD,ETF
2026-01-29,27.239183,,,,,SPHB,USD,ETF
2026-02-02,27.313381,,,,,SPHB,USD,ETF
2026-02-03,27.050318,,,,,SPHB,USD,ETF
2026-02-04,25.695917,,,,,SPHB,USD,ETF
2026-02-05,26.814268,,,,,SPHB,USD,ETF
2026-02-06,27.08459,,,,,SPHB,USD,ETF
2026-02-09,27.143452,,,,,SPHB,USD,ETF
2026-02-10,27.213213,,,,,SPHB,USD,ETF
2026-02-11,26.463285,,,,,SPHB,USD,ETF
2026-02-12,26.735788,,,,,SPHB,USD,ETF
2026-02-13,26.597725,,,,,SPHB,USD,ETF
2026-02-17,26.889793,,,,,SPHB,USD,ETF
2026-02-18,26.67561,,,,,SPHB,USD,ETF
2026-02-19,26.909264,,,,,SPHB,USD,ETF
2026-02-20,26.126087,,,,,SPHB,USD,ETF
2026-02-23,26.61503,,,,,SPHB,USD,ETF
2026-02-24,27.034744,,,,,SPHB,USD,ETF
2026-02-25,27.02609,,,,,SPHB,USD,ETF
2026-02-26,26.63234,,,,,SPHB,USD,ETF
2026-02-27,26.552292,,,,,SPHB,USD,ETF
2026-03-02,25.978971,,,,,SPHB,USD,ETF
2026-03-03,26.457098,,,,,SPHB,USD,ETF
2026-03-04,26.613123,,,,,SPHB,USD,ETF
2026-03-05,25.829163,,,,,SPHB,USD,ETF
2026-03-06,26.287745,,,,,SPHB,USD,ETF
2026-03-09,26.095577,,,,,SPHB,USD,ETF
2026-03-11,25.405518,,,,,SPHB,USD,ETF
2026-03-12,25.416437,,,,0.0,SPHB,USD,ETF
2026-03-13,25.774569,,,,0.0,SPHB,USD,ETF
2026-03-16,27.677677,,,,0.0,SPHB,USD,ETF
2026-03-17,27.381437,,,,0.0,SPHB,USD,ETF
2026-03-18,27.50873,,,,0.0,SPHB,USD,ETF
2026-03-19,26.758871,,,,0.0,SPHB,USD,ETF
2026-03-20,27.249517,,,,0.0,SPHB,USD,ETF
2026-03-23,27.362925,,,,0.0,SPHB,USD,ETF
2026-03-24,27.582788,,,,0.0,SPHB,USD,ETF
2026-03-25,26.83293,,,,0.0,SPHB,USD,ETF
2026-03-26,26.265905,,,,0.0,SPHB,USD,ETF
2026-03-27,25.772943,,,,0.0,SPHB,USD,ETF
2026-03-30,26.835243,,,,0.0,SPHB,USD,ETF
2026-03-31,27.119913,,,,0.0,SPHB,USD,ETF
2026-04-01,27.052795,,,,0.0,SPHB,USD,ETF
2026-04-02,27.217117,,,,0.0,SPHB,USD,ETF
2026-04-06,27.290934,,,,0.0,SPHB,USD,ETF
2026-04-07,28.326418,,,,0.0,SPHB,USD,ETF
2026-04-08,28.289354,,,,0.0,SPHB,USD,ETF
2026-04-09,28.31947,,,,0.0,SPHB,USD,ETF
2026-04-10,28.981995,,,,0.0,SPHB,USD,ETF
2026-04-13,29.436031,,,,0.0,SPHB,USD,ETF
2026-04-14,29.720964,,,,0.0,SPHB,USD,ETF
2026-04-15,30.01053,,,,0.0,SPHB,USD,ETF
2026-04-16,30.55723,,,,0.0,SPHB,USD,ETF
2026-04-17,30.75645,,,,0.0,SPHB,USD,ETF
2026-04-20,30.654522,,,,0.0,SPHB,USD,ETF
2026-04-21,31.011265,,,,0.0,SPHB,USD,ETF
2026-04-22,30.710121,,,,0.0,SPHB,USD,ETF
2026-04-23,31.205856,,,,0.0,SPHB,USD,ETF
2026-04-24,31.099295,,,,0.0,SPHB,USD,ETF
2026-04-27,30.466885,,,,0.0,SPHB,USD,ETF
2026-04-28,30.485418,,,,0.0,SPHB,USD,ETF
2026-04-29,31.171106,,,,0.0,SPHB,USD,ETF
2026-04-30,31.344845,,,,0.0,SPHB,USD,ETF
2026-05-01,31.370327,,,,0.0,SPHB,USD,ETF
2026-05-04,31.900812,,,,0.0,SPHB,USD,ETF
2026-05-05,30.872887,,,,0.0,SPHB,USD,ETF
2026-05-06,30.419193,,,,0.0,SPHB,USD,ETF
2026-05-07,31.050417,,,,0.0,SPHB,USD,ETF
2026-05-08,31.190687,,,,0.0,SPHB,USD,ETF
2026-05-11,30.74138,,,,0.0,SPHB,USD,ETF
2026-05-12,30.71727,,,,0.0,SPHB,USD,ETF
2026-05-13,30.949598,,,,0.0,SPHB,USD,ETF
2026-05-14,30.281116,,,,0.0,SPHB,USD,ETF
2026-05-15,29.722221,,,,0.0,SPHB,USD,ETF
2026-05-18,29.314556,,,,0.0,SPHB,USD,ETF
2026-05-19,30.17372,,,,0.0,SPHB,USD,ETF
2026-05-20,30.684397,,,,0.0,SPHB,USD,ETF
2026-05-21,31.11836,,,,0.0,SPHB,USD,ETF
2026-05-22,31.986292,,,,0.0,SPHB,USD,ETF
2026-05-26,32.063,,,,0.0,SPHB,USD,ETF
2026-05-27,32.418064,,,,0.0,SPHB,USD,ETF
2026-05-28,32.884903,,,,0.0,SPHB,USD,ETF
2026-05-29,32.985725,,,,0.0,SPHB,USD,ETF
2026-06-01,33.575306,,,,0.0,SPHB,USD,ETF
2026-06-02,33.351746,,,,0.0,SPHB,USD,ETF
2026-06-03,29.7909,,,,0.0,SPHB,USD,ETF
2026-06-04,28.101624,,,,0.0,SPHB,USD,ETF
2026-06-05,28.621553,,,,0.0,SPHB,USD,ETF
2026-06-08,28.4332,,,,0.0,SPHB,USD,ETF
2026-06-09,27.40904,,,,0.0,SPHB,USD,ETF
2026-06-10,28.751041,,,,0.0,SPHB,USD,ETF
2026-06-11,29.18072,,,,0.0,SPHB,USD,ETF
2026-06-12,30.26178,,,,0.0,SPHB,USD,ETF
2026-06-15,32.34494,,,,0.0,SPHB,USD,ETF
2026-06-16,32.12775,,,,0.0,SPHB,USD,ETF
2026-06-17,33.01356,,,,0.0,SPHB,USD,ETF
2026-06-18,33.37981,,,,0.0,SPHB,USD,ETF
2026-06-22,32.03832,,,,0.0,SPHB,USD,ETF
2026-06-23,32.1533,,,,0.0,SPHB,USD,ETF
2026-06-24,32.86664,,,,0.0,SPHB,USD,ETF
2026-06-25,32.044704,,,,0.0,SPHB,USD,ETF
2026-06-26,32.61537,,,,0.0,SPHB,USD,ETF
2026-06-29,33.130676,,,,0.0,SPHB,USD,ETF
2026-06-30,32.43012,,,,0.0,SPHB,USD,ETF
2026-07-01,31.482555,,,,0.0,SPHB,USD,ETF
2026-07-02,32.002113,,,,0.0,SPHB,USD,ETF
2026-07-06,30.137335,,,,0.0,SPHB,USD,ETF
2026-07-07,30.077402,,,,0.0,SPHB,USD,ETF
2026-07-08,30.922647,,,,0.0,SPHB,USD,ETF
2026-07-09,30.885447,,,,0.0,SPHB,USD,ETF
2026-07-10,30.108402,,,,0.0,SPHB,USD,ETF
2026-07-13,30.544456,,,,0.0,SPHB,USD,ETF
2026-07-14,30.315063,,,,0.0,SPHB,USD,ETF
