Date,trailingPE,forwardPE,priceToBook,priceToSalesTrailing12Months,trailingAnnualDividendYield,symbol,currency,quoteType
2025-09-05,27.170673,,,,0.0,SPHQ,USD,ETF
2025-09-06,26.530779,,,,0.0,SPHQ,USD,ETF
2025-09-07,26.530779,,,,0.0,SPHQ,USD,ETF
2025-09-08,26.530779,,,,0.0,SPHQ,USD,ETF
2025-09-09,26.567478,,,,0.0,SPHQ,USD,ETF
2025-09-10,26.501417,,,,0.0,SPHQ,USD,ETF
2025-10-31,27.594374,,,,0.0,SPHQ,USD,ETF
2025-11-07,27.36709,,,,0.0,SPHQ,USD,ETF
2025-11-10,27.657717,,,,0.0,SPHQ,USD,ETF
2025-11-11,27.721058,,,,0.0,SPHQ,USD,ETF
2025-11-12,27.437885,,,,0.0,SPHQ,USD,ETF
2025-11-13,27.36709,,,,0.0,SPHQ,USD,ETF
2025-11-14,27.050386,,,,0.0,SPHQ,USD,ETF
2025-11-18,27.054113,,,,0.0,SPHQ,USD,ETF
2025-11-19,26.692696,,,,0.0,SPHQ,USD,ETF
2025-11-20,27.136084,,,,0.0,SPHQ,USD,ETF
2025-11-21,27.210602,,,,0.0,SPHQ,USD,ETF
2025-11-24,27.575747,,,,0.0,SPHQ,USD,ETF
2025-11-25,27.713604,,,,0.0,SPHQ,USD,ETF
2025-11-26,27.840288,,,,0.0,SPHQ,USD,ETF
2025-11-28,27.680073,,,,0.0,SPHQ,USD,ETF
2025-12-01,27.765768,,,,0.0,SPHQ,USD,ETF
2025-12-02,27.907354,,,,0.0,SPHQ,USD,ETF
2025-12-03,27.851465,,,,0.0,SPHQ,USD,ETF
2025-12-04,27.918533,,,,0.0,SPHQ,USD,ETF
2025-12-05,26.290133,,,,0.0,SPHQ,USD,ETF
2025-12-08,26.276014,,,,0.0,SPHQ,USD,ETF
