Date,trailingPE,priceToBook,trailingAnnualDividendYield,symbol,currency,quoteType
2025-09-10,25.944973,1.3497185,0.00924327,SPTM,USD,ETF
2025-10-31,27.927994,1.4097935,0.008866155,SPTM,USD,ETF
2025-11-07,27.517736,1.3890839,0.008985436,SPTM,USD,ETF
2025-11-10,27.98224,1.4125319,0.008839242,SPTM,USD,ETF
2025-11-11,28.002583,1.4135588,0.008821035,SPTM,USD,ETF
2025-11-12,27.54825,1.3906243,0.008814626,SPTM,USD,ETF
2025-11-13,27.521126,1.3892549,0.00896,SPTM,USD,ETF
2025-11-14,27.24649,1.3753916,0.008968831,SPTM,USD,ETF
2025-11-18,27.148165,1.3704281,0.009128527,SPTM,USD,ETF
2025-11-19,26.720955,1.3488626,0.009092044,SPTM,USD,ETF
2025-11-20,27.019325,1.3639243,0.009237407,SPTM,USD,ETF
2025-11-21,27.41602,1.3839493,0.009135399,SPTM,USD,ETF
2025-11-24,27.704216,1.3984973,0.0090032155,SPTM,USD,ETF
2025-11-25,27.880526,1.4073974,0.008909558,SPTM,USD,ETF
2025-11-26,28.029709,1.4149281,0.008853216,SPTM,USD,ETF
2025-11-28,27.897476,1.4082531,0.008806096,SPTM,USD,ETF
2025-12-01,27.948336,1.4108204,0.008847836,SPTM,USD,ETF
2025-12-02,28.046661,1.4157839,0.008831736,SPTM,USD,ETF
2025-12-03,28.073788,1.4171531,0.008800773,SPTM,USD,ETF
2025-12-04,28.131426,1.4200627,0.00879227,SPTM,USD,ETF
2025-12-05,26.662125,1.4154415,0.008774255,SPTM,USD,ETF
2025-12-08,26.636333,1.4140724,0.008802902,SPTM,USD,ETF
2025-12-09,26.849113,1.4253684,0.008811425,SPTM,USD,ETF
2025-12-10,26.920042,1.4291339,0.008741595,SPTM,USD,ETF
2025-12-11,26.629885,1.41373,0.008718562,SPTM,USD,ETF
2025-12-12,26.587975,1.411505,0.008813559,SPTM,USD,ETF
2025-12-15,26.520271,1.4079108,0.008827453,SPTM,USD,ETF
2025-12-16,26.236563,1.3928492,0.008849988,SPTM,USD,ETF
