Date,trailingPE,priceToBook,trailingAnnualDividendYield,symbol,currency,quoteType
2025-09-10,12.52472,0.8896604,0.011191691,TIP,USD,ETF
2025-10-31,12.514607,0.88894206,0.011241008,TIP,USD,ETF
2025-11-07,12.460675,0.88511115,0.011273449,TIP,USD,ETF
2025-11-10,12.513484,0.8888623,0.011269383,TIP,USD,ETF
2025-11-11,12.486517,0.8869468,0.011223848,TIP,USD,ETF
2025-11-12,12.458427,0.88495153,0.011248088,TIP,USD,ETF
2025-11-13,12.443821,0.883914,0.011273449,TIP,USD,ETF
2025-11-14,12.446068,0.88407356,0.0112866815,TIP,USD,ETF
2025-11-18,12.439326,0.88359475,0.0112765,TIP,USD,ETF
2025-11-19,12.444944,0.8839938,0.01129076,TIP,USD,ETF
2025-11-20,12.474157,0.8860689,0.011285663,TIP,USD,ETF
2025-11-21,12.479775,0.88646793,0.011259233,TIP,USD,ETF
2025-11-24,12.502248,0.88806415,0.011254164,TIP,USD,ETF
2025-11-25,12.529214,0.88997966,0.011233936,TIP,USD,ETF
2025-11-26,12.501124,0.8879844,0.011209757,TIP,USD,ETF
2025-11-28,12.41573,0.88191867,0.011267555,TIP,USD,ETF
2025-12-01,12.419102,0.8821581,0.011312217,TIP,USD,ETF
2025-12-02,12.447191,0.8841534,0.011309147,TIP,USD,ETF
2025-12-03,12.430337,0.8829562,0.011283625,TIP,USD,ETF
2025-12-04,12.410112,0.8815196,0.011298925,TIP,USD,ETF
2025-12-05,12.385394,0.8797638,0.011317339,TIP,USD,ETF
2025-12-08,12.369663,0.8786464,0.011339925,TIP,USD,ETF
2025-12-09,12.410112,0.8815196,0.011354347,TIP,USD,ETF
2025-12-10,12.404495,0.88112056,0.011317339,TIP,USD,ETF
2025-12-11,12.385394,0.8797638,0.011322464,TIP,USD,ETF
2025-12-12,12.376405,0.8791253,0.011339925,TIP,USD,ETF
2025-12-15,12.378652,0.87928486,0.011348162,TIP,USD,ETF
2025-12-16,12.392136,0.88024265,0.011346102,TIP,USD,ETF
2025-12-17,12.41573,0.88191867,0.011333756,TIP,USD,ETF
2025-12-19,12.35281,0.8774493,0.011347338,TIP,USD,ETF
2025-12-22,12.34045,0.8765713,0.011386409,TIP,USD,ETF
2025-12-23,12.366292,0.87840694,0.011381226,TIP,USD,ETF
2025-12-24,12.36517,0.8783272,0.011357442,TIP,USD,ETF
