Date,trailingPE,priceToBook,trailingAnnualDividendYield,symbol,currency,quoteType
2025-09-10,12.638412,,,TUR,USD,ETF
2025-10-31,13.618112,,,TUR,USD,ETF
2025-11-07,13.502467,,,TUR,USD,ETF
2025-11-10,13.099705,,,TUR,USD,ETF
2025-11-11,13.171484,,,TUR,USD,ETF
2025-11-12,13.071791,,,TUR,USD,ETF
2025-11-13,13.099705,,,TUR,USD,ETF
2025-11-14,13.191424,,,TUR,USD,ETF
2025-11-18,13.422712,,,TUR,USD,ETF
2025-11-19,13.390811,,,TUR,USD,ETF
2025-11-20,13.470564,,,TUR,USD,ETF
2025-11-21,13.462588,,,TUR,USD,ETF
2025-11-24,13.37486,,,TUR,USD,ETF
2025-11-25,13.394798,,,TUR,USD,ETF
2025-11-26,13.358909,,,TUR,USD,ETF
2025-11-28,13.570257,,,TUR,USD,ETF
2025-12-01,13.598171,,,TUR,USD,ETF
2025-12-02,13.5064535,,,TUR,USD,ETF
2025-12-03,13.378846,,,TUR,USD,ETF
2025-12-04,13.494492,,,TUR,USD,ETF
2025-12-05,12.460133,,,TUR,USD,ETF
2025-12-08,12.547014,,,TUR,USD,ETF
2025-12-09,12.572354,,,TUR,USD,ETF
2025-12-10,12.604935,,,TUR,USD,ETF
2025-12-12,12.775077,,,TUR,USD,ETF
2025-12-15,12.565114,,,TUR,USD,ETF
2025-12-16,12.574164,,,TUR,USD,ETF
2025-12-17,12.604935,,,TUR,USD,ETF
2025-12-19,12.619415,,,TUR,USD,ETF
2025-12-22,12.603125,,,TUR,USD,ETF
2025-12-23,12.6230345,,,TUR,USD,ETF
2025-12-24,12.583214,,,TUR,USD,ETF
2025-12-26,12.456513,,,TUR,USD,ETF
2025-12-29,12.460133,,,TUR,USD,ETF
2026-01-06,13.310841,,,TUR,USD,ETF
2026-01-07,13.512879,,,TUR,USD,ETF
2026-01-08,13.671076,,,TUR,USD,ETF
2026-01-09,13.810877,,,TUR,USD,ETF
2026-01-12,13.880777,,,TUR,USD,ETF
2026-01-13,13.829271,,,TUR,USD,ETF
2026-01-14,13.958035,,,TUR,USD,ETF
2026-01-15,14.130947,,,TUR,USD,ETF
2026-01-16,14.30018,,,TUR,USD,ETF
2026-01-20,14.215564,,,TUR,USD,ETF
2026-01-21,14.3774395,,,TUR,USD,ETF
2026-01-22,14.506204,,,TUR,USD,ETF
2026-01-23,14.664399,,,TUR,USD,ETF
2026-01-26,14.55403,,,TUR,USD,ETF
2026-01-27,14.859385,,,TUR,USD,ETF
2026-01-28,15.297184,,,TUR,USD,ETF
2026-01-29,15.1757765,,,TUR,USD,ETF
2026-02-02,15.282468,,,TUR,USD,ETF
2026-02-03,15.219924,,,TUR,USD,ETF
2026-02-04,15.134299,,,TUR,USD,ETF
2026-02-05,15.201299,,,TUR,USD,ETF
2026-02-06,15.46185,,,TUR,USD,ETF
2026-02-09,15.249687,,,TUR,USD,ETF
2026-02-10,15.339018,,,TUR,USD,ETF
2026-02-11,15.599569,,,TUR,USD,ETF
2026-02-12,15.714957,,,TUR,USD,ETF
2026-02-13,15.759623,,,TUR,USD,ETF
2026-02-17,15.785677,,,TUR,USD,ETF
2026-02-18,15.357629,,,TUR,USD,ETF
2026-02-19,15.502794,,,TUR,USD,ETF
2026-02-20,15.543736,,,TUR,USD,ETF
2026-02-23,15.607014,,,TUR,USD,ETF
2026-02-24,15.3315735,,,TUR,USD,ETF
2026-02-25,15.346462,,,TUR,USD,ETF
2026-02-26,15.123134,,,TUR,USD,ETF
2026-02-27,14.736029,,,TUR,USD,ETF
2026-03-02,14.434533,,,TUR,USD,ETF
2026-03-03,14.501533,,,TUR,USD,ETF
2026-03-04,14.315412,,,TUR,USD,ETF
2026-03-05,12.3402405,,,TUR,USD,ETF
2026-03-06,12.844194,,,TUR,USD,ETF
2026-03-09,12.990075,,,TUR,USD,ETF
2026-03-10,13.026546,,,TUR,USD,ETF
2026-03-11,13.043123,,,TUR,USD,ETF
2026-03-12,12.81767,,,TUR,USD,ETF
2026-03-13,12.887295,,,TUR,USD,ETF
2026-03-16,13.069646,,,TUR,USD,ETF
2026-03-17,12.8408785,,,TUR,USD,ETF
2026-03-18,12.857455,,,TUR,USD,ETF
2026-03-19,12.724836,,,TUR,USD,ETF
2026-03-20,12.923765,,,TUR,USD,ETF
2026-03-23,12.724836,,,TUR,USD,ETF
2026-03-24,12.78783,,,TUR,USD,ETF
2026-03-25,12.492752,,,TUR,USD,ETF
2026-03-26,12.469544,,,TUR,USD,ETF
2026-03-27,12.383341,,,TUR,USD,ETF
2026-03-30,12.814355,,,TUR,USD,ETF
2026-03-31,12.827616,,,TUR,USD,ETF
2026-04-01,12.913819,,,TUR,USD,ETF
2026-04-02,12.976813,,,TUR,USD,ETF
2026-04-06,15.346479,,,TUR,USD,ETF
2026-04-07,16.042252,,,TUR,USD,ETF
2026-04-08,16.33479,,,TUR,USD,ETF
2026-04-09,16.635237,,,TUR,USD,ETF
2026-04-10,16.694534,,,TUR,USD,ETF
2026-04-13,16.789413,,,TUR,USD,ETF
2026-04-14,16.840803,,,TUR,USD,ETF
2026-04-15,16.730114,,,TUR,USD,ETF
2026-04-16,17.145205,,,TUR,USD,ETF
2026-04-17,17.038465,,,TUR,USD,ETF
2026-04-20,16.726162,,,TUR,USD,ETF
2026-04-21,16.801271,,,TUR,USD,ETF
2026-04-22,16.682674,,,TUR,USD,ETF
2026-04-23,16.840803,,,TUR,USD,ETF
2026-04-24,17.026608,,,TUR,USD,ETF
2026-04-27,16.734068,,,TUR,USD,ETF
2026-04-28,16.607563,,,TUR,USD,ETF
2026-04-29,16.79732,,,TUR,USD,ETF
2026-04-30,16.836851,,,TUR,USD,ETF
2026-05-01,16.595703,,,TUR,USD,ETF
2026-05-04,16.777552,,,TUR,USD,ETF
2026-05-05,17.0647,,,TUR,USD,ETF
2026-05-06,16.943283,,,TUR,USD,ETF
2026-05-07,17.060783,,,TUR,USD,ETF
2026-05-08,17.131283,,,TUR,USD,ETF
2026-05-11,16.798368,,,TUR,USD,ETF
2026-05-12,16.594704,,,TUR,USD,ETF
2026-05-13,16.524204,,,TUR,USD,ETF
2026-05-14,16.163877,,,TUR,USD,ETF
2026-05-15,15.870131,,,TUR,USD,ETF
2026-05-18,15.705632,,,TUR,USD,ETF
2026-05-19,15.834881,,,TUR,USD,ETF
2026-05-20,14.377899,,,TUR,USD,ETF
2026-05-21,15.40797,,,TUR,USD,ETF
