Date,trailingPE,priceToBook,trailingAnnualDividendYield,symbol,currency,quoteType
2025-09-09,,1.3694069,,UNG,USD,ETF
2025-09-10,,1.3798127,,UNG,USD,ETF
2025-09-11,,1.3402706,,UNG,USD,ETF
2025-09-12,,1.2924038,,UNG,USD,ETF
2025-09-13,,1.301769,,UNG,USD,ETF
2025-10-31,,1.3787721,,UNG,USD,ETF
2025-11-07,,1.451613,,UNG,USD,ETF
2025-11-10,,1.5150886,,UNG,USD,ETF
2025-11-11,,1.5244538,,UNG,USD,ETF
2025-11-12,,1.5411031,,UNG,USD,ETF
2025-11-13,,1.5150886,,UNG,USD,ETF
2025-11-14,,1.4693029,,UNG,USD,ETF
2025-11-18,,1.5296566,,UNG,USD,ETF
