Date,trailingPE,priceToBook,trailingAnnualDividendYield,symbol,currency,quoteType
2025-09-09,23.449192,,0.0,URTH,USD,ETF
2025-09-10,23.488878,,0.0,URTH,USD,ETF
2025-09-11,24.16964,,0.0,URTH,USD,ETF
2025-09-12,24.388424,,0.0,URTH,USD,ETF
2025-09-13,24.358528,,0.0,URTH,USD,ETF
2025-10-31,25.020401,,0.0,URTH,USD,ETF
2025-11-07,24.686398,,0.0,URTH,USD,ETF
2025-11-10,25.119112,,0.0,URTH,USD,ETF
2025-11-11,25.184021,,0.0,URTH,USD,ETF
2025-11-12,24.776997,,0.0,URTH,USD,ETF
2025-11-13,24.77159,,0.0,URTH,USD,ETF
2025-11-14,24.513311,,0.0,URTH,USD,ETF
2025-11-18,24.34834,,0.0,URTH,USD,ETF
2025-11-19,23.975122,,0.0,URTH,USD,ETF
2025-11-20,24.229342,,0.0,URTH,USD,ETF
2025-11-21,24.497086,,0.0,URTH,USD,ETF
