Date,trailingPE,forwardPE,priceToBook,priceToSalesTrailing12Months,trailingAnnualDividendYield,symbol,currency,quoteType
2025-09-05,23.668608,,,,0.0,USMV,USD,ETF
2025-09-06,23.766502,,,,0.0,USMV,USD,ETF
2025-09-07,23.766502,,,,0.0,USMV,USD,ETF
2025-09-08,23.766502,,,,0.0,USMV,USD,ETF
2025-09-09,23.786732,,,,0.0,USMV,USD,ETF
2025-09-10,24.435064,,,,0.0,USMV,USD,ETF
2025-09-12,24.409136,,,,0.0,USMV,USD,ETF
2025-10-31,24.158825,,,,0.0,USMV,USD,ETF
2025-11-07,24.110958,,,,0.0,USMV,USD,ETF
2025-11-10,24.44921,,,,0.0,USMV,USD,ETF
2025-11-11,24.518036,,,,0.0,USMV,USD,ETF
2025-11-12,24.401358,,,,0.0,USMV,USD,ETF
2025-11-13,24.42328,,,,0.0,USMV,USD,ETF
2025-11-14,24.296238,,,,0.0,USMV,USD,ETF
2025-11-18,24.158825,,,,0.0,USMV,USD,ETF
2025-11-19,24.016226,,,,0.0,USMV,USD,ETF
2025-11-20,24.29505,,,,0.0,USMV,USD,ETF
2025-11-21,24.293646,,,,0.0,USMV,USD,ETF
2025-11-24,24.542547,,,,0.0,USMV,USD,ETF
2025-11-25,24.611378,,,,0.0,USMV,USD,ETF
2025-11-26,24.716257,,,,0.0,USMV,USD,ETF
2025-11-28,24.516619,,,,0.0,USMV,USD,ETF
2025-12-01,24.446615,,,,0.0,USMV,USD,ETF
2025-12-02,24.524397,,,,0.0,USMV,USD,ETF
2025-12-03,24.505072,,,,0.0,USMV,USD,ETF
2025-12-04,24.521805,,,,0.0,USMV,USD,ETF
2025-12-05,24.523222,,,,0.0,USMV,USD,ETF
2025-12-08,23.171743,,,,0.0,USMV,USD,ETF
2025-12-09,23.221222,,,,0.0,USMV,USD,ETF
2025-12-10,23.416672,,,,0.0,USMV,USD,ETF
2025-12-11,23.411722,,,,0.0,USMV,USD,ETF
2025-12-12,23.446358,,,,0.0,USMV,USD,ETF
2025-12-15,23.181637,,,,0.0,USMV,USD,ETF
2025-12-16,23.198956,,,,0.0,USMV,USD,ETF
2025-12-17,23.218748,,,,0.0,USMV,USD,ETF
2025-12-19,23.285547,,,,0.0,USMV,USD,ETF
2025-12-22,23.44141,,,,0.0,USMV,USD,ETF
2025-12-23,23.52058,,,,0.0,USMV,USD,ETF
2025-12-24,23.530476,,,,0.0,USMV,USD,ETF
2025-12-26,23.52058,,,,0.0,USMV,USD,ETF
2025-12-29,23.49089,,,,0.0,USMV,USD,ETF
2025-12-30,23.295444,,,,0.0,USMV,USD,ETF
2026-01-06,23.391932,,,,0.0,USMV,USD,ETF
2026-01-07,23.613815,,,,0.0,USMV,USD,ETF
2026-01-08,23.643795,,,,0.0,USMV,USD,ETF
2026-01-09,23.69876,,,,0.0,USMV,USD,ETF
2026-01-12,23.553858,,,,0.0,USMV,USD,ETF
2026-01-13,23.641296,,,,0.0,USMV,USD,ETF
2026-01-14,23.628807,,,,0.0,USMV,USD,ETF
2026-01-15,23.588833,,,,0.0,USMV,USD,ETF
2026-01-16,23.386473,,,,0.0,USMV,USD,ETF
2026-01-20,23.568846,,,,0.0,USMV,USD,ETF
2026-01-21,23.66878,,,,0.0,USMV,USD,ETF
2026-01-22,23.703754,,,,0.0,USMV,USD,ETF
2026-01-23,23.863644,,,,0.0,USMV,USD,ETF
2026-01-26,23.81618,,,,0.0,USMV,USD,ETF
2026-01-27,23.773708,,,,0.0,USMV,USD,ETF
2026-01-28,23.65379,,,,0.0,USMV,USD,ETF
2026-01-29,23.731236,,,,0.0,USMV,USD,ETF
2026-02-02,23.703754,,,,0.0,USMV,USD,ETF
2026-02-03,23.766212,,,,0.0,USMV,USD,ETF
2026-02-04,23.908335,,,,0.0,USMV,USD,ETF
2026-02-05,24.185371,,,,0.0,USMV,USD,ETF
2026-02-06,24.152632,,,,0.0,USMV,USD,ETF
