Date,trailingPE,forwardPE,priceToBook,priceToSalesTrailing12Months,trailingAnnualDividendYield,symbol,currency,quoteType
2025-09-05,25.477028,,,,,VIG,USD,ETF
2025-09-06,25.499884,,,,,VIG,USD,ETF
2025-09-07,25.499884,,,,,VIG,USD,ETF
2025-09-08,25.499884,,,,,VIG,USD,ETF
2025-09-09,25.590109,,,,,VIG,USD,ETF
2025-09-10,25.580484,,,,,VIG,USD,ETF
2025-10-31,25.90312,,,,,VIG,USD,ETF
2025-11-07,25.733664,,,,,VIG,USD,ETF
2025-11-10,26.114346,,,,,VIG,USD,ETF
2025-11-11,26.265903,,,,,VIG,USD,ETF
2025-11-12,25.979496,,,,,VIG,USD,ETF
2025-11-13,25.89954,,,,,VIG,USD,ETF
2025-11-14,25.659676,,,,,VIG,USD,ETF
2025-11-18,25.663256,,,,,VIG,USD,ETF
2025-11-19,25.424583,,,,,VIG,USD,ETF
2025-11-20,25.688314,,,,,VIG,USD,ETF
2025-11-21,25.891188,,,,,VIG,USD,ETF
2025-11-24,26.252777,,,,,VIG,USD,ETF
2025-11-25,26.444908,,,,,VIG,USD,ETF
2025-11-26,26.572596,,,,,VIG,USD,ETF
2025-11-28,26.318409,,,,,VIG,USD,ETF
2025-12-01,26.292158,,,,,VIG,USD,ETF
2025-12-02,26.477127,,,,,VIG,USD,ETF
2025-12-03,26.404331,,,,,VIG,USD,ETF
2025-12-04,26.443712,,,,,VIG,USD,ETF
2025-12-05,26.362566,,,,,VIG,USD,ETF
2025-12-08,26.302896,,,,,VIG,USD,ETF
2025-12-09,26.585724,,,,,VIG,USD,ETF
2025-12-10,26.785015,,,,,VIG,USD,ETF
2025-12-11,26.502188,,,,,VIG,USD,ETF
2025-12-12,26.46758,,,,,VIG,USD,ETF
2025-12-15,26.290962,,,,,VIG,USD,ETF
