Date,trailingPE,priceToBook,trailingAnnualDividendYield,symbol,currency,quoteType
2025-09-10,18.136911,,,VNM,USD,ETF
2025-10-31,20.04962,,,VNM,USD,ETF
2025-11-07,19.416956,,,VNM,USD,ETF
2025-11-10,19.474472,,,VNM,USD,ETF
2025-11-11,20.164648,,,VNM,USD,ETF
2025-11-12,20.038116,,,VNM,USD,ETF
2025-11-13,20.233665,,,VNM,USD,ETF
2025-11-14,20.314186,,,VNM,USD,ETF
2025-11-18,20.256672,,,VNM,USD,ETF
2025-11-19,20.072626,,,VNM,USD,ETF
2025-11-20,20.383204,,,VNM,USD,ETF
2025-11-21,20.601759,,,VNM,USD,ETF
2025-11-24,20.417713,,,VNM,USD,ETF
2025-11-25,20.981356,,,VNM,USD,ETF
2025-11-26,21.096386,,,VNM,USD,ETF
2025-11-28,21.142397,,,VNM,USD,ETF
2025-12-01,21.452976,,,VNM,USD,ETF
2025-12-02,21.49899,,,VNM,USD,ETF
2025-12-03,21.383959,,,VNM,USD,ETF
2025-12-04,21.452976,,,VNM,USD,ETF
2025-12-05,19.974945,,,VNM,USD,ETF
2025-12-08,19.900253,,,VNM,USD,ETF
2025-12-09,19.50545,,,VNM,USD,ETF
2025-12-10,19.49478,,,VNM,USD,ETF
2025-12-11,18.662489,,,VNM,USD,ETF
2025-12-12,18.587797,,,VNM,USD,ETF
2025-12-15,19.046623,,,VNM,USD,ETF
2025-12-16,18.715841,,,VNM,USD,ETF
2025-12-17,19.078632,,,VNM,USD,ETF
2025-12-19,19.622822,,,VNM,USD,ETF
2025-12-22,20.35908,,,VNM,USD,ETF
2025-12-23,20.284388,,,VNM,USD,ETF
2025-12-24,19.633493,,,VNM,USD,ETF
2025-12-26,20.188353,,,VNM,USD,ETF
2025-12-29,20.284388,,,VNM,USD,ETF
2025-12-30,20.35908,,,VNM,USD,ETF
2026-01-06,20.732542,,,VNM,USD,ETF
2026-01-07,17.724247,,,VNM,USD,ETF
2026-01-08,17.69671,,,VNM,USD,ETF
2026-01-09,18.054684,,,VNM,USD,ETF
2026-01-12,18.174007,,,VNM,USD,ETF
2026-01-13,18.073042,,,VNM,USD,ETF
2026-01-14,17.926182,,,VNM,USD,ETF
2026-01-15,18.109756,,,VNM,USD,ETF
2026-01-16,17.907824,,,VNM,USD,ETF
2026-01-20,17.797676,,,VNM,USD,ETF
2026-01-21,18.013378,,,VNM,USD,ETF
2026-01-22,17.825214,,,VNM,USD,ETF
2026-01-23,17.357096,,,VNM,USD,ETF
2026-01-26,17.219414,,,VNM,USD,ETF
2026-01-27,16.980764,,,VNM,USD,ETF
2026-01-28,17.265306,,,VNM,USD,ETF
2026-01-29,17.503956,,,VNM,USD,ETF
2026-02-02,16.934872,,,VNM,USD,ETF
2026-02-03,17.081732,,,VNM,USD,ETF
2026-02-04,15.999048,,,VNM,USD,ETF
2026-02-05,15.919583,,,VNM,USD,ETF
2026-02-06,15.932827,,,VNM,USD,ETF
2026-02-09,15.96373,,,VNM,USD,ETF
2026-02-10,16.519987,,,VNM,USD,ETF
2026-02-11,16.3434,,,VNM,USD,ETF
2026-02-12,16.678919,,,VNM,USD,ETF
2026-02-13,16.537647,,,VNM,USD,ETF
2026-02-17,16.572966,,,VNM,USD,ETF
2026-02-18,16.564137,,,VNM,USD,ETF
2026-02-19,17.027683,,,VNM,USD,ETF
2026-02-20,16.979122,,,VNM,USD,ETF
2026-02-23,16.99678,,,VNM,USD,ETF
2026-02-24,16.851093,,,VNM,USD,ETF
2026-02-25,16.917315,,,VNM,USD,ETF
2026-02-26,16.84668,,,VNM,USD,ETF
2026-02-27,16.449352,,,VNM,USD,ETF
2026-03-02,15.999048,,,VNM,USD,ETF
2026-03-03,16.157978,,,VNM,USD,ETF
2026-03-04,14.853883,,,VNM,USD,ETF
2026-03-05,14.384032,,,VNM,USD,ETF
2026-03-06,14.202685,,,VNM,USD,ETF
2026-03-09,14.062554,,,VNM,USD,ETF
2026-03-10,14.351059,,,VNM,USD,ETF
2026-03-11,13.807021,,,VNM,USD,ETF
2026-03-12,13.774049,,,VNM,USD,ETF
2026-03-13,14.2603855,,,VNM,USD,ETF
2026-03-16,14.276872,,,VNM,USD,ETF
2026-03-17,14.037826,,,VNM,USD,ETF
2026-03-18,13.99661,,,VNM,USD,ETF
2026-03-19,13.543246,,,VNM,USD,ETF
2026-03-20,13.535003,,,VNM,USD,ETF
2026-03-23,13.567974,,,VNM,USD,ETF
2026-03-24,13.848236,,,VNM,USD,ETF
2026-03-25,13.58446,,,VNM,USD,ETF
2026-03-26,13.782292,,,VNM,USD,ETF
2026-03-27,13.889452,,,VNM,USD,ETF
2026-03-30,14.268629,,,VNM,USD,ETF
