Date,trailingPE,priceToBook,trailingAnnualDividendYield,symbol,currency,quoteType
2025-09-10,16.46316,1.2318087,0.003198004,VPL,USD,ETF
2025-10-31,17.242092,1.287155,0.003087366,VPL,USD,ETF
2025-11-07,17.082148,1.2752148,0.0031067536,VPL,USD,ETF
2025-11-10,17.287254,1.2905265,0.0030675514,VPL,USD,ETF
2025-11-11,17.385103,1.297831,0.0030695547,VPL,USD,ETF
2025-11-12,17.106611,1.2770411,0.0030522784,VPL,USD,ETF
2025-11-13,17.215748,1.2851884,0.003101969,VPL,USD,ETF
2025-11-14,16.982416,1.2677698,0.0030823043,VPL,USD,ETF
2025-11-18,16.639946,1.2422037,0.0031788975,VPL,USD,ETF
2025-11-19,16.404732,1.2246445,0.003188963,VPL,USD,ETF
2025-11-20,16.690752,1.2459964,0.0032346868,VPL,USD,ETF
