Date,trailingPE,forwardPE,priceToBook,priceToSalesTrailing12Months,trailingAnnualDividendYield,symbol,currency,quoteType
2025-09-05,19.923063,,,,0.0,XLC,USD,ETF
2025-09-06,19.331686,,,,0.0,XLC,USD,ETF
2025-09-07,19.331686,,,,0.0,XLC,USD,ETF
2025-09-08,19.331686,,,,0.0,XLC,USD,ETF
2025-09-09,19.353598,,,,0.0,XLC,USD,ETF
2025-09-10,19.46316,,,,0.0,XLC,USD,ETF
2025-10-31,19.677921,,,,0.0,XLC,USD,ETF
2025-11-07,19.215155,,,,0.0,XLC,USD,ETF
2025-11-10,19.57337,,,,0.0,XLC,USD,ETF
2025-11-11,19.46025,,,,0.0,XLC,USD,ETF
2025-11-12,19.184303,,,,0.0,XLC,USD,ETF
2025-11-13,19.081467,,,,0.0,XLC,USD,ETF
2025-11-14,19.055758,,,,0.0,XLC,USD,ETF
2025-11-18,19.05747,,,,0.0,XLC,USD,ETF
2025-11-19,18.848368,,,,0.0,XLC,USD,ETF
2025-11-20,19.179161,,,,0.0,XLC,USD,ETF
2025-11-21,19.369411,,,,0.0,XLC,USD,ETF
2025-11-24,19.590511,,,,0.0,XLC,USD,ETF
2025-11-25,19.617933,,,,0.0,XLC,USD,ETF
2025-11-26,19.777332,,,,0.0,XLC,USD,ETF
2025-11-28,19.684778,,,,0.0,XLC,USD,ETF
2025-12-01,19.749908,,,,0.0,XLC,USD,ETF
2025-12-02,19.732769,,,,0.0,XLC,USD,ETF
2025-12-03,19.84589,,,,0.0,XLC,USD,ETF
2025-12-04,20.07556,,,,0.0,XLC,USD,ETF
2025-12-05,18.157139,,,,0.0,XLC,USD,ETF
2025-12-08,18.17744,,,,0.0,XLC,USD,ETF
2025-12-09,18.283642,,,,0.0,XLC,USD,ETF
2025-12-10,18.243036,,,,0.0,XLC,USD,ETF
2025-12-11,18.20243,,,,0.0,XLC,USD,ETF
2025-12-12,18.205553,,,,0.0,XLC,USD,ETF
2025-12-15,18.218048,,,,0.0,XLC,USD,ETF
2025-12-16,18.086859,,,,0.0,XLC,USD,ETF
2025-12-17,18.189936,,,,0.0,XLC,USD,ETF
2025-12-19,18.197744,,,,0.0,XLC,USD,ETF
2025-12-22,18.333618,,,,0.0,XLC,USD,ETF
2025-12-23,18.442942,,,,0.0,XLC,USD,ETF
2025-12-24,18.424202,,,,0.0,XLC,USD,ETF
2025-12-26,18.411707,,,,0.0,XLC,USD,ETF
2025-12-29,18.474178,,,,0.0,XLC,USD,ETF
2025-12-30,18.385157,,,,0.0,XLC,USD,ETF
2026-01-06,18.324247,,,,0.0,XLC,USD,ETF
2026-01-07,17.9554,,,,0.0,XLC,USD,ETF
2026-01-08,18.021122,,,,0.0,XLC,USD,ETF
2026-01-09,17.9661,,,,0.0,XLC,USD,ETF
2026-01-12,17.865227,,,,0.0,XLC,USD,ETF
2026-01-13,17.827017,,,,0.0,XLC,USD,ETF
2026-01-14,17.761297,,,,0.0,XLC,USD,ETF
2026-01-15,17.602345,,,,0.0,XLC,USD,ETF
2026-01-16,17.342522,,,,0.0,XLC,USD,ETF
2026-01-20,17.519812,,,,0.0,XLC,USD,ETF
2026-01-21,17.76741,,,,0.0,XLC,USD,ETF
2026-01-22,17.875925,,,,0.0,XLC,USD,ETF
2026-01-23,17.999723,,,,0.0,XLC,USD,ETF
2026-01-26,17.866755,,,,0.0,XLC,USD,ETF
2026-01-27,17.84383,,,,0.0,XLC,USD,ETF
2026-01-28,18.308456,,,,0.0,XLC,USD,ETF
2026-01-29,18.35278,,,,0.0,XLC,USD,ETF
2026-02-02,17.995138,,,,0.0,XLC,USD,ETF
2026-02-03,17.85147,,,,0.0,XLC,USD,ETF
2026-02-04,17.409094,,,,0.0,XLC,USD,ETF
2026-02-05,17.34168,,,,0.0,XLC,USD,ETF
2026-02-06,17.509464,,,,0.0,XLC,USD,ETF
2026-02-09,17.61433,,,,0.0,XLC,USD,ETF
2026-02-10,17.488491,,,,0.0,XLC,USD,ETF
2026-02-11,17.173897,,,,0.0,XLC,USD,ETF
2026-02-12,17.16491,,,,0.0,XLC,USD,ETF
2026-02-13,17.137943,,,,0.0,XLC,USD,ETF
2026-02-17,17.166407,,,,0.0,XLC,USD,ETF
2026-02-18,17.2488,,,,0.0,XLC,USD,ETF
2026-02-19,17.49748,,,,0.0,XLC,USD,ETF
2026-02-20,17.28176,,,,0.0,XLC,USD,ETF
