Date,trailingPE,priceToBook,trailingAnnualDividendYield,symbol,currency,quoteType
2025-09-10,30.054737,,,XLG,USD,ETF
2025-10-31,32.9284,,,XLG,USD,ETF
2025-11-07,32.131298,,,XLG,USD,ETF
2025-11-10,32.83494,,,XLG,USD,ETF
2025-11-11,32.812954,,,XLG,USD,ETF
2025-11-12,32.20826,,,XLG,USD,ETF
2025-11-13,32.241245,,,XLG,USD,ETF
2025-11-14,32.004864,,,XLG,USD,ETF
2025-11-18,31.812458,,,XLG,USD,ETF
2025-11-19,31.328705,,,XLG,USD,ETF
2025-11-20,31.521107,,,XLG,USD,ETF
2025-11-21,32.175274,,,XLG,USD,ETF
2025-11-24,32.389668,,,XLG,USD,ETF
2025-11-25,32.598564,,,XLG,USD,ETF
2025-11-26,32.757984,,,XLG,USD,ETF
2025-11-28,32.653538,,,XLG,USD,ETF
2025-12-01,32.708508,,,XLG,USD,ETF
2025-12-02,32.7195,,,XLG,USD,ETF
2025-12-03,32.757984,,,XLG,USD,ETF
2025-12-04,32.840443,,,XLG,USD,ETF
2025-12-05,30.913542,,,XLG,USD,ETF
2025-12-08,30.897987,,,XLG,USD,ETF
2025-12-09,30.98095,,,XLG,USD,ETF
2025-12-10,30.944653,,,XLG,USD,ETF
2025-12-11,30.59725,,,XLG,USD,ETF
2025-12-12,30.477993,,,XLG,USD,ETF
2025-12-15,30.467623,,,XLG,USD,ETF
2025-12-16,30.037262,,,XLG,USD,ETF
2025-12-17,30.332811,,,XLG,USD,ETF
2025-12-19,30.669844,,,XLG,USD,ETF
2025-12-22,31.00169,,,XLG,USD,ETF
2025-12-23,31.100206,,,XLG,USD,ETF
2025-12-26,30.960207,,,XLG,USD,ETF
2025-12-29,30.923912,,,XLG,USD,ETF
2025-12-30,30.737247,,,XLG,USD,ETF
2026-01-06,30.77873,,,XLG,USD,ETF
2026-01-07,30.736591,,,XLG,USD,ETF
2026-01-08,30.897326,,,XLG,USD,ETF
2026-01-09,30.964731,,,XLG,USD,ETF
2026-01-12,30.855846,,,XLG,USD,ETF
2026-01-13,30.575857,,,XLG,USD,ETF
2026-01-14,30.555117,,,XLG,USD,ETF
2026-01-15,30.513636,,,XLG,USD,ETF
2026-01-16,29.78774,,,XLG,USD,ETF
2026-01-20,30.026249,,,XLG,USD,ETF
2026-01-21,30.254387,,,XLG,USD,ETF
2026-01-22,30.399569,,,XLG,USD,ETF
2026-01-23,30.596596,,,XLG,USD,ETF
2026-01-26,30.721037,,,XLG,USD,ETF
2026-01-27,30.736591,,,XLG,USD,ETF
2026-01-28,30.596596,,,XLG,USD,ETF
2026-02-02,30.394382,,,XLG,USD,ETF
2026-02-03,30.161057,,,XLG,USD,ETF
2026-02-04,29.632282,,,XLG,USD,ETF
2026-02-05,30.15986,,,XLG,USD,ETF
2026-02-06,30.371927,,,XLG,USD,ETF
2026-02-09,30.237444,,,XLG,USD,ETF
2026-02-10,30.11848,,,XLG,USD,ETF
2026-02-11,29.606422,,,XLG,USD,ETF
2026-02-12,29.409872,,,XLG,USD,ETF
2026-02-13,29.508146,,,XLG,USD,ETF
2026-02-17,29.652973,,,XLG,USD,ETF
2026-02-18,29.570213,,,XLG,USD,ETF
2026-02-19,29.818487,,,XLG,USD,ETF
2026-02-20,29.549526,,,XLG,USD,ETF
2026-02-23,29.756418,,,XLG,USD,ETF
2026-02-24,30.077105,,,XLG,USD,ETF
2026-02-25,29.73573,,,XLG,USD,ETF
2026-02-26,29.544352,,,XLG,USD,ETF
2026-02-27,29.565042,,,XLG,USD,ETF
2026-03-02,29.435734,,,XLG,USD,ETF
2026-03-03,29.658144,,,XLG,USD,ETF
2026-03-04,29.994038,,,XLG,USD,ETF
2026-03-05,29.653435,,,XLG,USD,ETF
2026-03-06,29.946877,,,XLG,USD,ETF
2026-03-09,29.936398,,,XLG,USD,ETF
2026-03-10,29.952116,,,XLG,USD,ETF
2026-03-11,29.538153,,,XLG,USD,ETF
2026-03-12,29.21851,,,XLG,USD,ETF
2026-03-13,29.538153,,,XLG,USD,ETF
2026-03-16,29.543394,,,XLG,USD,ETF
2026-03-17,29.10323,,,XLG,USD,ETF
2026-03-18,28.982708,,,XLG,USD,ETF
2026-03-19,28.563503,,,XLG,USD,ETF
2026-03-20,28.867426,,,XLG,USD,ETF
2026-03-23,28.626385,,,XLG,USD,ETF
2026-03-24,28.830746,,,XLG,USD,ETF
2026-03-25,28.280542,,,XLG,USD,ETF
2026-03-26,27.730335,,,XLG,USD,ETF
2026-03-27,27.683176,,,XLG,USD,ETF
2026-03-30,28.584463,,,XLG,USD,ETF
2026-03-31,28.783587,,,XLG,USD,ETF
2026-04-01,28.773106,,,XLG,USD,ETF
2026-04-02,28.909346,,,XLG,USD,ETF
2026-04-06,27.822634,,,XLG,USD,ETF
2026-04-07,28.41707,,,XLG,USD,ETF
2026-04-08,28.633688,,,XLG,USD,ETF
2026-04-09,28.709251,,,XLG,USD,ETF
2026-04-10,28.946018,,,XLG,USD,ETF
2026-04-13,29.419554,,,XLG,USD,ETF
2026-04-14,29.847748,,,XLG,USD,ETF
2026-04-15,29.923313,,,XLG,USD,ETF
2026-04-16,30.286018,,,XLG,USD,ETF
2026-04-17,30.160078,,,XLG,USD,ETF
2026-04-20,29.963612,,,XLG,USD,ETF
2026-04-21,30.427073,,,XLG,USD,ETF
2026-04-22,30.195341,,,XLG,USD,ETF
2026-04-23,30.542936,,,XLG,USD,ETF
2026-04-24,30.628574,,,XLG,USD,ETF
2026-04-27,30.542936,,,XLG,USD,ETF
2026-04-28,30.51271,,,XLG,USD,ETF
2026-04-29,30.678951,,,XLG,USD,ETF
2026-04-30,30.880455,,,XLG,USD,ETF
2026-05-01,30.769629,,,XLG,USD,ETF
2026-05-04,30.91068,,,XLG,USD,ETF
2026-05-05,29.735859,,,XLG,USD,ETF
2026-05-06,29.769238,,,XLG,USD,ETF
2026-05-07,29.993355,,,XLG,USD,ETF
