Date,trailingPE,forwardPE,priceToBook,priceToSalesTrailing12Months,trailingAnnualDividendYield,symbol,currency,quoteType
2025-09-05,26.52593,,1.5398142,,0.008277703,XLI,USD,ETF
2025-09-06,26.03829,,1.534122,,0.008185359,XLI,USD,ETF
2025-09-07,26.03829,,1.534122,,0.008185359,XLI,USD,ETF
2025-09-08,26.03829,,1.534122,,0.008185359,XLI,USD,ETF
2025-09-09,26.096947,,1.537578,,0.008215729,XLI,USD,ETF
2025-09-10,25.920977,,1.5272102,,0.008197263,XLI,USD,ETF
2025-10-31,27.17982,,1.5761012,,0.008016032,XLI,USD,ETF
2025-11-07,26.876575,,1.5585167,,0.008126352,XLI,USD,ETF
2025-11-10,27.036087,,1.5677664,,0.008041505,XLI,USD,ETF
2025-11-11,27.062378,,1.5692911,,0.008039419,XLI,USD,ETF
2025-11-12,26.643444,,1.544998,,0.008031609,XLI,USD,ETF
2025-11-13,26.645197,,1.5450996,,0.008157895,XLI,USD,ETF
2025-11-14,26.384022,,1.5299547,,0.0081573585,XLI,USD,ETF
2025-11-18,26.354225,,1.5282267,,0.008274942,XLI,USD,ETF
2025-11-19,25.912504,,1.5026122,,0.008247422,XLI,USD,ETF
2025-11-20,26.228018,,1.5209082,,0.008388014,XLI,USD,ETF
2025-11-21,26.292873,,1.524669,,0.008287108,XLI,USD,ETF
2025-11-24,26.629421,,1.5441848,,0.008266667,XLI,USD,ETF
2025-11-25,26.783674,,1.5531296,,0.008162191,XLI,USD,ETF
2025-11-26,26.939678,,1.562176,,0.008115184,XLI,USD,ETF
2025-11-28,26.545286,,1.5393059,,0.008068189,XLI,USD,ETF
2025-12-01,26.77666,,1.5527229,,0.008188061,XLI,USD,ETF
2025-12-02,27.030828,,1.5674615,,0.008117309,XLI,USD,ETF
2025-12-03,27.171055,,1.575593,,0.008040983,XLI,USD,ETF
2025-12-04,27.095682,,1.5712223,,0.007999484,XLI,USD,ETF
2025-12-05,27.113483,,1.5692911,,0.0080217365,XLI,USD,ETF
2025-12-08,26.915035,,1.5578052,,0.008031609,XLI,USD,ETF
2025-12-09,26.799173,,1.5862657,,0.008090827,XLI,USD,ETF
2025-12-10,27.085953,,1.6032404,,0.007945662,XLI,USD,ETF
2025-12-11,26.915947,,1.5931776,,0.007861536,XLI,USD,ETF
2025-12-12,26.958878,,1.5957187,,0.00791119,XLI,USD,ETF
2025-12-15,26.799173,,1.5862657,,0.007898592,XLI,USD,ETF
